uniprot_accession	entry_name	description	protein_length_aa	hk_status	hk_source	ensg_mapping_status	uniprot_db_prefix	entry_name_from_fasta	review_status_from_fasta
Q96M78	FEAS2_HUMAN	Putative uncharacterized protein encoded by FER1L6-AS2 OS=Homo sapiens OX=9606 GN=FER1L6-AS2 PE=2 SV=2	137	non-HK		not_mapped_to_ensg	sp	FEAS2_HUMAN	Swiss-Prot reviewed
Q9H521	YM006_HUMAN	Putative uncharacterized protein LOC645739 OS=Homo sapiens OX=9606 PE=5 SV=1	79	non-HK		not_mapped_to_ensg	sp	YM006_HUMAN	Swiss-Prot reviewed
Q16473	TENXA_HUMAN	Putative tenascin-XA OS=Homo sapiens OX=9606 GN=TNXA PE=5 SV=2	311	non-HK		not_mapped_to_ensg	sp	TENXA_HUMAN	Swiss-Prot reviewed
Q32M92	CO032_HUMAN	Uncharacterized protein C15orf32 OS=Homo sapiens OX=9606 GN=C15orf32 PE=1 SV=2	178	non-HK		not_mapped_to_ensg	sp	CO032_HUMAN	Swiss-Prot reviewed
A0A0A0MT70	TJB26_HUMAN	T cell receptor beta joining 2-6 OS=Homo sapiens OX=9606 GN=TRBJ2-6 PE=4 SV=2	17	non-HK		not_mapped_to_ensg	sp	TJB26_HUMAN	Swiss-Prot reviewed
P0DSN6	T2R33_HUMAN	Putative taste receptor type 2 member 33 OS=Homo sapiens OX=9606 GN=TAS2R33 PE=5 SV=1	309	non-HK		not_mapped_to_ensg	sp	T2R33_HUMAN	Swiss-Prot reviewed
P63136	POK25_HUMAN	Endogenous retrovirus group K member 25 Pol protein OS=Homo sapiens OX=9606 GN=ERVK-25 PE=3 SV=1	954	non-HK		not_mapped_to_ensg	sp	POK25_HUMAN	Swiss-Prot reviewed
Q6RVD6	SPAT8_HUMAN	Spermatogenesis-associated protein 8 OS=Homo sapiens OX=9606 GN=SPATA8 PE=1 SV=1	105	non-HK		not_mapped_to_ensg	sp	SPAT8_HUMAN	Swiss-Prot reviewed
Q86YQ2	LATH_HUMAN	Putative BPIFA4P protein OS=Homo sapiens OX=9606 GN=BPIFA4P PE=5 SV=1	179	non-HK		not_mapped_to_ensg	sp	LATH_HUMAN	Swiss-Prot reviewed
Q8N816	TMM99_HUMAN	Uncharacterized protein KRT10-AS1 OS=Homo sapiens OX=9606 GN=KRT10-AS1 PE=2 SV=2	258	non-HK		not_mapped_to_ensg	sp	TMM99_HUMAN	Swiss-Prot reviewed
Q9BY60	GBRL3_HUMAN	Gamma-aminobutyric acid receptor-associated protein-like 3 OS=Homo sapiens OX=9606 GN=GABARAPL3 PE=2 SV=1	117	non-HK		not_mapped_to_ensg	sp	GBRL3_HUMAN	Swiss-Prot reviewed
A2VEC9	SSPO_HUMAN	SCO-spondin OS=Homo sapiens OX=9606 GN=SSPOP PE=2 SV=2	5150	non-HK		not_mapped_to_ensg	sp	SSPO_HUMAN	Swiss-Prot reviewed
P58513	CU042_HUMAN	Putative uncharacterized protein encoded by LINC00158 OS=Homo sapiens OX=9606 GN=LINC00158 PE=5 SV=1	81	non-HK		not_mapped_to_ensg	sp	CU042_HUMAN	Swiss-Prot reviewed
Q8WZ26	YS006_HUMAN	Putative uncharacterized protein PP6455 OS=Homo sapiens OX=9606 GN=PP6455 PE=2 SV=2	134	non-HK		not_mapped_to_ensg	sp	YS006_HUMAN	Swiss-Prot reviewed
Q96P09	BIRC8_HUMAN	Baculoviral IAP repeat-containing protein 8 OS=Homo sapiens OX=9606 GN=BIRC8 PE=1 SV=2	236	non-HK		not_mapped_to_ensg	sp	BIRC8_HUMAN	Swiss-Prot reviewed
Q9UI54	YT001_HUMAN	Putative uncharacterized protein PRO0628 OS=Homo sapiens OX=9606 GN=PRO0628 PE=5 SV=1	55	non-HK		not_mapped_to_ensg	sp	YT001_HUMAN	Swiss-Prot reviewed
A6NFF2	NP1L6_HUMAN	Putative nucleosome assembly protein 1-like 6 OS=Homo sapiens OX=9606 GN=NAP1L6P PE=5 SV=1	107	non-HK		not_mapped_to_ensg	sp	NP1L6_HUMAN	Swiss-Prot reviewed
C9JG80	NPIB4_HUMAN	Nuclear pore complex-interacting protein family member B4 OS=Homo sapiens OX=9606 GN=NPIPB4 PE=3 SV=2	1138	non-HK		not_mapped_to_ensg	sp	NPIB4_HUMAN	Swiss-Prot reviewed
O60397	COX7S_HUMAN	Putative cytochrome c oxidase subunit 7A3, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2P2 PE=5 SV=1	106	non-HK		not_mapped_to_ensg	sp	COX7S_HUMAN	Swiss-Prot reviewed
P0DXC1	SRSP_HUMAN	Splicing regulatory small protein OS=Homo sapiens OX=9606 GN=SRSP PE=1 SV=1	130	non-HK		not_mapped_to_ensg	sp	SRSP_HUMAN	Swiss-Prot reviewed
Q59FN2	Q59FN2_HUMAN	non-specific serine/threonine protein kinase (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=1	279	non-HK		not_mapped_to_ensg	tr	Q59FN2_HUMAN	TrEMBL unreviewed
Q8N6U2	CL033_HUMAN	Putative uncharacterized protein encoded by LINC00612 OS=Homo sapiens OX=9606 GN=LINC00612 PE=5 SV=1	182	non-HK		not_mapped_to_ensg	sp	CL033_HUMAN	Swiss-Prot reviewed
Q8NH07	O11H2_HUMAN	Olfactory receptor 11H2 OS=Homo sapiens OX=9606 GN=OR11H2 PE=3 SV=1	326	non-HK		not_mapped_to_ensg	sp	O11H2_HUMAN	Swiss-Prot reviewed
P0CB48	UBFL6_HUMAN	Putative upstream-binding factor 1-like protein 6 OS=Homo sapiens OX=9606 GN=UBTFL6 PE=5 SV=1	400	non-HK		not_mapped_to_ensg	sp	UBFL6_HUMAN	Swiss-Prot reviewed
Q6NSI1	AR26L_HUMAN	Putative ankyrin repeat domain-containing protein 26-like protein OS=Homo sapiens OX=9606 GN=ANKRD26P1 PE=5 SV=2	321	non-HK		not_mapped_to_ensg	sp	AR26L_HUMAN	Swiss-Prot reviewed
Q7Z4B0	CR020_HUMAN	Putative uncharacterized protein encoded by LINC00305 OS=Homo sapiens OX=9606 GN=LINC00305 PE=5 SV=1	112	non-HK		not_mapped_to_ensg	sp	CR020_HUMAN	Swiss-Prot reviewed
Q8NAJ2	CI106_HUMAN	Putative uncharacterized protein encoded by LINC02913 OS=Homo sapiens OX=9606 GN=LINC02913 PE=5 SV=2	232	non-HK		not_mapped_to_ensg	sp	CI106_HUMAN	Swiss-Prot reviewed
A6NM66	CU054_HUMAN	Uncharacterized protein encoded by LINC01548 OS=Homo sapiens OX=9606 GN=LINC01548 PE=4 SV=1	108	non-HK		not_mapped_to_ensg	sp	CU054_HUMAN	Swiss-Prot reviewed
P63121	VP113_HUMAN	Endogenous retrovirus group K member 113 Pro protein OS=Homo sapiens OX=9606 GN=HERVK_113 PE=3 SV=2	156	non-HK		not_mapped_to_ensg	sp	VP113_HUMAN	Swiss-Prot reviewed
Q2M2E5	CE064_HUMAN	Uncharacterized protein encoded by LINC03122 OS=Homo sapiens OX=9606 GN=LINC03122 PE=5 SV=2	130	non-HK		not_mapped_to_ensg	sp	CE064_HUMAN	Swiss-Prot reviewed
Q8IWP9	CC28A_HUMAN	Coiled-coil domain-containing protein 28A OS=Homo sapiens OX=9606 GN=CCDC28A PE=1 SV=1	274	non-HK		not_mapped_to_ensg	sp	CC28A_HUMAN	Swiss-Prot reviewed
Q8N7Y1	KIAS3_HUMAN	Putative uncharacterized protein KIRREL3-AS3 OS=Homo sapiens OX=9606 GN=KIRREL3-AS3 PE=5 SV=1	241	non-HK		not_mapped_to_ensg	sp	KIAS3_HUMAN	Swiss-Prot reviewed
P0CL85	ST3L3_HUMAN	STAG3-like protein 3 OS=Homo sapiens OX=9606 GN=STAG3L3 PE=2 SV=1	134	non-HK		not_mapped_to_ensg	sp	ST3L3_HUMAN	Swiss-Prot reviewed
Q5JNZ5	RS26L_HUMAN	Putative ribosomal protein eS26-like OS=Homo sapiens OX=9606 GN=RPS26P11 PE=5 SV=1	115	non-HK		not_mapped_to_ensg	sp	RS26L_HUMAN	Swiss-Prot reviewed
Q8N535	CB052_HUMAN	Putative uncharacterized protein encoded by LINC00471 OS=Homo sapiens OX=9606 GN=LINC00471 PE=5 SV=1	108	non-HK		not_mapped_to_ensg	sp	CB052_HUMAN	Swiss-Prot reviewed
Q8NH67	O52I2_HUMAN	Olfactory receptor 52I2 OS=Homo sapiens OX=9606 GN=OR52I2 PE=2 SV=3	350	non-HK		not_mapped_to_ensg	sp	O52I2_HUMAN	Swiss-Prot reviewed
Q9BXR3	POK6_HUMAN	Endogenous retrovirus group K member 6 Pol protein OS=Homo sapiens OX=9606 GN=ERVK-6 PE=2 SV=2	956	non-HK		not_mapped_to_ensg	sp	POK6_HUMAN	Swiss-Prot reviewed
Q58FG0	HS905_HUMAN	Putative heat shock protein HSP 90-alpha A5 OS=Homo sapiens OX=9606 GN=HSP90AA5P PE=1 SV=1	334	non-HK		not_mapped_to_ensg	sp	HS905_HUMAN	Swiss-Prot reviewed
Q8NH09	OR8S1_HUMAN	Olfactory receptor 8S1 OS=Homo sapiens OX=9606 GN=OR8S1 PE=3 SV=2	359	non-HK		not_mapped_to_ensg	sp	OR8S1_HUMAN	Swiss-Prot reviewed
A6NHR8	FA47D_HUMAN	Putative protein FAM47D OS=Homo sapiens OX=9606 GN=FAM47DP PE=5 SV=3	397	non-HK		not_mapped_to_ensg	sp	FA47D_HUMAN	Swiss-Prot reviewed
Q1A5X7	WHAL1_HUMAN	Putative WASP homolog-associated protein with actin, membranes and microtubules-like protein 1 OS=Homo sapiens OX=9606 GN=WHAMMP3 PE=5 SV=1	153	non-HK		not_mapped_to_ensg	sp	WHAL1_HUMAN	Swiss-Prot reviewed
Q96N68	CR015_HUMAN	Putative uncharacterized protein C18orf15 OS=Homo sapiens OX=9606 GN=C18orf15 PE=5 SV=1	181	non-HK		not_mapped_to_ensg	sp	CR015_HUMAN	Swiss-Prot reviewed
Q9P1Z9	CC180_HUMAN	Coiled-coil domain-containing protein 180 OS=Homo sapiens OX=9606 GN=CCDC180 PE=1 SV=3	1701	non-HK		not_mapped_to_ensg	sp	CC180_HUMAN	Swiss-Prot reviewed
Q9Y4D8	HECD4_HUMAN	Probable E3 ubiquitin-protein ligase HECTD4 OS=Homo sapiens OX=9606 GN=HECTD4 PE=1 SV=5	3996	non-HK		not_mapped_to_ensg	sp	HECD4_HUMAN	Swiss-Prot reviewed
P0C7M3	SFTA3_HUMAN	Surfactant-associated protein 3 OS=Homo sapiens OX=9606 GN=SFTA3 PE=1 SV=1	94	non-HK		not_mapped_to_ensg	sp	SFTA3_HUMAN	Swiss-Prot reviewed
P0C7P4	UCRIL_HUMAN	Putative cytochrome b-c1 complex subunit Rieske-like protein 1 OS=Homo sapiens OX=9606 GN=UQCRFS1P1 PE=5 SV=1	283	non-HK		not_mapped_to_ensg	sp	UCRIL_HUMAN	Swiss-Prot reviewed
Q5K130	CLU1O_HUMAN	Putative uncharacterized protein CLLU1-AS1 OS=Homo sapiens OX=9606 GN=CLLU1-AS1 PE=5 SV=1	101	non-HK		not_mapped_to_ensg	sp	CLU1O_HUMAN	Swiss-Prot reviewed
Q8N1L1	CV037_HUMAN	Putative uncharacterized protein encoded by LINC00528 OS=Homo sapiens OX=9606 GN=LINC00528 PE=5 SV=1	170	non-HK		not_mapped_to_ensg	sp	CV037_HUMAN	Swiss-Prot reviewed
Q9Y6J3	SMA5O_HUMAN	SMAD5 antisense gene protein 1 OS=Homo sapiens OX=9606 GN=SMAD5-AS1 PE=2 SV=1	95	non-HK		not_mapped_to_ensg	sp	SMA5O_HUMAN	Swiss-Prot reviewed
P01782	HV309_HUMAN	Immunoglobulin heavy variable 3-9 OS=Homo sapiens OX=9606 GN=IGHV3-9 PE=1 SV=2	118	non-HK		not_mapped_to_ensg	sp	HV309_HUMAN	Swiss-Prot reviewed
Q8N8A8	F169B_HUMAN	Protein FAM169BP OS=Homo sapiens OX=9606 GN=FAM169BP PE=2 SV=3	192	non-HK		not_mapped_to_ensg	sp	F169B_HUMAN	Swiss-Prot reviewed
Q495D7	CL036_HUMAN	Putative uncharacterized protein encoded by LINC01559 OS=Homo sapiens OX=9606 GN=LINC01559 PE=2 SV=1	138	non-HK		not_mapped_to_ensg	sp	CL036_HUMAN	Swiss-Prot reviewed
Q658T7	F90A2_HUMAN	Putative protein FAM90A2P OS=Homo sapiens OX=9606 GN=FAM90A2P PE=5 SV=2	463	non-HK		not_mapped_to_ensg	sp	F90A2_HUMAN	Swiss-Prot reviewed
Q7RTT6	SSX6_HUMAN	Putative protein SSX6 OS=Homo sapiens OX=9606 GN=SSX6P PE=5 SV=1	188	non-HK		not_mapped_to_ensg	sp	SSX6_HUMAN	Swiss-Prot reviewed
Q8N8I6	CQ055_HUMAN	Putative uncharacterized protein encoded by LINC00482 OS=Homo sapiens OX=9606 GN=LINC00482 PE=5 SV=1	264	non-HK		not_mapped_to_ensg	sp	CQ055_HUMAN	Swiss-Prot reviewed
A6NCN2	KR87P_HUMAN	Putative keratin-87 protein OS=Homo sapiens OX=9606 GN=KRT87P PE=5 SV=4	255	non-HK		not_mapped_to_ensg	sp	KR87P_HUMAN	Swiss-Prot reviewed
O43812	DUX1_HUMAN	Double homeobox protein 1 OS=Homo sapiens OX=9606 GN=DUX1 PE=1 SV=1	170	non-HK		not_mapped_to_ensg	sp	DUX1_HUMAN	Swiss-Prot reviewed
Q8N6C7	PGSF1_HUMAN	Putative uncharacterized protein encoded by MIR7-3HG OS=Homo sapiens OX=9606 GN=MIR7-3HG PE=5 SV=1	128	non-HK		not_mapped_to_ensg	sp	PGSF1_HUMAN	Swiss-Prot reviewed
Q8NA97	FEAS1_HUMAN	Putative uncharacterized protein FER1L6-AS1 OS=Homo sapiens OX=9606 GN=FER1L6-AS1 PE=2 SV=1	138	non-HK		not_mapped_to_ensg	sp	FEAS1_HUMAN	Swiss-Prot reviewed
Q9H052	Q9H052_HUMAN	Uncharacterized protein DKFZp547L112 (Fragment) OS=Homo sapiens OX=9606 GN=DKFZp547L112 PE=2 SV=1	226	non-HK		not_mapped_to_ensg	tr	Q9H052_HUMAN	TrEMBL unreviewed
Q9NRJ2	GSAS1_HUMAN	Putative uncharacterized protein GSN-AS1 OS=Homo sapiens OX=9606 GN=GSN-AS1 PE=5 SV=1	163	non-HK		not_mapped_to_ensg	sp	GSAS1_HUMAN	Swiss-Prot reviewed
A8MPP1	D11L8_HUMAN	Putative ATP-dependent DNA helicase DDX11-like protein 8 OS=Homo sapiens OX=9606 GN=DDX11L8 PE=1 SV=1	907	non-HK		not_mapped_to_ensg	sp	D11L8_HUMAN	Swiss-Prot reviewed
P0C628	O5AC1_HUMAN	Olfactory receptor 5AC1 OS=Homo sapiens OX=9606 GN=OR5AC1 PE=3 SV=1	307	non-HK		not_mapped_to_ensg	sp	O5AC1_HUMAN	Swiss-Prot reviewed
Q9HBQ8	GGA2B_HUMAN	Putative golgin subfamily A member 2B OS=Homo sapiens OX=9606 GN=GOLGA2P5 PE=5 SV=1	144	non-HK		not_mapped_to_ensg	sp	GGA2B_HUMAN	Swiss-Prot reviewed
A8K010	CF176_HUMAN	Putative transcriptional regulator encoded by LINC00473 OS=Homo sapiens OX=9606 GN=LINC00473 PE=5 SV=2	186	non-HK		not_mapped_to_ensg	sp	CF176_HUMAN	Swiss-Prot reviewed
O14609	XKRY_HUMAN	Testis-specific XK-related protein, Y-linked OS=Homo sapiens OX=9606 GN=XKRY PE=2 SV=1	159	non-HK		not_mapped_to_ensg	sp	XKRY_HUMAN	Swiss-Prot reviewed
Q9H2J1	CI037_HUMAN	Uncharacterized protein ARRDC1-AS1 OS=Homo sapiens OX=9606 GN=ARRDC1-AS1 PE=1 SV=2	176	non-HK		not_mapped_to_ensg	sp	CI037_HUMAN	Swiss-Prot reviewed
P0C2Y1	NBPF7_HUMAN	Putative NBPF family member NBPF7 OS=Homo sapiens OX=9606 GN=NBPF7P PE=5 SV=1	421	non-HK		not_mapped_to_ensg	sp	NBPF7_HUMAN	Swiss-Prot reviewed
Q58G82	SY14L_HUMAN	Putative synaptotagmin-14-like protein OS=Homo sapiens OX=9606 GN=SYT14P1 PE=5 SV=2	188	non-HK		not_mapped_to_ensg	sp	SY14L_HUMAN	Swiss-Prot reviewed
Q6ZTB9	ZN833_HUMAN	Putative zinc finger protein 833 OS=Homo sapiens OX=9606 GN=ZNF833P PE=5 SV=1	187	non-HK		not_mapped_to_ensg	sp	ZN833_HUMAN	Swiss-Prot reviewed
Q96NR7	WWAS2_HUMAN	Putative uncharacterized protein WWC2-AS2 OS=Homo sapiens OX=9606 GN=WWC2-AS2 PE=5 SV=1	200	non-HK		not_mapped_to_ensg	sp	WWAS2_HUMAN	Swiss-Prot reviewed
P0DTE1	HV383_HUMAN	Probable non-functional immunoglobulin heavy variable 3-38-3 OS=Homo sapiens OX=9606 GN=IGHV3-38-3 PE=1 SV=1	115	non-HK		not_mapped_to_ensg	sp	HV383_HUMAN	Swiss-Prot reviewed
P56555	DSCR4_HUMAN	Down syndrome critical region protein 4 OS=Homo sapiens OX=9606 GN=DSCR4 PE=1 SV=1	118	non-HK		not_mapped_to_ensg	sp	DSCR4_HUMAN	Swiss-Prot reviewed
Q6IE37	OVOS1_HUMAN	Ovostatin homolog 1 OS=Homo sapiens OX=9606 GN=OVOS1 PE=2 SV=2	1185	non-HK		not_mapped_to_ensg	sp	OVOS1_HUMAN	Swiss-Prot reviewed
Q6IQ22	RAB12_HUMAN	Ras-related protein Rab-12 OS=Homo sapiens OX=9606 GN=RAB12 PE=1 SV=3	244	non-HK		not_mapped_to_ensg	sp	RAB12_HUMAN	Swiss-Prot reviewed
Q6UXR4	SPA13_HUMAN	Putative serpin A13 OS=Homo sapiens OX=9606 GN=SERPINA13P PE=5 SV=1	307	non-HK		not_mapped_to_ensg	sp	SPA13_HUMAN	Swiss-Prot reviewed
Q86UK7	ZN598_HUMAN	E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens OX=9606 GN=ZNF598 PE=1 SV=1	904	non-HK		not_mapped_to_ensg	sp	ZN598_HUMAN	Swiss-Prot reviewed
A6NJ88	SGE2P_HUMAN	Putative SAGE1-like protein OS=Homo sapiens OX=9606 GN=SAGE2P PE=5 SV=4	616	non-HK		not_mapped_to_ensg	sp	SGE2P_HUMAN	Swiss-Prot reviewed
O15016	TRI66_HUMAN	Tripartite motif-containing protein 66 OS=Homo sapiens OX=9606 GN=TRIM66 PE=1 SV=5	1351	non-HK		not_mapped_to_ensg	sp	TRI66_HUMAN	Swiss-Prot reviewed
Q9BZ97	TTY13_HUMAN	Putative transcript Y 13 protein OS=Homo sapiens OX=9606 GN=TTTY13 PE=5 SV=1	58	non-HK		not_mapped_to_ensg	sp	TTY13_HUMAN	Swiss-Prot reviewed
Q9NSJ1	Z355P_HUMAN	Putative zinc finger protein 355P OS=Homo sapiens OX=9606 GN=ZNF355P PE=5 SV=2	428	non-HK		not_mapped_to_ensg	sp	Z355P_HUMAN	Swiss-Prot reviewed
B1AK76	SNUFL_HUMAN	Putative SNURF-like protein OS=Homo sapiens OX=9606 GN=SNURFL PE=5 SV=2	121	non-HK		not_mapped_to_ensg	sp	SNUFL_HUMAN	Swiss-Prot reviewed
P40205	NCYM_HUMAN	N-cym protein OS=Homo sapiens OX=9606 GN=MYCNOS PE=1 SV=2	109	non-HK		not_mapped_to_ensg	sp	NCYM_HUMAN	Swiss-Prot reviewed
Q13434	MKRN4_HUMAN	Putative E3 ubiquitin-protein ligase makorin-4 OS=Homo sapiens OX=9606 GN=MKRN4P PE=5 SV=1	485	non-HK		not_mapped_to_ensg	sp	MKRN4_HUMAN	Swiss-Prot reviewed
Q66K41	Z385C_HUMAN	Zinc finger protein 385C OS=Homo sapiens OX=9606 GN=ZNF385C PE=1 SV=4	422	non-HK		not_mapped_to_ensg	sp	Z385C_HUMAN	Swiss-Prot reviewed
Q86SY8	KTAS1_HUMAN	Putative uncharacterized protein KTN1-AS1 OS=Homo sapiens OX=9606 GN=KTN1-AS1 PE=5 SV=2	53	non-HK		not_mapped_to_ensg	sp	KTAS1_HUMAN	Swiss-Prot reviewed
Q8N1L4	CP4Z2_HUMAN	Putative inactive cytochrome P450 family member 4Z2 OS=Homo sapiens OX=9606 GN=CYP4Z2P PE=5 SV=2	340	non-HK		not_mapped_to_ensg	sp	CP4Z2_HUMAN	Swiss-Prot reviewed
A6NMU1	O52A4_HUMAN	Olfactory receptor 52A4 OS=Homo sapiens OX=9606 GN=OR52A4P PE=2 SV=1	304	non-HK		not_mapped_to_ensg	sp	O52A4_HUMAN	Swiss-Prot reviewed
Q2M238	RN3P1_HUMAN	Putative RRN3-like protein RRN3P1 OS=Homo sapiens OX=9606 GN=RRN3P1 PE=5 SV=1	152	non-HK		not_mapped_to_ensg	sp	RN3P1_HUMAN	Swiss-Prot reviewed
Q8NGH5	O56A1_HUMAN	Olfactory receptor 56A1 OS=Homo sapiens OX=9606 GN=OR56A1 PE=2 SV=3	318	non-HK		not_mapped_to_ensg	sp	O56A1_HUMAN	Swiss-Prot reviewed
K7EIQ3	CS082_HUMAN	Uncharacterized protein ZNF561-AS1 OS=Homo sapiens OX=9606 GN=ZNF561-AS1 PE=4 SV=1	104	non-HK		not_mapped_to_ensg	sp	CS082_HUMAN	Swiss-Prot reviewed
P59922	OR2B8_HUMAN	Olfactory receptor 2B8 OS=Homo sapiens OX=9606 GN=OR2B8 PE=3 SV=1	312	non-HK		not_mapped_to_ensg	sp	OR2B8_HUMAN	Swiss-Prot reviewed
Q59GN2	R39L5_HUMAN	Putative ribosomal protein eL39-like 5 OS=Homo sapiens OX=9606 GN=RPL39P5 PE=5 SV=2	51	non-HK		not_mapped_to_ensg	sp	R39L5_HUMAN	Swiss-Prot reviewed
Q5VUR7	A20A3_HUMAN	Putative ankyrin repeat domain-containing protein 20A3 OS=Homo sapiens OX=9606 GN=ANKRD20A3P PE=5 SV=1	823	non-HK		not_mapped_to_ensg	sp	A20A3_HUMAN	Swiss-Prot reviewed
B2RD01	CENP1_HUMAN	Putative CENPB DNA-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CENPBD1P PE=5 SV=1	187	non-HK		not_mapped_to_ensg	sp	CENP1_HUMAN	Swiss-Prot reviewed
Q8TBR5	CSAS1_HUMAN	Putative uncharacterized protein CIRBP-AS1 OS=Homo sapiens OX=9606 GN=CIRBP-AS1 PE=5 SV=1	109	non-HK		not_mapped_to_ensg	sp	CSAS1_HUMAN	Swiss-Prot reviewed
Q96N53	CK037_HUMAN	Putative uncharacterized protein encoded by LINC00167 OS=Homo sapiens OX=9606 GN=PRDM10-DT PE=5 SV=1	147	non-HK		not_mapped_to_ensg	sp	CK037_HUMAN	Swiss-Prot reviewed
Q96PT4	DUX3_HUMAN	Putative double homeobox protein 3 OS=Homo sapiens OX=9606 GN=DUX3 PE=2 SV=1	197	non-HK		not_mapped_to_ensg	sp	DUX3_HUMAN	Swiss-Prot reviewed
Q8NGA2	OR7A2_HUMAN	Putative olfactory receptor 7A2 OS=Homo sapiens OX=9606 GN=OR7A2P PE=5 SV=1	310	non-HK		not_mapped_to_ensg	sp	OR7A2_HUMAN	Swiss-Prot reviewed
Q99463	NPY6R_HUMAN	Putative neuropeptide Y receptor type 6 OS=Homo sapiens OX=9606 GN=NPY6R PE=5 SV=1	290	non-HK		not_mapped_to_ensg	sp	NPY6R_HUMAN	Swiss-Prot reviewed
Q13069	GAGE5_HUMAN	G antigen 5 OS=Homo sapiens OX=9606 GN=GAGE5 PE=1 SV=1	117	non-HK		not_mapped_to_ensg	sp	GAGE5_HUMAN	Swiss-Prot reviewed
Q6Q795	VBPC1_HUMAN	Putative viral protein-binding protein C1 OS=Homo sapiens OX=9606 PE=5 SV=1	121	non-HK		not_mapped_to_ensg	sp	VBPC1_HUMAN	Swiss-Prot reviewed
Q8N1Y9	YI025_HUMAN	Putative uncharacterized protein FLJ37218 OS=Homo sapiens OX=9606 PE=5 SV=2	231	non-HK		not_mapped_to_ensg	sp	YI025_HUMAN	Swiss-Prot reviewed
Q8N377	YJ004_HUMAN	Putative uncharacterized protein LOC387726 OS=Homo sapiens OX=9606 PE=5 SV=2	158	non-HK		not_mapped_to_ensg	sp	YJ004_HUMAN	Swiss-Prot reviewed
Q8WTZ4	CA5BL_HUMAN	Putative inactive carbonic anhydrase 5B-like protein OS=Homo sapiens OX=9606 GN=CA5BP1 PE=5 SV=2	195	non-HK		not_mapped_to_ensg	sp	CA5BL_HUMAN	Swiss-Prot reviewed
Q96M66	YP010_HUMAN	Putative uncharacterized protein FLJ32790 OS=Homo sapiens OX=9606 PE=2 SV=2	194	non-HK		not_mapped_to_ensg	sp	YP010_HUMAN	Swiss-Prot reviewed
Q9BTK2	YX002_HUMAN	Putative uncharacterized protein LOC642776 OS=Homo sapiens OX=9606 PE=5 SV=2	45	non-HK		not_mapped_to_ensg	sp	YX002_HUMAN	Swiss-Prot reviewed
Q9Y3F1	TA6P_HUMAN	Putative TAP2-associated 6.5 kDa polypeptide OS=Homo sapiens OX=9606 PE=5 SV=1	56	non-HK		not_mapped_to_ensg	sp	TA6P_HUMAN	Swiss-Prot reviewed
A8MUA0	YB057_HUMAN	Putative UPF0607 protein ENSP00000381514 OS=Homo sapiens OX=9606 PE=3 SV=1	341	non-HK		not_mapped_to_ensg	sp	YB057_HUMAN	Swiss-Prot reviewed
Q0VFX4	YL016_HUMAN	Putative uncharacterized protein LOC100128554 OS=Homo sapiens OX=9606 PE=2 SV=1	171	non-HK		not_mapped_to_ensg	sp	YL016_HUMAN	Swiss-Prot reviewed
Q6ZPA2	YS039_HUMAN	Putative uncharacterized protein FLJ26174 OS=Homo sapiens OX=9606 PE=2 SV=1	131	non-HK		not_mapped_to_ensg	sp	YS039_HUMAN	Swiss-Prot reviewed
Q6ZSA8	YS025_HUMAN	Putative uncharacterized protein FLJ45684 OS=Homo sapiens OX=9606 PE=5 SV=2	131	non-HK		not_mapped_to_ensg	sp	YS025_HUMAN	Swiss-Prot reviewed
Q6ZVL8	YP033_HUMAN	Putative uncharacterized protein FLJ42384 OS=Homo sapiens OX=9606 PE=2 SV=1	140	non-HK		not_mapped_to_ensg	sp	YP033_HUMAN	Swiss-Prot reviewed
Q6ZVQ6	YS045_HUMAN	Putative uncharacterized protein FLJ42213 OS=Homo sapiens OX=9606 PE=2 SV=1	151	non-HK		not_mapped_to_ensg	sp	YS045_HUMAN	Swiss-Prot reviewed
P62684	GA113_HUMAN	Endogenous retrovirus group K member 113 Gag polyprotein OS=Homo sapiens OX=9606 GN=HERVK_113 PE=1 SV=3	666	non-HK		not_mapped_to_ensg	sp	GA113_HUMAN	Swiss-Prot reviewed
Q5T6M2	CF122_HUMAN	Putative uncharacterized protein encoded by LINC00242 OS=Homo sapiens OX=9606 GN=LINC00242 PE=5 SV=1	205	non-HK		not_mapped_to_ensg	sp	CF122_HUMAN	Swiss-Prot reviewed
Q8N910	CO056_HUMAN	Putative uncharacterized protein PAK6-AS1 OS=Homo sapiens OX=9606 GN=PAK6-AS1 PE=5 SV=1	161	non-HK		not_mapped_to_ensg	sp	CO056_HUMAN	Swiss-Prot reviewed
O75343	GCYB2_HUMAN	Guanylate cyclase soluble subunit beta-2 OS=Homo sapiens OX=9606 GN=GUCY1B2 PE=5 SV=2	617	non-HK		not_mapped_to_ensg	sp	GCYB2_HUMAN	Swiss-Prot reviewed
P0C864	DANCR_HUMAN	Putative uncharacterized protein DANCR OS=Homo sapiens OX=9606 GN=DANCR PE=5 SV=1	163	non-HK		not_mapped_to_ensg	sp	DANCR_HUMAN	Swiss-Prot reviewed
