uniprot_accession	entry_name	description	protein_length_aa	hk_status_protein_level	hk_source	gene_id	hk_status_gene_level	n_tissues_expressed	mean_nTPM_across_expressed_tissues	median_nTPM_across_expressed_tissues	breadth_group
P28069	PIT1_HUMAN	Pituitary-specific positive transcription factor 1 OS=Homo sapiens OX=9606 GN=POU1F1 PE=1 SV=1	291	non-HK		ENSG00000064835	non-HK	1	55.4	55.4	restricted non-HK
Q15782	CH3L2_HUMAN	Chitinase-3-like protein 2 OS=Homo sapiens OX=9606 GN=CHI3L2 PE=1 SV=1	390	non-HK		ENSG00000064886	non-HK	32	16.89375	9.45	intermediate non-HK
Q9Y2G9	SBNO2_HUMAN	Protein strawberry notch homolog 2 OS=Homo sapiens OX=9606 GN=SBNO2 PE=1 SV=3	1366	non-HK		ENSG00000064932	non-HK	35	29.465714285714284	29.0	intermediate non-HK
P54277	PMS1_HUMAN	PMS1 protein homolog 1 OS=Homo sapiens OX=9606 GN=PMS1 PE=1 SV=1	932	non-HK		ENSG00000064933	non-HK	36	8.366666666666667	7.35	broad non-HK
Q9P0W2	HM20B_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related OS=Homo sapiens OX=9606 GN=HMG20B PE=1 SV=1	317	non-HK		ENSG00000064961	non-HK	36	38.72222222222222	39.3	broad non-HK
Q16602	CALRL_HUMAN	Calcitonin gene-related peptide type 1 receptor OS=Homo sapiens OX=9606 GN=CALCRL PE=1 SV=3	461	non-HK		ENSG00000064989	non-HK	35	6.665714285714286	4.0	intermediate non-HK
Q15544	TAF11_HUMAN	Transcription initiation factor TFIID subunit 11 OS=Homo sapiens OX=9606 GN=TAF11 PE=1 SV=1	211	HK	HRT Atlas	ENSG00000064995	HK	36	14.652777777777779	14.05	HK
Q92625	ANS1A_HUMAN	Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=4	1134	HK	HRT Atlas	ENSG00000064999	HK	36	15.433333333333334	14.35	HK
O14617	AP3D1_HUMAN	AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1	1153	non-HK		ENSG00000065000	non-HK	36	34.19166666666667	31.55	broad non-HK
P36508	ZNF76_HUMAN	Zinc finger protein 76 OS=Homo sapiens OX=9606 GN=ZNF76 PE=1 SV=2	570	non-HK		ENSG00000065029	non-HK	36	22.844444444444445	21.2	broad non-HK
Q15599	NHRF2_HUMAN	Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens OX=9606 GN=NHERF2 PE=1 SV=2	337	non-HK		ENSG00000065054	non-HK	36	126.1222222222222	93.69999999999999	broad non-HK
P78549	NTH_HUMAN	Endonuclease III-like protein 1 OS=Homo sapiens OX=9606 GN=NTHL1 PE=1 SV=3	304	non-HK		ENSG00000065057	non-HK	36	13.81111111111111	12.899999999999999	broad non-HK
Q6BDS2	BLT3A_HUMAN	Bridge-like lipid transfer protein family member 3A OS=Homo sapiens OX=9606 GN=BLTP3A PE=1 SV=1	1440	non-HK		ENSG00000065060	non-HK	36	3.4555555555555557	2.8	broad non-HK
P08754	GNAI3_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3	354	non-HK		ENSG00000065135	non-HK	36	7.716666666666667	6.8	broad non-HK
O00410	IPO5_HUMAN	Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	1097	HK	HRT Atlas	ENSG00000065150	HK	36	30.980555555555554	22.85	HK
P04181	OAT_HUMAN	Ornithine aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=OAT PE=1 SV=1	439	non-HK		ENSG00000065154	non-HK	36	68.23611111111111	60.1	broad non-HK
Q9UNX4	WDR3_HUMAN	WD repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=WDR3 PE=1 SV=1	943	non-HK		ENSG00000065183	non-HK	36	3.5472222222222225	3.6	broad non-HK
Q16513	PKN2_HUMAN	Serine/threonine-protein kinase N2 OS=Homo sapiens OX=9606 GN=PKN2 PE=1 SV=1	984	non-HK		ENSG00000065243	non-HK	36	10.791666666666666	11.0	broad non-HK
Q9BV38	WDR18_HUMAN	WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2	432	non-HK		ENSG00000065268	non-HK	36	17.90277777777778	16.05	broad non-HK
Q15035	TRAM2_HUMAN	Translocating chain-associated membrane protein 2 OS=Homo sapiens OX=9606 GN=TRAM2 PE=1 SV=1	370	non-HK		ENSG00000065308	non-HK	36	8.086111111111112	7.45	broad non-HK
O95631	NET1_HUMAN	Netrin-1 OS=Homo sapiens OX=9606 GN=NTN1 PE=1 SV=2	604	non-HK		ENSG00000065320	non-HK	32	8.803125	5.2	intermediate non-HK
O95838	GLP2R_HUMAN	Glucagon-like peptide 2 receptor OS=Homo sapiens OX=9606 GN=GLP2R PE=1 SV=1	553	non-HK		ENSG00000065325	non-HK	16	4.1625	2.2	intermediate non-HK
Q7L590	MCM10_HUMAN	Protein MCM10 homolog OS=Homo sapiens OX=9606 GN=MCM10 PE=1 SV=2	875	non-HK		ENSG00000065328	non-HK	3	1.3	1.1	restricted non-HK
P23743	DGKA_HUMAN	Diacylglycerol kinase alpha OS=Homo sapiens OX=9606 GN=DGKA PE=1 SV=3	735	non-HK		ENSG00000065357	non-HK	36	19.558333333333334	11.850000000000001	broad non-HK
P21860	ERBB3_HUMAN	Receptor tyrosine-protein kinase erbB-3 OS=Homo sapiens OX=9606 GN=ERBB3 PE=1 SV=1	1342	non-HK		ENSG00000065361	non-HK	34	26.3	20.6	intermediate non-HK
Q9HAT0	ROP1A_HUMAN	Ropporin-1A OS=Homo sapiens OX=9606 GN=ROPN1 PE=1 SV=2	212	non-HK		ENSG00000065371	non-HK	4	39.45	2.5	restricted non-HK
Q8N8A2	ANR44_HUMAN	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Homo sapiens OX=9606 GN=ANKRD44 PE=1 SV=3	993	non-HK		ENSG00000065413	non-HK	36	5.136111111111111	4.05	broad non-HK
Q15046	SYK_HUMAN	Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3	597	HK	HRT Atlas	ENSG00000065427	HK	36	59.84166666666667	54.400000000000006	HK
Q9BUB4	ADAT1_HUMAN	tRNA-specific adenosine deaminase 1 OS=Homo sapiens OX=9606 GN=ADAT1 PE=1 SV=1	502	non-HK		ENSG00000065457	non-HK	36	10.847222222222221	10.05	broad non-HK
Q14554	PDIA5_HUMAN	Protein disulfide-isomerase A5 OS=Homo sapiens OX=9606 GN=PDIA5 PE=1 SV=1	519	non-HK		ENSG00000065485	non-HK	31	12.780645161290321	11.5	intermediate non-HK
Q9NU19	TB22B_HUMAN	TBC1 domain family member 22B OS=Homo sapiens OX=9606 GN=TBC1D22B PE=1 SV=3	505	HK	HRT Atlas	ENSG00000065491	HK	36	7.808333333333334	7.15	HK
O95168	NDUB4_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens OX=9606 GN=NDUFB4 PE=1 SV=3	129	HK	HRT Atlas	ENSG00000065518	HK	36	179.71944444444443	151.75	HK
Q96T58	MINT_HUMAN	Msx2-interacting protein OS=Homo sapiens OX=9606 GN=SPEN PE=1 SV=1	3664	HK	HRT Atlas	ENSG00000065526	HK	36	12.358333333333333	12.25	HK
Q15746	MYLK_HUMAN	Myosin light chain kinase, smooth muscle OS=Homo sapiens OX=9606 GN=MYLK PE=1 SV=4	1914	non-HK		ENSG00000065534	non-HK	31	16.261290322580646	7.6	intermediate non-HK
Q8WU90	ZC3HF_HUMAN	Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ZC3H15 PE=1 SV=1	426	HK	HRT Atlas	ENSG00000065548	HK	36	32.73888888888889	31.4	HK
P45985	MP2K4_HUMAN	Dual specificity mitogen-activated protein kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP2K4 PE=1 SV=1	399	non-HK		ENSG00000065559	non-HK	36	14.308333333333334	11.45	broad non-HK
Q9H813	PACC1_HUMAN	Proton-activated chloride channel OS=Homo sapiens OX=9606 GN=PACC1 PE=1 SV=1	350	non-HK		ENSG00000065600	non-HK	36	6.944444444444445	2.8	broad non-HK
O60641	AP180_HUMAN	Clathrin coat assembly protein AP180 OS=Homo sapiens OX=9606 GN=SNAP91 PE=1 SV=2	907	non-HK		ENSG00000065609	non-HK	17	30.158823529411766	24.2	intermediate non-HK
Q9H2G2	SLK_HUMAN	STE20-like serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=SLK PE=1 SV=1	1235	non-HK		ENSG00000065613	non-HK	36	15.005555555555556	13.350000000000001	broad non-HK
Q7L1T6	NB5R4_HUMAN	Cytochrome b5 reductase 4 OS=Homo sapiens OX=9606 GN=CYB5R4 PE=1 SV=1	521	non-HK		ENSG00000065615	non-HK	36	2.966666666666667	2.6	broad non-HK
Q9UMD9	COHA1_HUMAN	Collagen alpha-1(XVII) chain OS=Homo sapiens OX=9606 GN=COL17A1 PE=1 SV=3	1497	non-HK		ENSG00000065618	non-HK	17	46.87647058823529	20.0	intermediate non-HK
Q9H4Y5	GSTO2_HUMAN	Glutathione S-transferase omega-2 OS=Homo sapiens OX=9606 GN=GSTO2 PE=1 SV=1	243	non-HK		ENSG00000065621	non-HK	32	3.815625	2.95	intermediate non-HK
Q9H9S3	S61A2_HUMAN	Protein transport protein Sec61 subunit alpha isoform 2 OS=Homo sapiens OX=9606 GN=SEC61A2 PE=1 SV=3	476	non-HK		ENSG00000065665	non-HK	36	10.766666666666666	6.75	broad non-HK
Q04759	KPCT_HUMAN	Protein kinase C theta type OS=Homo sapiens OX=9606 GN=PRKCQ PE=1 SV=3	706	non-HK		ENSG00000065675	non-HK	20	6.625	3.5	intermediate non-HK
Q04725	TLE2_HUMAN	Transducin-like enhancer protein 2 OS=Homo sapiens OX=9606 GN=TLE2 PE=1 SV=2	743	non-HK		ENSG00000065717	non-HK	36	43.34722222222222	32.35	broad non-HK
Q9Y576	ASB1_HUMAN	Ankyrin repeat and SOCS box protein 1 OS=Homo sapiens OX=9606 GN=ASB1 PE=1 SV=1	335	non-HK		ENSG00000065802	non-HK	36	9.347222222222221	8.2	broad non-HK
Q9H098	F107B_HUMAN	Protein FAM107B OS=Homo sapiens OX=9606 GN=FAM107B PE=1 SV=1	131	non-HK		ENSG00000065809	non-HK	36	36.63333333333333	26.15	broad non-HK
P48163	MAOX_HUMAN	NADP-dependent malic enzyme OS=Homo sapiens OX=9606 GN=ME1 PE=1 SV=1	572	non-HK		ENSG00000065833	non-HK	36	12.866666666666667	11.15	broad non-HK
Q86TI0	TBCD1_HUMAN	TBC1 domain family member 1 OS=Homo sapiens OX=9606 GN=TBC1D1 PE=1 SV=2	1168	non-HK		ENSG00000065882	non-HK	36	30.174999999999997	18.8	broad non-HK
Q14004	CDK13_HUMAN	Cyclin-dependent kinase 13 OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=2	1512	non-HK		ENSG00000065883	non-HK	36	9.705555555555556	9.35	broad non-HK
P13995	MTDC_HUMAN	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD2 PE=1 SV=2	350	non-HK		ENSG00000065911	non-HK	36	24.413888888888888	22.299999999999997	broad non-HK
Q96T83	SL9A7_HUMAN	Sodium/hydrogen exchanger 7 OS=Homo sapiens OX=9606 GN=SLC9A7 PE=1 SV=1	725	non-HK		ENSG00000065923	non-HK	29	4.410344827586207	2.9	intermediate non-HK
Q9P0K8	FOXJ2_HUMAN	Forkhead box protein J2 OS=Homo sapiens OX=9606 GN=FOXJ2 PE=1 SV=1	574	HK	HRT Atlas	ENSG00000065970	HK	36	10.672222222222222	9.75	HK
P67809	YBOX1_HUMAN	Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	324	HK	HRT Atlas	ENSG00000065978	HK	36	339.7583333333333	277.55	HK
P27815	PDE4A_HUMAN	3',5'-cyclic-AMP phosphodiesterase 4A OS=Homo sapiens OX=9606 GN=PDE4A PE=1 SV=3	886	non-HK		ENSG00000065989	non-HK	36	10.011111111111111	9.1	broad non-HK
Q15172	2A5A_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R5A PE=1 SV=1	486	HK	HRT Atlas	ENSG00000066027	HK	36	26.908333333333335	27.4	HK
P26232	CTNA2_HUMAN	Catenin alpha-2 OS=Homo sapiens OX=9606 GN=CTNNA2 PE=1 SV=5	953	non-HK		ENSG00000066032	non-HK	12	39.300000000000004	33.25	intermediate non-HK
Q15717	ELAV1_HUMAN	ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2	326	HK	HRT Atlas	ENSG00000066044	HK	36	22.352777777777778	23.05	HK
P35590	TIE1_HUMAN	Tyrosine-protein kinase receptor Tie-1 OS=Homo sapiens OX=9606 GN=TIE1 PE=1 SV=1	1138	non-HK		ENSG00000066056	non-HK	35	13.58	9.8	intermediate non-HK
Q9P265	DIP2B_HUMAN	Disco-interacting protein 2 homolog B OS=Homo sapiens OX=9606 GN=DIP2B PE=1 SV=3	1576	non-HK		ENSG00000066084	non-HK	36	9.155555555555557	6.1	broad non-HK
Q96GM5	SMRD1_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Homo sapiens OX=9606 GN=SMARCD1 PE=1 SV=2	515	non-HK		ENSG00000066117	non-HK	36	21.836111111111112	21.4	broad non-HK
O75164	KDM4A_HUMAN	Lysine-specific demethylase 4A OS=Homo sapiens OX=9606 GN=KDM4A PE=1 SV=2	1064	non-HK		ENSG00000066135	non-HK	36	11.105555555555556	10.75	broad non-HK
Q13952	NFYC_HUMAN	Nuclear transcription factor Y subunit gamma OS=Homo sapiens OX=9606 GN=NFYC PE=1 SV=3	458	HK	HRT Atlas	ENSG00000066136	HK	36	29.70555555555556	29.2	HK
Q9H0C1	ZMY12_HUMAN	Zinc finger MYND domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ZMYND12 PE=1 SV=3	365	non-HK		ENSG00000066185	non-HK	22	3.6318181818181823	3.25	intermediate non-HK
P48764	SL9A3_HUMAN	Sodium/hydrogen exchanger 3 OS=Homo sapiens OX=9606 GN=SLC9A3 PE=1 SV=2	834	non-HK		ENSG00000066230	non-HK	30	6.836666666666668	1.65	intermediate non-HK
Q8N5V2	NGEF_HUMAN	Ephexin-1 OS=Homo sapiens OX=9606 GN=NGEF PE=1 SV=2	710	non-HK		ENSG00000066248	non-HK	32	16.953125	5.0	intermediate non-HK
Q8IZT6	ASPM_HUMAN	Abnormal spindle-like microcephaly-associated protein OS=Homo sapiens OX=9606 GN=ASPM PE=1 SV=2	3477	non-HK		ENSG00000066279	non-HK	2	1.2999999999999998	1.2999999999999998	restricted non-HK
Q9UIB8	SLAF5_HUMAN	SLAM family member 5 OS=Homo sapiens OX=9606 GN=CD84 PE=1 SV=1	345	non-HK		ENSG00000066294	non-HK	14	2.5785714285714287	1.6	intermediate non-HK
Q9BW60	ELOV1_HUMAN	Very long chain fatty acid elongase 1 OS=Homo sapiens OX=9606 GN=ELOVL1 PE=1 SV=1	279	HK	HRT Atlas	ENSG00000066322	HK	36	69.85555555555555	56.400000000000006	HK
P17947	SPI1_HUMAN	Transcription factor PU.1 OS=Homo sapiens OX=9606 GN=SPI1 PE=1 SV=2	270	non-HK		ENSG00000066336	non-HK	35	19.457142857142856	10.6	intermediate non-HK
Q9P1U0	RPA12_HUMAN	DNA-directed RNA polymerase I subunit RPA12 OS=Homo sapiens OX=9606 GN=POLR1H PE=1 SV=1	126	non-HK		ENSG00000066379	non-HK	36	20.672222222222224	22.15	broad non-HK
Q15777	MPPD2_HUMAN	Metallophosphoesterase MPPED2 OS=Homo sapiens OX=9606 GN=MPPED2 PE=1 SV=1	294	non-HK		ENSG00000066382	non-HK	30	5.8133333333333335	4.4	intermediate non-HK
P56856	CLD18_HUMAN	Claudin-18 OS=Homo sapiens OX=9606 GN=CLDN18 PE=1 SV=1	261	non-HK		ENSG00000066405	non-HK	3	151.0	86.1	restricted non-HK
O95625	ZBT11_HUMAN	Zinc finger and BTB domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ZBTB11 PE=1 SV=2	1053	non-HK		ENSG00000066422	non-HK	36	5.047222222222222	5.0	broad non-HK
P54252	ATX3_HUMAN	Ataxin-3 OS=Homo sapiens OX=9606 GN=ATXN3 PE=1 SV=5	361	non-HK		ENSG00000066427	non-HK	36	4.752777777777777	4.6	broad non-HK
Q8TBA6	GOGA5_HUMAN	Golgin subfamily A member 5 OS=Homo sapiens OX=9606 GN=GOLGA5 PE=1 SV=3	731	HK	HRT Atlas	ENSG00000066455	HK	36	21.916666666666668	20.35	HK
P21802	FGFR2_HUMAN	Fibroblast growth factor receptor 2 OS=Homo sapiens OX=9606 GN=FGFR2 PE=1 SV=1	821	non-HK		ENSG00000066468	non-HK	33	35.25757575757576	7.3	intermediate non-HK
Q9H9A6	LRC40_HUMAN	Leucine-rich repeat-containing protein 40 OS=Homo sapiens OX=9606 GN=LRRC40 PE=1 SV=1	602	non-HK		ENSG00000066557	non-HK	36	5.683333333333334	5.25	broad non-HK
Q96CN7	ISOC1_HUMAN	Isochorismatase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ISOC1 PE=1 SV=3	298	non-HK		ENSG00000066583	non-HK	36	17.700000000000003	14.5	broad non-HK
O00423	EMAL1_HUMAN	Echinoderm microtubule-associated protein-like 1 OS=Homo sapiens OX=9606 GN=EML1 PE=1 SV=3	815	non-HK		ENSG00000066629	non-HK	36	10.427777777777777	9.100000000000001	broad non-HK
Q7Z4G4	TRM11_HUMAN	tRNA (guanine(10)-N(2))-methyltransferase TRMT11 OS=Homo sapiens OX=9606 GN=TRMT11 PE=1 SV=1	463	non-HK		ENSG00000066651	non-HK	36	11.56111111111111	10.350000000000001	broad non-HK
Q9NXG2	THUM1_HUMAN	THUMP domain-containing protein 1 OS=Homo sapiens OX=9606 GN=THUMPD1 PE=1 SV=2	353	non-HK		ENSG00000066654	non-HK	36	14.299999999999999	13.350000000000001	broad non-HK
Q96H12	MSD3_HUMAN	Myb/SANT-like DNA-binding domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MSANTD3 PE=1 SV=1	275	non-HK		ENSG00000066697	non-HK	36	10.430555555555555	10.05	broad non-HK
Q9ULI4	KI26A_HUMAN	Kinesin-like protein KIF26A OS=Homo sapiens OX=9606 GN=KIF26A PE=1 SV=3	1882	non-HK		ENSG00000066735	non-HK	30	2.546666666666667	2.0	intermediate non-HK
Q96BY7	ATG2B_HUMAN	Autophagy-related protein 2 homolog B OS=Homo sapiens OX=9606 GN=ATG2B PE=1 SV=5	2078	non-HK		ENSG00000066739	non-HK	36	6.727777777777778	6.2	broad non-HK
Q9Y6D6	BIG1_HUMAN	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Homo sapiens OX=9606 GN=ARFGEF1 PE=1 SV=2	1849	non-HK		ENSG00000066777	non-HK	36	7.480555555555556	6.699999999999999	broad non-HK
Q68CK6	ACS2B_HUMAN	Acyl-coenzyme A synthetase ACSM2B, mitochondrial OS=Homo sapiens OX=9606 GN=ACSM2B PE=1 SV=2	577	non-HK		ENSG00000066813	non-HK	2	333.0	333.0	restricted non-HK
Q9P243	ZFAT_HUMAN	Zinc finger protein ZFAT OS=Homo sapiens OX=9606 GN=ZFAT PE=1 SV=2	1243	non-HK		ENSG00000066827	non-HK	32	1.9906249999999999	1.8	intermediate non-HK
Q15390	MTFR1_HUMAN	Mitochondrial fission regulator 1 OS=Homo sapiens OX=9606 GN=MTFR1 PE=1 SV=2	333	non-HK		ENSG00000066855	non-HK	36	7.652777777777778	6.2	broad non-HK
Q9UJ98	STAG3_HUMAN	Cohesin subunit SA-3 OS=Homo sapiens OX=9606 GN=STAG3 PE=1 SV=2	1225	non-HK		ENSG00000066923	non-HK	1	30.3	30.3	restricted non-HK
P22830	HEMH_HUMAN	Ferrochelatase, mitochondrial OS=Homo sapiens OX=9606 GN=FECH PE=1 SV=2	423	non-HK		ENSG00000066926	non-HK	35	2.4914285714285715	2.2	intermediate non-HK
B2RTY4	MYO9A_HUMAN	Unconventional myosin-IXa OS=Homo sapiens OX=9606 GN=MYO9A PE=1 SV=2	2548	non-HK		ENSG00000066933	non-HK	36	7.055555555555555	5.550000000000001	broad non-HK
O15523	DDX3Y_HUMAN	ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2	660	non-HK		ENSG00000067048	non-HK	31	20.67096774193548	20.1	intermediate non-HK
Q01813	PFKAP_HUMAN	ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2	784	non-HK		ENSG00000067057	non-HK	36	48.65833333333333	40.65	broad non-HK
Q13907	IDI1_HUMAN	Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1 PE=1 SV=2	227	non-HK		ENSG00000067064	non-HK	36	31.59444444444445	26.35	broad non-HK
P23497	SP100_HUMAN	Nuclear autoantigen Sp-100 OS=Homo sapiens OX=9606 GN=SP100 PE=1 SV=3	879	non-HK		ENSG00000067066	non-HK	36	30.619444444444444	33.55	broad non-HK
Q99612	KLF6_HUMAN	Krueppel-like factor 6 OS=Homo sapiens OX=9606 GN=KLF6 PE=1 SV=3	283	non-HK		ENSG00000067082	non-HK	36	58.11944444444445	60.45	broad non-HK
O14494	PLPP1_HUMAN	Phospholipid phosphatase 1 OS=Homo sapiens OX=9606 GN=PLPP1 PE=1 SV=1	284	non-HK		ENSG00000067113	non-HK	36	74.66944444444444	62.05	broad non-HK
Q92859	NEO1_HUMAN	Neogenin OS=Homo sapiens OX=9606 GN=NEO1 PE=1 SV=2	1461	non-HK		ENSG00000067141	non-HK	36	14.102777777777778	13.15	broad non-HK
Q15629	TRAM1_HUMAN	Translocating chain-associated membrane protein 1 OS=Homo sapiens OX=9606 GN=TRAM1 PE=1 SV=3	374	HK	HRT Atlas	ENSG00000067167	HK	36	42.894444444444446	39.9	HK
P46020	KPB1_HUMAN	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform OS=Homo sapiens OX=9606 GN=PHKA1 PE=1 SV=2	1223	non-HK		ENSG00000067177	non-HK	36	7.211111111111112	3.9499999999999997	broad non-HK
P19438	TNR1A_HUMAN	Tumor necrosis factor receptor superfamily member 1A OS=Homo sapiens OX=9606 GN=TNFRSF1A PE=1 SV=1	455	non-HK		ENSG00000067182	non-HK	36	72.5638888888889	83.8	broad non-HK
Q02641	CACB1_HUMAN	Voltage-dependent L-type calcium channel subunit beta-1 OS=Homo sapiens OX=9606 GN=CACNB1 PE=1 SV=3	598	non-HK		ENSG00000067191	non-HK	28	18.9	3.4000000000000004	intermediate non-HK
O60447	EVI5_HUMAN	Ecotropic viral integration site 5 protein homolog OS=Homo sapiens OX=9606 GN=EVI5 PE=1 SV=3	810	non-HK		ENSG00000067208	non-HK	36	2.7583333333333333	2.7	broad non-HK
Q9UBI4	STML1_HUMAN	Stomatin-like protein 1 OS=Homo sapiens OX=9606 GN=STOML1 PE=1 SV=1	398	non-HK		ENSG00000067221	non-HK	36	15.280555555555557	10.6	broad non-HK
P14618	KPYM_HUMAN	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	531	non-HK		ENSG00000067225	non-HK	36	368.10833333333335	302.55	broad non-HK
Q7Z478	DHX29_HUMAN	ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=2	1369	HK	HRT Atlas	ENSG00000067248	HK	36	9.352777777777778	9.6	HK
Q5QJE6	TDIF2_HUMAN	Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens OX=9606 GN=DNTTIP2 PE=1 SV=2	756	non-HK		ENSG00000067334	non-HK	36	3.1277777777777778	2.95	broad non-HK
Q9BUU2	MET22_HUMAN	Methyltransferase-like protein 22 OS=Homo sapiens OX=9606 GN=METTL22 PE=1 SV=2	404	non-HK		ENSG00000067365	non-HK	36	6.177777777777778	5.15	broad non-HK
Q12888	TP53B_HUMAN	TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2	1972	non-HK		ENSG00000067369	non-HK	36	9.0	7.65	broad non-HK
Q12816	TROP_HUMAN	Trophinin OS=Homo sapiens OX=9606 GN=TRO PE=1 SV=3	1431	non-HK		ENSG00000067445	non-HK	34	6.5588235294117645	5.65	intermediate non-HK
Q9Y3B9	RRP15_HUMAN	RRP15-like protein OS=Homo sapiens OX=9606 GN=RRP15 PE=1 SV=2	282	non-HK		ENSG00000067533	non-HK	36	2.625	2.45	broad non-HK
P61586	RHOA_HUMAN	Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1	193	HK	HRT Atlas	ENSG00000067560	HK	36	280.55555555555554	284.05	HK
Q14562	DHX8_HUMAN	ATP-dependent RNA helicase DHX8 OS=Homo sapiens OX=9606 GN=DHX8 PE=1 SV=1	1220	non-HK		ENSG00000067596	non-HK	36	19.044444444444444	18.6	broad non-HK
Q05513	KPCZ_HUMAN	Protein kinase C zeta type OS=Homo sapiens OX=9606 GN=PRKCZ PE=1 SV=4	592	non-HK		ENSG00000067606	non-HK	34	22.11764705882353	10.95	intermediate non-HK
P08048	ZFY_HUMAN	Zinc finger Y-chromosomal protein OS=Homo sapiens OX=9606 GN=ZFY PE=1 SV=3	801	non-HK		ENSG00000067646	non-HK	31	2.0161290322580645	1.7	intermediate non-HK
Q9NSE4	SYIM_HUMAN	Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2	1012	non-HK		ENSG00000067704	non-HK	36	29.394444444444446	27.15	broad non-HK
P21579	SYT1_HUMAN	Synaptotagmin-1 OS=Homo sapiens OX=9606 GN=SYT1 PE=1 SV=1	422	non-HK		ENSG00000067715	non-HK	21	51.0047619047619	5.2	intermediate non-HK
Q8IVL0	NAV3_HUMAN	Neuron navigator 3 OS=Homo sapiens OX=9606 GN=NAV3 PE=1 SV=3	2385	non-HK		ENSG00000067798	non-HK	28	4.392857142857143	2.95	intermediate non-HK
P51553	IDH3G_HUMAN	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3G PE=1 SV=1	393	HK	HRT Atlas	ENSG00000067829	HK	36	57.08611111111111	52.650000000000006	HK
Q9GZN7	ROGDI_HUMAN	Protein rogdi homolog OS=Homo sapiens OX=9606 GN=ROGDI PE=1 SV=1	287	non-HK		ENSG00000067836	non-HK	36	36.40277777777778	24.75	broad non-HK
Q76G19	PDZD4_HUMAN	PDZ domain-containing protein 4 OS=Homo sapiens OX=9606 GN=PDZD4 PE=1 SV=1	769	non-HK		ENSG00000067840	non-HK	36	42.611111111111114	9.1	broad non-HK
Q16720	AT2B3_HUMAN	Plasma membrane calcium-transporting ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2B3 PE=1 SV=3	1220	non-HK		ENSG00000067842	non-HK	11	6.109090909090909	4.9	restricted non-HK
Q13464	ROCK1_HUMAN	Rho-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=ROCK1 PE=1 SV=1	1354	non-HK		ENSG00000067900	non-HK	36	4.566666666666666	4.35	broad non-HK
