Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	gene_id	gene_length_bp
ENSG00000137575	58552924	58582859	8	ENSG00000137575	29936
ENSG00000119986	97677424	97687241	10	ENSG00000119986	9818
ENSG00000113522	132556019	132646349	5	ENSG00000113522	90331
ENSG00000136122	72727749	72756198	13	ENSG00000136122	28450
ENSG00000119703	75064109	75119502	14	ENSG00000119703	55394
ENSG00000109787	38664197	38701517	4	ENSG00000109787	37321
ENSG00000116016	46293667	46386697	2	ENSG00000116016	93031
ENSG00000196581	4654609	4792534	1	ENSG00000196581	137926
ENSG00000052749	97356358	97426076	10	ENSG00000052749	69719
ENSG00000178665	55887456	55942530	7	ENSG00000178665	55075
ENSG00000234289	43565182	43565648	21	ENSG00000234289	467
ENSG00000156269	79225694	79326061	4	ENSG00000156269	100368
ENSG00000142182	44246339	44262216	21	ENSG00000142182	15878
ENSG00000133131	106813871	107000212	X	ENSG00000133131	186342
ENSG00000173040	5542772	5709548	4	ENSG00000173040	166777
ENSG00000170348	75131469	75176612	14	ENSG00000170348	45144
ENSG00000136250	36512941	36724549	7	ENSG00000136250	211609
ENSG00000169403	28147166	28193936	1	ENSG00000169403	46771
ENSG00000274322	1317571	1393096	20	ENSG00000274322	75526
ENSG00000196209	1470741	1491587	20	ENSG00000196209	20847
ENSG00000206075	63476958	63505085	18	ENSG00000206075	28128
ENSG00000100665	94561442	94569913	14	ENSG00000100665	8472
ENSG00000084628	31179745	31239887	1	ENSG00000084628	60143
ENSG00000150361	69700594	70108493	13	ENSG00000150361	407900
ENSG00000143919	44361947	44772592	2	ENSG00000143919	410646
ENSG00000060688	31259568	31296788	1	ENSG00000060688	37221
ENSG00000166682	113687547	113706373	11	ENSG00000166682	18827
ENSG00000125900	1534251	1557705	20	ENSG00000125900	23455
ENSG00000160224	44285838	44298648	21	ENSG00000160224	12811
ENSG00000171791	63123346	63320128	18	ENSG00000171791	196783
ENSG00000155959	155197007	155239841	X	ENSG00000155959	42835
ENSG00000188488	94561442	94593118	14	ENSG00000188488	31677
ENSG00000124104	45833799	45843276	20	ENSG00000124104	9478
ENSG00000181626	12093843	12129764	18	ENSG00000181626	35922
ENSG00000171612	9539465	9585173	1	ENSG00000171612	45709
ENSG00000122034	27424619	27435823	13	ENSG00000122034	11205
ENSG00000135631	73073382	73156721	2	ENSG00000135631	83340
ENSG00000176231	15944299	15950350	19	ENSG00000176231	6052
ENSG00000188910	34781214	34786369	1	ENSG00000188910	5156
ENSG00000141979	16479067	16628204	19	ENSG00000141979	149138
ENSG00000141959	44300051	44327376	21	ENSG00000141959	27326
ENSG00000176194	12254361	12277595	18	ENSG00000176194	23235
ENSG00000132801	45857614	45879122	20	ENSG00000132801	21509
ENSG00000123496	115003975	115019977	X	ENSG00000123496	16003
ENSG00000116138	15526813	15592379	1	ENSG00000116138	65567
ENSG00000100979	45898621	45912155	20	ENSG00000100979	13535
ENSG00000130299	17334920	17342731	19	ENSG00000130299	7812
ENSG00000273259	94592058	94624646	14	ENSG00000273259	32589
ENSG00000106070	50590063	50793462	7	ENSG00000106070	203400
ENSG00000075340	70607618	70768225	2	ENSG00000075340	160608
ENSG00000196136	94612384	94624055	14	ENSG00000196136	11672
ENSG00000281883	43883800	44028526	13	ENSG00000281883	144727
ENSG00000176014	12307669	12344320	18	ENSG00000176014	36652
ENSG00000120690	40931924	41061440	13	ENSG00000120690	129517
ENSG00000155792	119873717	120050918	8	ENSG00000155792	177202
ENSG00000189308	82909973	83012926	4	ENSG00000189308	102954
ENSG00000285547	72301691	72572843	X	ENSG00000285547	271153
ENSG00000100528	54423561	54441391	14	ENSG00000100528	17831
ENSG00000067177	72578814	72714319	X	ENSG00000067177	135506
ENSG00000136155	77535674	77645263	13	ENSG00000136155	109590
ENSG00000100982	45934683	45948023	20	ENSG00000100982	13341
ENSG00000215114	58411359	58451501	8	ENSG00000215114	40143
ENSG00000198026	45948660	45972203	20	ENSG00000198026	23544
ENSG00000197045	54474484	54489026	14	ENSG00000197045	14543
ENSG00000120899	27311482	27459391	8	ENSG00000120899	147910
ENSG00000099901	20115938	20127355	22	ENSG00000099901	11418
ENSG00000177879	115841592	115914081	5	ENSG00000177879	72490
ENSG00000100985	46008908	46016561	20	ENSG00000100985	7654
ENSG00000110675	107591091	107666779	11	ENSG00000110675	75689
ENSG00000088832	1368977	1393164	20	ENSG00000088832	24188
ENSG00000160226	44328944	44339402	21	ENSG00000160226	10459
ENSG00000177150	13663347	13726663	18	ENSG00000177150	63317
ENSG00000158161	27970344	28088637	1	ENSG00000158161	118294
ENSG00000020577	54566117	54793315	14	ENSG00000020577	227199
ENSG00000113369	91368631	91383317	5	ENSG00000113369	14687
ENSG00000177103	117427772	117817525	11	ENSG00000177103	389754
ENSG00000168152	82900684	82919969	4	ENSG00000168152	19286
ENSG00000088836	3227417	3239559	20	ENSG00000088836	12143
ENSG00000099904	20129456	20148007	22	ENSG00000099904	18552
ENSG00000101654	13726660	13764556	18	ENSG00000101654	37897
ENSG00000268790	16577642	16660115	19	ENSG00000268790	82474
ENSG00000164209	110738136	110765161	5	ENSG00000164209	27026
ENSG00000160233	44455510	44462196	21	ENSG00000160233	6687
ENSG00000196475	79406361	79408228	4	ENSG00000196475	1868
ENSG00000175894	44497893	44711572	21	ENSG00000175894	213680
ENSG00000170502	87422573	87459455	4	ENSG00000170502	36883
ENSG00000074855	17323223	17334855	19	ENSG00000074855	11633
ENSG00000177613	51695486	51699595	10	ENSG00000177613	4110
ENSG00000213390	97222173	97292673	10	ENSG00000213390	70501
ENSG00000102383	75368427	75523502	X	ENSG00000102383	155076
ENSG00000234409	20148416	20151055	22	ENSG00000234409	2640
ENSG00000102804	44432143	44577147	13	ENSG00000102804	145005
ENSG00000100084	19330698	19447450	22	ENSG00000100084	116753
ENSG00000198554	54938949	55027105	14	ENSG00000198554	88157
ENSG00000169306	28587446	29956718	X	ENSG00000169306	1369273
ENSG00000176407	84971093	85059472	2	ENSG00000176407	88380
ENSG00000215455	44538981	44540195	21	ENSG00000215455	1215
ENSG00000205445	44550357	44551505	21	ENSG00000205445	1149
ENSG00000212935	44557790	44558795	21	ENSG00000212935	1006
ENSG00000241123	44579455	44580604	21	ENSG00000241123	1150
ENSG00000188155	44591268	44592505	21	ENSG00000188155	1238
ENSG00000272804	44600597	44602174	21	ENSG00000272804	1578
ENSG00000258674	19516227	19536076	19	ENSG00000258674	19850
ENSG00000187766	44612079	44612954	21	ENSG00000187766	876
ENSG00000221859	44637356	44638455	21	ENSG00000221859	1100
ENSG00000243489	44646414	44647650	21	ENSG00000243489	1237
ENSG00000212933	44654213	44654659	21	ENSG00000212933	447
ENSG00000205439	44657932	44658341	21	ENSG00000205439	410
ENSG00000221864	44666189	44666927	21	ENSG00000221864	739
ENSG00000187175	44681576	44682163	21	ENSG00000187175	588
ENSG00000189169	44697172	44698044	21	ENSG00000189169	873
ENSG00000156920	136300963	136416890	X	ENSG00000156920	115928
ENSG00000119866	60450520	60554467	2	ENSG00000119866	103948
ENSG00000184787	44768580	44801826	21	ENSG00000184787	33247
ENSG00000105058	16185380	16192046	19	ENSG00000105058	6667
ENSG00000113368	126776623	126837020	5	ENSG00000113368	60398
ENSG00000109208	70360760	70367158	4	ENSG00000109208	6399
ENSG00000150893	38687077	38887131	13	ENSG00000150893	200055
ENSG00000035720	67558727	67607337	4	ENSG00000035720	48611
ENSG00000132205	2847006	2916003	18	ENSG00000132205	68998
ENSG00000125967	33657087	33674463	20	ENSG00000125967	17377
ENSG00000166171	101570560	101609662	10	ENSG00000166171	39103
ENSG00000145246	47485275	47593486	4	ENSG00000145246	108212
ENSG00000155961	155258235	155264491	X	ENSG00000155961	6257
ENSG00000105393	17267376	17281249	19	ENSG00000105393	13874
ENSG00000101608	3247481	3256236	18	ENSG00000101608	8756
ENSG00000186310	93670930	93673578	X	ENSG00000186310	2649
ENSG00000204918	57147488	57150509	13	ENSG00000204918	3022
ENSG00000147231	106611930	106679439	X	ENSG00000147231	67510
ENSG00000134986	111662621	111997464	5	ENSG00000134986	334844
ENSG00000142684	26169908	26170873	1	ENSG00000142684	966
ENSG00000183255	44849585	44873903	21	ENSG00000183255	24319
ENSG00000136111	75283503	75482169	13	ENSG00000136111	198667
ENSG00000121769	31365253	31376850	1	ENSG00000121769	11598
ENSG00000166169	101578882	101588270	10	ENSG00000166169	9389
ENSG00000160256	44940012	44976989	21	ENSG00000160256	36978
ENSG00000281593	30362400	30412502	7	ENSG00000281593	50103
ENSG00000005020	26667068	26995239	7	ENSG00000005020	328172
ENSG00000142627	16124337	16156069	1	ENSG00000142627	31733
ENSG00000034510	84905656	84906671	2	ENSG00000034510	1016
ENSG00000187105	73478484	73558947	14	ENSG00000187105	80464
ENSG00000118680	3261479	3278461	18	ENSG00000118680	16983
ENSG00000214513	73202574	73212513	2	ENSG00000214513	9940
ENSG00000204019	116461686	116462976	X	ENSG00000204019	1291
ENSG00000070010	19449911	19479202	22	ENSG00000070010	29292
ENSG00000203926	141589708	141590762	X	ENSG00000203926	1055
ENSG00000170209	113387779	113400416	11	ENSG00000170209	12638
ENSG00000125551	87748087	87759476	2	ENSG00000125551	11390
ENSG00000134762	30989365	31042815	18	ENSG00000134762	53451
ENSG00000153802	67820876	67884002	4	ENSG00000153802	63127
ENSG00000110237	73308276	73369388	11	ENSG00000110237	61113
ENSG00000186866	45263928	45287898	21	ENSG00000186866	23971
ENSG00000227151	57160632	57163653	13	ENSG00000227151	3022
ENSG00000139926	51489100	51730727	14	ENSG00000139926	241628
ENSG00000136158	80335976	80341126	13	ENSG00000136158	5151
ENSG00000142632	16197854	16212652	1	ENSG00000142632	14799
ENSG00000234278	57167197	57170218	13	ENSG00000234278	3022
ENSG00000115364	75646783	75690851	2	ENSG00000115364	44069
ENSG00000120686	38349849	38363619	13	ENSG00000120686	13771
ENSG00000196616	99304971	99352760	4	ENSG00000196616	47790
ENSG00000134765	31129236	31162856	18	ENSG00000134765	33621
ENSG00000189337	13892792	15118043	1	ENSG00000189337	1225252
ENSG00000164543	43582758	43650713	7	ENSG00000164543	67956
ENSG00000124374	71182738	71227103	2	ENSG00000124374	44366
ENSG00000163586	88122982	88128062	2	ENSG00000163586	5081
ENSG00000008056	47571901	47619857	X	ENSG00000008056	47957
ENSG00000102554	73054976	73077541	13	ENSG00000102554	22566
ENSG00000198382	75815210	76144232	11	ENSG00000198382	329023
ENSG00000155097	103021063	103073051	8	ENSG00000155097	51989
ENSG00000134760	31318160	31359246	18	ENSG00000134760	41087
ENSG00000178093	19512418	19515548	19	ENSG00000178093	3131
ENSG00000186010	19515736	19529054	19	ENSG00000186010	13319
ENSG00000149609	33662327	33665619	20	ENSG00000149609	3293
ENSG00000187546	15200317	15562015	7	ENSG00000187546	361699
ENSG00000145839	135892246	135895841	5	ENSG00000145839	3596
ENSG00000101412	33675477	33686385	20	ENSG00000101412	10909
ENSG00000028137	12166991	12209228	1	ENSG00000028137	42238
ENSG00000074211	6320578	6563600	4	ENSG00000074211	243023
ENSG00000121152	96335766	96377091	2	ENSG00000121152	41326
ENSG00000174015	45702320	45714559	13	ENSG00000174015	12240
ENSG00000154611	26133852	26193355	18	ENSG00000154611	59504
ENSG00000093009	19479457	19520612	22	ENSG00000093009	41156
ENSG00000156411	103912288	103928269	14	ENSG00000156411	15982
ENSG00000101417	33702758	33720319	20	ENSG00000101417	17562
ENSG00000249773	55887277	55955239	7	ENSG00000249773	67963
ENSG00000088451	94574054	94596242	13	ENSG00000088451	22189
ENSG00000183570	45643694	45942454	21	ENSG00000183570	298761
ENSG00000182348	88759700	89338528	7	ENSG00000182348	578829
ENSG00000120708	136028988	136063818	5	ENSG00000120708	34831
ENSG00000165669	118297925	118342328	10	ENSG00000165669	44404
ENSG00000130287	19211958	19252233	19	ENSG00000130287	40276
ENSG00000101421	33811348	33854366	20	ENSG00000101421	43019
ENSG00000126767	47635521	47650604	X	ENSG00000126767	15084
ENSG00000214652	64045434	64085339	7	ENSG00000214652	39906
ENSG00000100867	23630115	23645639	14	ENSG00000100867	15525
ENSG00000104490	101686542	102124907	8	ENSG00000104490	438366
ENSG00000242372	35278907	35284985	20	ENSG00000242372	6079
ENSG00000075213	83955777	84492724	7	ENSG00000075213	536948
ENSG00000134882	99200774	99386504	13	ENSG00000134882	185731
ENSG00000154845	9546791	9615240	18	ENSG00000154845	68450
ENSG00000105705	19276018	19320509	19	ENSG00000105705	44492
ENSG00000130939	10032832	10181239	1	ENSG00000130939	148408
ENSG00000135226	69280475	69295050	4	ENSG00000135226	14576
ENSG00000166002	93478472	93543391	11	ENSG00000166002	64920
ENSG00000102265	47582408	47586789	X	ENSG00000102265	4382
ENSG00000149380	74235801	74311640	11	ENSG00000149380	75840
ENSG00000133119	33818069	33966558	13	ENSG00000133119	148490
ENSG00000163138	20696282	20752907	4	ENSG00000163138	56626
ENSG00000119655	74476192	74494177	14	ENSG00000119655	17986
ENSG00000107829	101610664	101695295	10	ENSG00000107829	84632
ENSG00000132646	5114953	5126626	20	ENSG00000132646	11674
ENSG00000147130	71239624	71255146	X	ENSG00000147130	15523
ENSG00000196715	65873074	65959563	7	ENSG00000196715	86490
ENSG00000104537	123680794	123737402	8	ENSG00000104537	56609
ENSG00000101290	5126879	5197887	20	ENSG00000101290	71009
ENSG00000155265	97849843	97871580	10	ENSG00000155265	21738
ENSG00000080166	94436811	94479682	13	ENSG00000080166	42872
ENSG00000106605	43758680	43807342	7	ENSG00000106605	48663
ENSG00000132840	79069767	79090069	5	ENSG00000132840	20303
ENSG00000127472	20028179	20091911	1	ENSG00000127472	63733
ENSG00000148843	103396626	103446294	10	ENSG00000148843	49669
ENSG00000184012	41464300	41531116	21	ENSG00000184012	66817
ENSG00000100603	77717599	77761207	14	ENSG00000100603	43609
ENSG00000152558	102396332	102470384	11	ENSG00000152558	74053
ENSG00000185290	56114681	56116417	7	ENSG00000185290	1737
ENSG00000162878	42048021	42058517	2	ENSG00000162878	10497
ENSG00000271824	136191468	136193162	5	ENSG00000271824	1695
ENSG00000131196	79395856	79529325	18	ENSG00000131196	133470
ENSG00000101292	5299218	5316954	20	ENSG00000101292	17737
ENSG00000164176	83940554	84384880	5	ENSG00000164176	444327
ENSG00000152192	78598362	78603552	13	ENSG00000152192	5191
ENSG00000023287	52622458	52745843	8	ENSG00000023287	123386
ENSG00000060656	29236516	29326813	1	ENSG00000060656	90298
ENSG00000182957	23979805	24307074	13	ENSG00000182957	327270
ENSG00000074201	77514936	77637794	11	ENSG00000074201	122859
ENSG00000157259	92447482	92460075	7	ENSG00000157259	12594
ENSG00000064489	19145569	19192158	19	ENSG00000064489	46590
ENSG00000164902	126600925	126627252	5	ENSG00000164902	26328
ENSG00000154978	55436056	55572988	7	ENSG00000154978	136933
ENSG00000184702	19714503	19724224	22	ENSG00000184702	9722
ENSG00000172023	79085023	79088019	2	ENSG00000172023	2997
ENSG00000177453	43192071	43280850	5	ENSG00000177453	88780
ENSG00000089006	17941597	17968980	20	ENSG00000089006	27384
ENSG00000058729	97160867	97183247	5	ENSG00000058729	22381
ENSG00000152284	85133392	85310387	2	ENSG00000152284	176996
ENSG00000105122	15451624	15464544	19	ENSG00000105122	12921
ENSG00000179454	44924324	45042322	14	ENSG00000179454	117999
ENSG00000165078	67422038	67746378	8	ENSG00000165078	324341
ENSG00000166428	104924713	104937761	14	ENSG00000166428	13049
ENSG00000105829	93962762	94004382	7	ENSG00000105829	41621
ENSG00000258539	124617080	124791727	10	ENSG00000258539	174648
ENSG00000159399	74834127	74893359	2	ENSG00000159399	59233
ENSG00000250782	17634460	17635053	5	ENSG00000250782	594
ENSG00000249967	97584374	97673910	10	ENSG00000249967	89537
ENSG00000155087	102551589	102561018	8	ENSG00000155087	9430
ENSG00000203837	116427847	116477957	10	ENSG00000203837	50111
ENSG00000170549	3595832	3601403	5	ENSG00000170549	5572
ENSG00000166900	59713456	59805882	11	ENSG00000166900	92427
ENSG00000105750	20923222	20950697	19	ENSG00000105750	27476
ENSG00000164758	117520713	117540262	8	ENSG00000164758	19550
ENSG00000184838	120464300	120687332	5	ENSG00000184838	223033
ENSG00000107581	119033670	119080823	10	ENSG00000107581	47154
ENSG00000176246	20060045	20060983	14	ENSG00000176246	939
ENSG00000196636	97117698	97181763	7	ENSG00000196636	64066
ENSG00000176219	20223710	20224702	14	ENSG00000176219	993
ENSG00000258806	20229402	20230346	14	ENSG00000258806	945
ENSG00000136319	20256558	20305960	14	ENSG00000136319	49403
ENSG00000145826	135922279	135954983	5	ENSG00000145826	32705
ENSG00000121039	73294602	73325281	8	ENSG00000121039	30680
ENSG00000164715	98106862	98209638	7	ENSG00000164715	102777
ENSG00000284874	19717220	19724772	22	ENSG00000284874	7553
ENSG00000149600	32702699	32743467	20	ENSG00000149600	40769
ENSG00000157601	41420020	41470071	21	ENSG00000157601	50052
ENSG00000147166	71301750	71305371	X	ENSG00000147166	3622
ENSG00000160229	20776304	20809995	19	ENSG00000160229	33692
ENSG00000203618	19723539	19724771	22	ENSG00000203618	1233
ENSG00000188811	39038306	39050109	13	ENSG00000188811	11804
ENSG00000164961	125024260	125091819	8	ENSG00000164961	67560
ENSG00000185838	19783223	19854939	22	ENSG00000185838	71717
ENSG00000105072	16496394	16521352	19	ENSG00000105072	24959
ENSG00000101349	9537370	9839076	20	ENSG00000101349	301707
ENSG00000113361	31193686	31329146	5	ENSG00000113361	135461
ENSG00000122547	36153254	36301538	7	ENSG00000122547	148285
ENSG00000100814	20311368	20333312	14	ENSG00000100814	21945
ENSG00000055813	56183990	56386172	2	ENSG00000055813	202183
ENSG00000186810	71615916	71618511	X	ENSG00000186810	2596
ENSG00000125787	3043622	3045747	20	ENSG00000125787	2126
ENSG00000155962	155276211	155334657	X	ENSG00000155962	58447
ENSG00000152413	79372636	79514134	5	ENSG00000152413	141499
ENSG00000102837	53028813	53052057	13	ENSG00000102837	23245
ENSG00000109944	122882683	122963862	11	ENSG00000109944	81180
ENSG00000125888	17693672	17735871	20	ENSG00000125888	42200
ENSG00000215012	19846138	19854896	22	ENSG00000215012	8759
ENSG00000158089	30910467	31155202	2	ENSG00000158089	244736
ENSG00000204919	57140918	57143939	13	ENSG00000204919	3022
ENSG00000171954	15508525	15552317	19	ENSG00000171954	43793
ENSG00000186472	82754012	83162930	7	ENSG00000186472	408919
ENSG00000277745	155459415	155460005	X	ENSG00000277745	591
ENSG00000065150	97953658	98024296	13	ENSG00000065150	70639
ENSG00000101160	58985686	59008238	20	ENSG00000101160	22553
ENSG00000040608	20241415	20283246	22	ENSG00000040608	41832
ENSG00000185973	155489011	155719098	X	ENSG00000185973	230088
ENSG00000128185	20314238	20320080	22	ENSG00000128185	5843
ENSG00000186642	72576141	72674591	11	ENSG00000186642	98451
ENSG00000163867	34986165	35031945	1	ENSG00000163867	45781
ENSG00000250067	19528861	19537581	19	ENSG00000250067	8721
ENSG00000124333	155881345	155943769	X	ENSG00000124333	62425
ENSG00000147509	53851795	53959303	8	ENSG00000147509	107509
ENSG00000184470	19875517	19941820	22	ENSG00000184470	66304
ENSG00000183486	41361999	41409393	21	ENSG00000183486	47395
ENSG00000185875	25016612	25026664	10	ENSG00000185875	10053
ENSG00000053108	133196455	133612541	5	ENSG00000053108	416087
ENSG00000072422	60869438	61001440	10	ENSG00000072422	132003
ENSG00000189280	34755047	34758512	1	ENSG00000189280	3466
ENSG00000171234	69051363	69112987	4	ENSG00000171234	61625
ENSG00000157578	39405728	39445805	21	ENSG00000157578	40078
ENSG00000134698	35808016	35857890	1	ENSG00000134698	49875
ENSG00000120563	29289061	29318328	10	ENSG00000120563	29268
ENSG00000130307	17249171	17282786	19	ENSG00000130307	33616
ENSG00000122507	33109557	33877180	7	ENSG00000122507	767624
ENSG00000102076	154144243	154159032	X	ENSG00000102076	14790
ENSG00000120029	101845599	102056193	10	ENSG00000120029	210595
ENSG00000113296	79991311	80083287	5	ENSG00000113296	91977
ENSG00000180613	54099523	54102498	4	ENSG00000180613	2976
ENSG00000034677	100257060	100336218	8	ENSG00000034677	79159
ENSG00000268221	154182596	154196861	X	ENSG00000268221	14266
ENSG00000134690	37692481	37709719	1	ENSG00000134690	17239
ENSG00000153339	31829197	31953136	18	ENSG00000153339	123940
ENSG00000172955	99202638	99219537	4	ENSG00000172955	16900
ENSG00000198900	41028822	41124487	20	ENSG00000198900	95666
ENSG00000204172	47501854	47523638	10	ENSG00000204172	21785
ENSG00000171314	97426191	97433444	10	ENSG00000171314	7254
ENSG00000007350	154295795	154330350	X	ENSG00000007350	34556
ENSG00000112992	43602692	43707405	5	ENSG00000112992	104714
ENSG00000132881	16231692	16237183	1	ENSG00000132881	5492
ENSG00000256229	20167214	20200488	19	ENSG00000256229	33275
ENSG00000129566	20365667	20413501	14	ENSG00000129566	47835
ENSG00000104388	60516936	60623644	8	ENSG00000104388	106709
ENSG00000156140	72280969	72569221	4	ENSG00000156140	288253
ENSG00000273274	32465072	32496686	1	ENSG00000273274	31615
ENSG00000009709	18630846	18748866	1	ENSG00000009709	118021
ENSG00000197124	19997058	20039505	19	ENSG00000197124	42448
ENSG00000095596	93073475	93077885	10	ENSG00000095596	4411
ENSG00000158435	101252886	101270316	2	ENSG00000158435	17431
ENSG00000154723	25716503	25735673	21	ENSG00000154723	19171
ENSG00000148541	59246130	59363181	10	ENSG00000148541	117052
ENSG00000115353	75046463	75199520	2	ENSG00000115353	153058
ENSG00000171867	4686350	4701590	20	ENSG00000171867	15241
ENSG00000269095	17235940	17255448	19	ENSG00000269095	19509
ENSG00000171864	4721909	4728460	20	ENSG00000171864	6552
ENSG00000158008	26019884	26036464	1	ENSG00000158008	16581
ENSG00000085872	16517894	16542437	19	ENSG00000085872	24544
ENSG00000104375	98371228	98942827	8	ENSG00000104375	571600
ENSG00000071859	154444141	154450654	X	ENSG00000071859	6514
ENSG00000138032	44167969	44244384	2	ENSG00000138032	76416
ENSG00000101265	4780023	4823608	20	ENSG00000101265	43586
ENSG00000164038	103019868	103085829	4	ENSG00000164038	65962
ENSG00000130940	10636604	10796650	1	ENSG00000130940	160047
ENSG00000139734	59665583	60163928	13	ENSG00000139734	498346
ENSG00000150636	68715209	69055189	18	ENSG00000150636	339981
ENSG00000244005	35668052	35699355	20	ENSG00000244005	31304
ENSG00000160284	46161148	46184476	21	ENSG00000160284	23329
ENSG00000160285	46188141	46228824	21	ENSG00000160285	40684
ENSG00000154040	24138987	24161600	18	ENSG00000154040	22614
ENSG00000130827	154458281	154477779	X	ENSG00000130827	19499
ENSG00000147614	85987323	86154225	8	ENSG00000147614	166903
ENSG00000116771	15571699	15585051	1	ENSG00000116771	13353
ENSG00000160352	21082159	21125270	19	ENSG00000160352	43112
ENSG00000163879	37556919	37566857	1	ENSG00000163879	9939
ENSG00000169116	74933095	75050115	4	ENSG00000169116	117021
ENSG00000169836	103586031	103719985	4	ENSG00000169836	133955
ENSG00000135972	105038069	105099960	2	ENSG00000135972	61892
ENSG00000184156	132120859	132481095	8	ENSG00000184156	360237
ENSG00000116954	38838198	38859772	1	ENSG00000116954	21575
ENSG00000160161	19538248	19546659	19	ENSG00000160161	8412
ENSG00000157884	26581205	26641366	2	ENSG00000157884	60162
ENSG00000163873	36795527	37034515	1	ENSG00000163873	238989
ENSG00000102178	154483717	154486615	X	ENSG00000102178	2899
ENSG00000153064	101411286	102074812	4	ENSG00000153064	663527
ENSG00000148841	104309698	104338465	10	ENSG00000148841	28768
ENSG00000105717	19561707	19618693	19	ENSG00000105717	56987
ENSG00000126903	154487306	154490690	X	ENSG00000126903	3385
ENSG00000120051	104353833	104455102	10	ENSG00000120051	101270
ENSG00000119801	30146941	30160533	2	ENSG00000119801	13593
ENSG00000117215	20111939	20119566	1	ENSG00000117215	7628
ENSG00000138346	68414064	68472121	10	ENSG00000138346	58058
ENSG00000105662	18683678	18782333	19	ENSG00000105662	98656
ENSG00000196449	37802945	37808208	1	ENSG00000196449	5264
ENSG00000147180	85243991	85273362	X	ENSG00000147180	29372
ENSG00000125995	35699272	35700984	20	ENSG00000125995	1713
ENSG00000044012	42153410	42155820	1	ENSG00000044012	2411
ENSG00000198846	58805412	59119147	8	ENSG00000198846	313736
ENSG00000179051	17406760	17439677	1	ENSG00000179051	32918
ENSG00000123570	103822327	103832257	X	ENSG00000123570	9931
ENSG00000131051	35701347	35742312	20	ENSG00000131051	40966
ENSG00000153317	130052104	130443674	8	ENSG00000153317	391571
ENSG00000158427	103918896	103966712	X	ENSG00000158427	47817
ENSG00000185271	20425852	20436166	14	ENSG00000185271	10315
ENSG00000053747	23689453	23956222	18	ENSG00000053747	266770
ENSG00000115616	102619553	102711355	2	ENSG00000115616	91803
ENSG00000092094	20446401	20455089	14	ENSG00000092094	8689
ENSG00000005302	11758159	11775772	X	ENSG00000005302	17614
ENSG00000126067	35599541	35641526	1	ENSG00000126067	41986
ENSG00000197134	22052430	22091480	19	ENSG00000197134	39051
ENSG00000160282	46136160	46155579	21	ENSG00000160282	19420
ENSG00000073146	50089879	50161690	22	ENSG00000073146	71812
ENSG00000196350	22286441	22317176	19	ENSG00000196350	30736
ENSG00000229676	22634324	22667671	19	ENSG00000229676	33348
ENSG00000071082	101002229	101024032	2	ENSG00000071082	21804
ENSG00000274944	38864501	38881617	1	ENSG00000274944	17117
ENSG00000132906	15490832	15526534	1	ENSG00000132906	35703
ENSG00000167487	18637025	18671721	19	ENSG00000167487	34697
ENSG00000112972	43287470	43313512	5	ENSG00000112972	26043
ENSG00000107593	100288149	100330264	10	ENSG00000107593	42116
ENSG00000100823	20455191	20457772	14	ENSG00000100823	2582
ENSG00000127526	16549831	16572415	19	ENSG00000127526	22585
ENSG00000138678	83535914	83605875	4	ENSG00000138678	69962
ENSG00000118946	57631744	57729311	13	ENSG00000118946	97568
ENSG00000137714	110429948	110464884	11	ENSG00000137714	34937
ENSG00000152484	27066156	27171811	13	ENSG00000152484	105656
ENSG00000137699	120111286	120185529	11	ENSG00000137699	74244
ENSG00000180828	64580365	64583627	8	ENSG00000180828	3263
ENSG00000159267	36748626	36990236	21	ENSG00000159267	241611
ENSG00000147676	119165034	119245673	8	ENSG00000147676	80640
ENSG00000075568	97756333	97995948	2	ENSG00000075568	239616
ENSG00000131711	72107234	72209565	5	ENSG00000131711	102332
ENSG00000064545	19119169	19138513	19	ENSG00000064545	19345
ENSG00000180509	34446688	34512214	21	ENSG00000180509	65527
ENSG00000182674	72537225	72938349	8	ENSG00000182674	401125
ENSG00000174796	75513946	75550473	4	ENSG00000174796	36528
ENSG00000176853	123768439	123815452	8	ENSG00000176853	47014
ENSG00000120688	41061509	41084006	13	ENSG00000120688	22498
ENSG00000196932	61406642	61453381	10	ENSG00000196932	46740
ENSG00000197312	15617458	15669044	1	ENSG00000197312	51587
ENSG00000142156	45981770	46005050	21	ENSG00000142156	23281
ENSG00000108100	35247025	35572669	10	ENSG00000108100	325645
ENSG00000173660	46303698	46316776	1	ENSG00000173660	13079
ENSG00000180440	36674020	36697839	13	ENSG00000180440	23820
ENSG00000145354	102868974	102892807	4	ENSG00000145354	23834
ENSG00000125285	94709622	94712545	13	ENSG00000125285	2924
ENSG00000139514	29509414	29595688	13	ENSG00000139514	86275
ENSG00000135974	105337532	105349211	2	ENSG00000135974	11680
ENSG00000164032	99948086	99950355	4	ENSG00000164032	2270
ENSG00000054118	36224432	36305357	1	ENSG00000054118	80926
ENSG00000283782	132410832	132646079	5	ENSG00000283782	235248
ENSG00000164283	54977867	55022671	5	ENSG00000164283	44805
ENSG00000169288	77862830	77952785	4	ENSG00000169288	89956
ENSG00000163162	101271219	101308701	2	ENSG00000163162	37483
ENSG00000155926	133036728	133102912	8	ENSG00000155926	66185
ENSG00000088386	98683801	98752672	13	ENSG00000088386	68872
