Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	gene_length_bp	hk_status
ENSG00000275663	26246611	26246996	6	386	non-HK
ENSG00000277775	26250142	26250635	6	494	non-HK
ENSG00000278588	26272931	26273412	6	482	non-HK
ENSG00000104756	25427847	25458476	8	30630	HK
ENSG00000291313	103334237	103335932	14	1696	non-HK
ENSG00000256825	133130984	133202369	12	71386	non-HK
ENSG00000165617	58633967	58648321	14	14355	non-HK
ENSG00000267748	38289151	38304910	19	15760	non-HK
ENSG00000203734	138795911	138904070	6	108160	non-HK
ENSG00000139352	102957674	102960513	12	2840	non-HK
ENSG00000177103	117427772	117817525	11	389754	non-HK
ENSG00000105258	36113709	36115213	19	1505	HK
ENSG00000182240	41167801	41282530	21	114730	non-HK
ENSG00000151136	107318421	107659642	12	341222	non-HK
ENSG00000289761	41143022	41143099	4	78	non-HK
ENSG00000197406	101560139	101563452	14	3314	non-HK
ENSG00000175857	58491435	58497090	5	5656	non-HK
ENSG00000276240	21667886	21673818	14	5933	non-HK
ENSG00000139915	46840092	47675605	14	835514	non-HK
ENSG00000101236	3927309	4015591	20	88283	non-HK
ENSG00000075702	36054649	36105108	19	50460	non-HK
ENSG00000170846	6663396	6676755	4	13360	non-HK
ENSG00000061492	138083990	138092365	5	8376	non-HK
ENSG00000171209	70238382	70251474	4	13093	non-HK
ENSG00000156011	18527303	19084730	8	557428	non-HK
ENSG00000137252	55106460	55282617	6	176158	non-HK
ENSG00000229924	9170409	9176730	4	6322	non-HK
ENSG00000229894	165277807	165279704	4	1898	non-HK
ENSG00000204701	29108058	29114770	6	6713	non-HK
ENSG00000183090	143577302	143700675	4	123374	non-HK
ENSG00000204657	29585121	29590500	6	5380	non-HK
ENSG00000203907	73368555	73395133	6	26579	non-HK
ENSG00000184481	71095851	71103535	X	7685	non-HK
ENSG00000268223	116032324	116060118	5	27795	non-HK
ENSG00000258453	19712936	19713883	14	948	non-HK
ENSG00000205279	127649082	127658630	5	9549	non-HK
ENSG00000165995	18140424	18543557	10	403134	non-HK
ENSG00000145975	4049434	4087344	6	37911	non-HK
ENSG00000197465	143870864	143905563	4	34700	non-HK
ENSG00000178172	148202794	148215137	5	12344	non-HK
ENSG00000182185	67819779	68730218	14	910440	non-HK
ENSG00000285077	30624494	30649529	15	25036	non-HK
ENSG00000124143	38601775	38651035	20	49261	non-HK
ENSG00000196476	270863	290778	20	19916	non-HK
ENSG00000122824	51332231	51337525	X	5295	non-HK
ENSG00000248109	148221650	148243580	5	21931	non-HK
ENSG00000140521	89305198	89334861	15	29664	non-HK
ENSG00000249141	166858094	166956124	6	98031	non-HK
ENSG00000214510	148268180	148286255	5	18076	non-HK
ENSG00000170180	144109303	144140751	4	31449	non-HK
ENSG00000197061	26103933	26104337	6	405	non-HK
ENSG00000215440	58689131	58719238	20	30108	HK
ENSG00000187690	51406948	51408843	X	1896	non-HK
ENSG00000173612	116792085	116829083	6	36999	non-HK
ENSG00000196368	51490011	51496592	X	6582	non-HK
ENSG00000196800	148168546	148175619	5	7074	non-HK
ENSG00000165556	27960914	27975983	13	15070	non-HK
ENSG00000145777	111070062	111078026	5	7965	non-HK
ENSG00000224109	51617020	51618912	X	1893	non-HK
ENSG00000283093	51681212	51682831	X	1620	non-HK
ENSG00000223591	51710512	51712131	X	1620	non-HK
ENSG00000126216	112485005	112588205	13	103201	non-HK
ENSG00000077935	45344063	45413619	22	69557	non-HK
ENSG00000164334	119629558	119635822	5	6265	non-HK
ENSG00000151952	129071725	129904025	12	832301	non-HK
ENSG00000156273	29194071	29630751	21	436681	non-HK
ENSG00000185002	116877212	116932161	6	54950	non-HK
ENSG00000171495	40998017	41071342	5	73326	non-HK
ENSG00000180658	131699644	131701401	6	1758	non-HK
ENSG00000135111	114670255	114684175	12	13921	non-HK
ENSG00000236761	131708441	131711017	6	2577	non-HK
ENSG00000105617	54155161	54159721	19	4561	HK
ENSG00000261652	55408495	55418798	15	10304	non-HK
ENSG00000188655	20556093	20561047	14	4955	non-HK
ENSG00000232653	32593456	32607310	15	13855	non-HK
ENSG00000183530	31676256	31750207	22	73952	non-HK
ENSG00000104880	7348937	7472485	19	123549	non-HK
ENSG00000124812	49834257	49877096	6	42840	non-HK
ENSG00000166111	108907741	109021068	12	113328	non-HK
ENSG00000206579	55102028	55542054	8	440027	non-HK
ENSG00000125870	16729958	16742564	20	12607	non-HK
ENSG00000261341	50776141	50793142	19	17002	non-HK
ENSG00000177257	7414855	7416863	8	2009	non-HK
ENSG00000125743	45687460	45692569	19	5110	HK
ENSG00000129003	61852389	62060473	15	208085	non-HK
ENSG00000185252	20394115	20408461	22	14347	non-HK
ENSG00000164871	7442684	7463674	8	20991	non-HK
ENSG00000157551	38155549	38307357	21	151809	non-HK
ENSG00000177684	49960249	49964164	6	3916	non-HK
ENSG00000171942	15728024	15729052	19	1029	non-HK
ENSG00000261949	49423749	49428987	19	5239	non-HK
ENSG00000227059	133218312	133235877	12	17566	non-HK
ENSG00000214642	49968677	49969625	6	949	non-HK
ENSG00000091664	22338381	22379503	11	41123	non-HK
ENSG00000171936	15737985	15742343	19	4359	non-HK
ENSG00000237521	9247344	9252625	19	5282	non-HK
ENSG00000203970	50009138	50021994	6	12857	non-HK
ENSG00000094661	15082211	15092970	19	10760	non-HK
ENSG00000186723	15804549	15815664	19	11116	non-HK
ENSG00000180872	50042099	50049929	6	7831	non-HK
ENSG00000127515	14840466	14848922	19	8457	non-HK
ENSG00000244694	47856673	48111197	6	254525	non-HK
ENSG00000181781	463346	474983	19	11638	non-HK
ENSG00000176165	28764329	28770277	14	5949	non-HK
ENSG00000135298	68635282	69390571	6	755290	non-HK
ENSG00000139351	101728648	101739472	12	10825	non-HK
ENSG00000224916	44942238	44949565	19	7328	non-HK
ENSG00000182652	19743571	19749469	14	5899	non-HK
ENSG00000293569	92619986	92627966	14	7981	non-HK
ENSG00000198342	12345944	12365905	19	19962	non-HK
ENSG00000139910	26443090	26598033	14	154944	non-HK
ENSG00000149256	78652829	79441030	11	788202	non-HK
ENSG00000196466	12390016	12401271	19	11256	non-HK
ENSG00000145934	166979029	168264157	5	1285129	non-HK
ENSG00000268870	12391949	12441082	19	49134	non-HK
ENSG00000180855	12429706	12441021	19	11316	non-HK
ENSG00000099904	20129456	20148007	22	18552	non-HK
ENSG00000280236	29395631	29398008	6	2378	non-HK
ENSG00000204687	29486697	29487956	6	1260	non-HK
ENSG00000269755	12433103	12484816	19	51714	non-HK
ENSG00000233050	12064389	12071747	8	7359	non-HK
ENSG00000196826	12461559	12551474	19	89916	non-HK
ENSG00000243729	29353749	29431967	6	78219	non-HK
ENSG00000258830	57249609	57296484	12	46876	non-HK
ENSG00000112462	29373423	29375291	6	1869	non-HK
ENSG00000147724	138130023	138497261	8	367239	non-HK
ENSG00000135002	76385526	76394517	9	8992	non-HK
ENSG00000235863	33277123	33284832	6	7710	non-HK
ENSG00000227057	33279108	33289247	6	10140	HK
ENSG00000154127	122655722	122814473	11	158752	non-HK
ENSG00000126583	53879190	53907652	19	28463	non-HK
ENSG00000205808	4662294	4665258	9	2965	non-HK
ENSG00000188312	92325953	92620529	9	294577	non-HK
ENSG00000183844	41304212	41357727	21	53516	non-HK
ENSG00000204300	123882920	123885670	11	2751	non-HK
ENSG00000171505	122526358	122527293	9	936	non-HK
ENSG00000171501	122553112	122554214	9	1103	non-HK
ENSG00000204767	169861303	169980495	5	119193	non-HK
ENSG00000136939	122723990	122724925	9	936	non-HK
ENSG00000171459	122742303	122750783	9	8481	non-HK
ENSG00000132356	40759389	40798374	5	38986	HK
ENSG00000148215	122788933	122789895	9	963	non-HK
ENSG00000149571	126423358	127003460	11	580103	non-HK
ENSG00000124243	50794894	50877178	20	82285	non-HK
ENSG00000283378	61330717	61453030	9	122314	non-HK
ENSG00000285064	33321386	33329286	6	7901	non-HK
ENSG00000286920	33323628	33329279	6	5652	non-HK
ENSG00000125492	132582606	132590252	9	7647	non-HK
ENSG00000204695	29301701	29313017	6	11317	non-HK
ENSG00000285713	144210701	145098174	4	887474	non-HK
ENSG00000180071	38540567	38620596	9	80030	non-HK
ENSG00000147697	129748196	129786624	8	38429	non-HK
ENSG00000197283	33419661	33453689	6	34029	non-HK
ENSG00000151062	1791963	1918666	12	126704	non-HK
ENSG00000152969	6026199	6200591	4	174393	non-HK
ENSG00000056487	44881162	45010022	22	128861	non-HK
ENSG00000203546	31334312	31457441	14	123130	non-HK
ENSG00000125901	3046041	3048254	20	2214	HK
ENSG00000212993	127322183	127420066	8	97884	non-HK
ENSG00000105605	53909278	53943950	19	34673	non-HK
ENSG00000129480	31446036	31457506	14	11471	non-HK
ENSG00000174306	41178448	41317731	20	139284	non-HK
ENSG00000164743	13566869	13568288	8	1420	non-HK
ENSG00000214943	31482875	31488039	14	5165	non-HK
ENSG00000099954	17359949	17558151	22	198203	non-HK
ENSG00000006837	134286350	134371047	5	84698	non-HK
ENSG00000154143	124611428	124620356	11	8929	non-HK
ENSG00000164825	6870592	6877936	8	7345	non-HK
ENSG00000142408	53962937	53990215	19	27279	non-HK
ENSG00000159212	34668994	34718227	21	49234	non-HK
ENSG00000164822	6924697	6926076	8	1380	non-HK
ENSG00000164821	6935820	6938306	8	2487	non-HK
ENSG00000189068	54040825	54063953	19	23129	non-HK
ENSG00000185920	95442980	95517057	9	74078	non-HK
ENSG00000189139	44504149	44507283	14	3135	non-HK
ENSG00000206034	7312722	7320096	8	7375	non-HK
ENSG00000215371	7373114	7377500	8	4387	non-HK
ENSG00000186599	7487679	7489593	8	1915	non-HK
ENSG00000159110	33205282	33265675	21	60394	non-HK
ENSG00000100865	102341102	102362916	14	21815	non-HK
ENSG00000253958	8701937	8704096	8	2160	non-HK
ENSG00000147324	8783354	8893630	8	110277	non-HK
ENSG00000198911	41833099	41907308	22	74210	HK
ENSG00000166928	60378530	60417756	11	39227	non-HK
ENSG00000025772	44942130	44960422	20	18293	non-HK
ENSG00000173281	9136255	9151574	8	15320	non-HK
ENSG00000237190	134402065	134411881	5	9817	HK
ENSG00000113302	159314780	159330863	5	16084	non-HK
ENSG00000253649	10482878	10547624	8	64747	non-HK
ENSG00000184647	10525532	10554166	8	28635	non-HK
ENSG00000183638	10606349	10712187	8	105839	non-HK
ENSG00000166930	60429572	60455214	11	25643	non-HK
ENSG00000145850	156919292	156963226	5	43935	non-HK
ENSG00000183397	3539171	3544030	19	4860	non-HK
ENSG00000171060	10672628	10700590	8	27963	non-HK
ENSG00000196757	11925068	11950773	19	25706	non-HK
ENSG00000259164	77098311	77225462	14	127152	non-HK
ENSG00000124092	57495966	57525652	20	29687	non-HK
ENSG00000267179	11925075	11979290	19	54216	non-HK
ENSG00000137709	120236640	120319945	11	83306	non-HK
ENSG00000171056	10723768	10730511	8	6744	non-HK
ENSG00000197054	11965037	11980617	19	15581	non-HK
ENSG00000170613	157161846	157166264	5	4419	non-HK
ENSG00000258724	10725399	10839847	8	114449	non-HK
ENSG00000171044	10896045	11201833	8	305789	non-HK
ENSG00000254866	12150888	12158033	8	7146	non-HK
ENSG00000146066	176388751	176389761	5	1011	HK
ENSG00000286098	11987641	12078106	19	90466	non-HK
ENSG00000257355	12017888	12052967	19	35080	non-HK
ENSG00000175325	177992235	177996242	5	4008	non-HK
ENSG00000286132	12075327	12113325	19	37999	non-HK
ENSG00000132010	12092843	12140355	19	47513	non-HK
ENSG00000244234	178184505	178187371	5	2867	non-HK
ENSG00000147036	37571569	37684463	X	112895	non-HK
ENSG00000211445	151020591	151028988	5	8398	non-HK
ENSG00000213297	12132117	12156731	19	24615	non-HK
ENSG00000198576	142611049	142614479	8	3431	non-HK
ENSG00000219435	64300358	64304770	11	4413	non-HK
ENSG00000257591	12142090	12156734	19	14645	non-HK
ENSG00000186334	151276358	151303766	5	27409	non-HK
ENSG00000300293	40834445	40934085	X	99641	non-HK
ENSG00000117877	45406644	45410737	19	4094	non-HK
ENSG00000310562	45730995	45732455	X	1461	non-HK
ENSG00000168065	64555690	64572875	11	17186	non-HK
ENSG00000170929	9087061	9095669	19	8609	non-HK
ENSG00000161807	9114828	9115763	19	936	non-HK
ENSG00000170920	9126012	9126950	19	939	non-HK
ENSG00000166963	43510958	43531620	15	20663	non-HK
ENSG00000174667	9210276	9219589	19	9314	non-HK
ENSG00000286131	32647202	32647390	8	189	non-HK
ENSG00000186335	151314972	151347590	5	32619	non-HK
ENSG00000185385	14878203	14886132	19	7930	non-HK
ENSG00000109705	13540830	13544508	4	3679	non-HK
ENSG00000104221	37843268	37849861	8	6594	HK
ENSG00000147202	96684712	97604997	X	920286	non-HK
ENSG00000127533	16888999	16892606	19	3608	non-HK
ENSG00000285991	149817937	149896011	6	78075	non-HK
ENSG00000168412	186526792	186555567	4	28776	non-HK
ENSG00000168229	52267698	52276724	14	9027	non-HK
ENSG00000197891	64590641	64602353	11	11713	non-HK
ENSG00000178718	74954418	74956772	15	2355	non-HK
ENSG00000187902	55428740	55443300	19	14561	non-HK
ENSG00000140478	75282835	75295530	15	12696	non-HK
ENSG00000290180	2512477	2625320	4	112844	non-HK
ENSG00000164418	100962701	102081622	6	1118922	non-HK
ENSG00000125384	52314305	52329822	14	15518	non-HK
ENSG00000277531	46424697	46428936	19	4240	non-HK
ENSG00000283567	55463001	55464751	19	1751	non-HK
ENSG00000284491	12802031	12813581	19	11551	non-HK
ENSG00000159248	34751032	34754998	15	3967	non-HK
ENSG00000181588	1554672	1568325	19	13654	non-HK
ENSG00000223802	18868545	18896727	19	28183	non-HK
ENSG00000145248	48483343	48489526	4	6184	non-HK
ENSG00000166073	39799008	39920936	15	121929	non-HK
ENSG00000182223	48490252	48494389	4	4138	non-HK
ENSG00000204086	96883908	96885467	X	1560	non-HK
ENSG00000145700	75068275	75236911	5	168637	non-HK
ENSG00000214367	2227464	2242133	4	14670	non-HK
ENSG00000255192	35083410	35085295	15	1886	non-HK
ENSG00000214013	42273201	42353666	15	80466	non-HK
ENSG00000205076	38770968	38773517	19	2550	non-HK
ENSG00000124788	16299112	16761491	6	462380	non-HK
ENSG00000104848	49067397	49072699	19	5303	non-HK
ENSG00000142235	48485271	48513935	19	28665	non-HK
ENSG00000122012	76083383	76353939	5	270557	non-HK
ENSG00000154723	25716005	25735721	21	19717	HK
ENSG00000290316	186208979	186258469	4	49491	non-HK
ENSG00000149735	64934471	64935893	11	1423	non-HK
ENSG00000104827	49022869	49024333	19	1465	non-HK
ENSG00000176907	40153482	40155310	8	1829	non-HK
ENSG00000233132	7264526	7267536	8	3011	non-HK
ENSG00000230045	7256904	7259914	8	3011	non-HK
ENSG00000223885	7279770	7282780	8	3011	non-HK
ENSG00000215373	7287392	7290402	8	3011	non-HK
ENSG00000233115	8012342	8015352	8	3011	non-HK
ENSG00000254229	8027636	8030646	8	3011	non-HK
ENSG00000233295	7295014	7298024	8	3011	non-HK
ENSG00000168062	64987945	64997018	11	9074	non-HK
ENSG00000215354	8019988	8022998	8	3011	non-HK
ENSG00000171291	11848726	11883750	19	35025	non-HK
ENSG00000151475	127730400	127774292	4	43893	non-HK
ENSG00000181790	142449430	142545009	8	95580	non-HK
ENSG00000204519	57681969	57717301	19	35333	non-HK
ENSG00000279270	4803433	4804380	11	948	non-HK
ENSG00000278870	4923374	4924339	11	966	non-HK
ENSG00000205496	4954772	4955713	11	942	non-HK
ENSG00000205495	5046526	5047461	11	936	non-HK
ENSG00000176787	5058650	5059627	11	978	non-HK
ENSG00000273085	5069572	5070497	11	926	non-HK
ENSG00000269026	57682045	57753575	19	71531	non-HK
ENSG00000112576	41934934	42050357	6	115424	non-HK
ENSG00000164040	128269237	128288829	4	19593	HK
ENSG00000179909	57696275	57709204	19	12930	non-HK
ENSG00000223609	5232678	5243657	11	10980	non-HK
ENSG00000145703	76403285	76708132	5	304848	non-HK
ENSG00000152443	57746815	57758148	19	11334	non-HK
ENSG00000221874	52928475	52962823	19	34349	non-HK
ENSG00000284931	5248270	5254783	11	6514	non-HK
ENSG00000154553	185500660	185535507	4	34848	non-HK
ENSG00000196565	5253188	5505605	11	252418	non-HK
ENSG00000196131	53258292	53261837	19	3546	non-HK
ENSG00000239920	5254392	5678434	11	424043	non-HK
ENSG00000213022	51002508	51009634	19	7127	non-HK
ENSG00000213931	5268345	5505652	11	237308	non-HK
ENSG00000167759	51055626	51065114	19	9489	non-HK
ENSG00000183251	5301014	5301946	11	933	non-HK
ENSG00000286237	102712495	102753530	X	41036	non-HK
ENSG00000258461	42348103	42412317	15	64215	non-HK
ENSG00000176239	5351508	5352446	11	939	non-HK
ENSG00000167360	5422111	5423206	11	1096	non-HK
ENSG00000181609	5488685	5489749	11	1065	non-HK
ENSG00000175520	5507300	5509958	11	2659	non-HK
ENSG00000205884	11973937	11974599	8	663	non-HK
ENSG00000175518	5514393	5518431	11	4039	non-HK
ENSG00000205882	11993174	12000752	8	7579	non-HK
ENSG00000187747	5580877	5581884	11	1008	non-HK
ENSG00000258588	5596725	5644398	11	47674	non-HK
ENSG00000181023	5736448	5738523	11	2076	non-HK
ENSG00000166159	1820267	1836753	12	16487	non-HK
ENSG00000205409	5840928	5841952	11	1025	non-HK
ENSG00000213934	5248269	5249857	11	1589	non-HK
ENSG00000182170	3217944	3218813	11	870	non-HK
ENSG00000184350	3225030	3232417	11	7388	non-HK
ENSG00000288637	153152435	153415081	4	262647	non-HK
ENSG00000185989	113977783	114132775	13	154993	non-HK
ENSG00000110042	59171430	59208588	11	37159	non-HK
ENSG00000142549	51311644	51330891	19	19248	non-HK
ENSG00000139187	8950044	9010760	12	60717	non-HK
ENSG00000158406	26277609	26285638	6	8030	non-HK
ENSG00000269403	51350373	51368099	19	17727	non-HK
ENSG00000204618	30070266	30075849	6	5584	non-HK
ENSG00000160318	51367098	51369003	19	1906	non-HK
ENSG00000174749	112145454	112195256	4	49803	non-HK
ENSG00000163623	84491985	84499292	4	7308	non-HK
ENSG00000204702	29099490	29102701	6	3212	non-HK
ENSG00000154764	13816258	13880071	3	63814	non-HK
ENSG00000204688	29457155	29464328	6	7174	non-HK
ENSG00000163625	84668765	84966690	4	297926	non-HK
ENSG00000262874	51388289	51390591	19	2303	non-HK
ENSG00000179213	51246348	51269330	19	22983	non-HK
ENSG00000175189	57434784	57452062	12	17279	non-HK
ENSG00000102128	102937272	102938300	X	1029	non-HK
ENSG00000287908	57615280	57626125	12	10846	non-HK
ENSG00000204700	29170907	29175811	6	4905	non-HK
ENSG00000206474	29439306	29440977	6	1672	non-HK
ENSG00000186416	119588337	119606443	X	18107	non-HK
ENSG00000177225	767220	777488	11	10269	HK
ENSG00000139266	57755103	57760411	12	5309	non-HK
ENSG00000134121	196763	409417	3	212655	non-HK
ENSG00000271793	85504776	85678733	6	173958	non-HK
ENSG00000123427	57771492	57782541	12	11050	non-HK
ENSG00000241058	18545561	18659285	10	113725	non-HK
ENSG00000248385	54069895	54081365	19	11471	non-HK
ENSG00000257921	57772660	57797554	12	24895	non-HK
ENSG00000239961	54333185	54339162	19	5978	non-HK
ENSG00000100403	41301457	41360155	22	58699	non-HK
ENSG00000165805	87980035	88034037	12	54003	non-HK
ENSG00000135577	142058330	142147122	6	88793	non-HK
ENSG00000124557	26500303	26510425	6	10123	non-HK
ENSG00000275183	54461732	54463778	19	2047	non-HK
ENSG00000131398	50311937	50333515	19	21579	non-HK
ENSG00000212747	135020513	135022542	X	2030	non-HK
ENSG00000136100	52412602	52450684	13	38083	HK
ENSG00000290263	2078998	2242276	4	163279	non-HK
ENSG00000134590	135032355	135033546	X	1192	HK
ENSG00000155085	109492855	109691217	6	198363	non-HK
ENSG00000101057	43667019	43716495	20	49477	non-HK
ENSG00000150275	53802771	55627942	10	1825172	non-HK
ENSG00000203950	135050932	135052196	X	1265	HK
ENSG00000142539	50415799	50428409	19	12611	non-HK
ENSG00000204671	122172029	122174221	12	2193	non-HK
ENSG00000188959	110190048	110208159	9	18112	non-HK
ENSG00000269404	50418938	50431314	19	12377	non-HK
ENSG00000204193	110303476	110337891	9	34416	non-HK
ENSG00000133136	110346103	110440372	X	94270	non-HK
ENSG00000176383	122203681	122208952	12	5272	non-HK
ENSG00000198455	57592011	57597477	X	5467	non-HK
ENSG00000215174	57677067	57680260	X	3194	non-HK
ENSG00000072832	5748084	5893086	4	145003	non-HK
ENSG00000198205	57905430	57910458	X	5029	non-HK
ENSG00000165509	141838316	141897832	X	59517	non-HK
ENSG00000256861	122207779	122266423	12	58645	non-HK
ENSG00000155495	141903894	141909374	X	5481	non-HK
ENSG00000166130	98613405	98645113	12	31709	non-HK
ENSG00000168619	39584489	39730065	8	145577	non-HK
ENSG00000293661	135248590	135252011	X	3422	non-HK
ENSG00000283644	135271717	135309803	X	38087	non-HK
ENSG00000293662	135305788	135306402	X	615	non-HK
ENSG00000137040	6011025	6015625	9	4601	non-HK
ENSG00000254445	111912736	111926871	11	14136	non-HK
ENSG00000146950	9786429	9949443	X	163015	non-HK
ENSG00000280094	122628125	122657627	9	29503	non-HK
ENSG00000149300	111918032	111926871	11	8840	non-HK
ENSG00000288570	130713626	130713724	9	99	non-HK
ENSG00000288684	32455323	32552603	9	97281	non-HK
ENSG00000161671	50476400	50490871	19	14472	non-HK
ENSG00000258052	69801669	69855363	12	53695	non-HK
ENSG00000150779	112084800	112086798	11	1999	non-HK
ENSG00000135643	70366290	70434292	12	68003	non-HK
ENSG00000146399	132643312	132659182	6	15871	non-HK
ENSG00000146360	109978256	109980720	6	2465	non-HK
ENSG00000092529	42359498	42412949	15	53452	non-HK
ENSG00000185760	72621792	73198853	6	577062	non-HK
ENSG00000166148	63142759	63151201	12	8443	non-HK
ENSG00000310579	9786429	9968352	X	181924	non-HK
ENSG00000133858	71609599	71667725	12	58127	non-HK
ENSG00000234469	9961424	9968352	X	6929	non-HK
ENSG00000188771	112248153	112260860	11	12708	non-HK
ENSG00000285000	77030902	77152155	5	121254	non-HK
ENSG00000184788	85092284	85243911	X	151628	non-HK
ENSG00000284762	77086732	77427124	5	340393	non-HK
ENSG00000159055	32268224	32279098	21	10875	non-HK
ENSG00000184956	1012823	1036718	11	23896	non-HK
ENSG00000185608	19432467	19436077	22	3611	non-HK
ENSG00000083067	70529060	71446977	9	917918	non-HK
ENSG00000113231	77210449	77428256	5	217808	non-HK
ENSG00000160298	46300181	46324460	21	24280	non-HK
ENSG00000183479	153444473	153470587	X	26115	non-HK
ENSG00000075218	46296870	46330810	22	33941	non-HK
ENSG00000152467	58034025	58054631	19	20607	non-HK
ENSG00000198788	1074875	1110511	11	35637	non-HK
ENSG00000177191	41425359	41428730	19	3372	non-HK
ENSG00000174898	5720637	5778734	19	58098	non-HK
ENSG00000212123	5782960	5784746	19	1787	non-HK
ENSG00000255292	112086903	112193805	11	106903	non-HK
ENSG00000267157	5784005	5785619	19	1615	non-HK
ENSG00000267740	5866171	5903787	19	37617	non-HK
ENSG00000104755	39743735	39838227	8	94493	non-HK
ENSG00000131379	14675141	14773036	3	97896	non-HK
ENSG00000248167	30328907	30346854	6	17948	non-HK
ENSG00000267314	5904841	5914707	19	9867	non-HK
ENSG00000187650	5904872	5910853	19	5982	non-HK
ENSG00000185926	54603069	54603998	11	930	non-HK
ENSG00000139151	18683169	18738100	12	54932	non-HK
ENSG00000276368	27814302	27814777	6	476	non-HK
ENSG00000197238	27824092	27824480	6	389	non-HK
ENSG00000147231	106611930	106679439	X	67510	non-HK
ENSG00000198092	68053198	68129869	4	76672	non-HK
ENSG00000183313	5985892	5986985	11	1094	non-HK
ENSG00000278828	27810051	27811300	6	1250	non-HK
ENSG00000008441	12995475	13098796	19	103322	non-HK
ENSG00000180919	6107684	6108835	11	1152	non-HK
ENSG00000185873	68226653	68245694	4	19042	non-HK
ENSG00000112541	165327287	165988117	6	660831	non-HK
ENSG00000196119	124566660	124582942	11	16283	non-HK
ENSG00000099958	23834503	23839128	22	4626	non-HK
ENSG00000152402	106674019	107018476	11	344458	non-HK
ENSG00000087128	68447463	68497604	4	50142	non-HK
ENSG00000102245	136648158	136660390	X	12233	non-HK
ENSG00000138685	122826682	122898236	4	71555	non-HK
ENSG00000160285	46188141	46228840	21	40700	non-HK
ENSG00000120662	41216145	41263775	13	47631	non-HK
ENSG00000169635	21416504	21451463	22	34960	non-HK
ENSG00000176340	63974620	63976543	11	1924	HK
ENSG00000173013	7040849	7043001	4	2153	non-HK
ENSG00000165462	72239077	72245664	11	6588	non-HK
ENSG00000173011	7041899	7057952	4	16054	HK
ENSG00000196569	128883138	129516566	6	633429	non-HK
ENSG00000163576	19879472	19947025	3	67554	non-HK
ENSG00000100142	37952607	38041915	22	89309	HK
ENSG00000178597	7430285	7434930	4	4646	non-HK
ENSG00000130700	62463481	62476040	20	12560	non-HK
ENSG00000177938	18738119	18739188	12	1070	non-HK
ENSG00000083782	90963682	91005026	12	41345	non-HK
ENSG00000120251	157204182	157387146	4	182965	non-HK
ENSG00000111780	120438198	120460006	12	21809	non-HK
ENSG00000234776	45906513	45907272	11	760	non-HK
ENSG00000171456	32358266	32439319	20	81054	HK
ENSG00000077458	95768953	95790409	11	21457	non-HK
ENSG00000272822	48903503	48957365	12	53863	non-HK
ENSG00000169884	48965340	48971735	12	6396	non-HK
ENSG00000183977	19979961	20012267	3	32307	non-HK
ENSG00000181418	48995149	48999375	12	4227	non-HK
ENSG00000128228	21642302	21644299	22	1998	non-HK
ENSG00000139549	49086656	49094801	12	8146	non-HK
ENSG00000164941	94813311	94881746	8	68436	non-HK
ENSG00000225366	110520312	110523021	X	2710	non-HK
ENSG00000090776	68828992	68842160	X	13169	non-HK
ENSG00000157152	12004388	12192032	3	187645	non-HK
ENSG00000284194	50523564	50526461	22	2898	non-HK
ENSG00000118972	4368227	4379712	12	11486	non-HK
ENSG00000065923	46599251	46759193	X	159943	non-HK
ENSG00000135414	55743122	55757264	12	14143	non-HK
ENSG00000100221	38685543	38701556	22	16014	HK
ENSG00000257390	55757275	55827546	12	70272	non-HK
ENSG00000175602	65890673	65891635	11	963	HK
ENSG00000175573	65916810	65919062	11	2253	HK
ENSG00000175550	65919274	65921563	11	2290	HK
ENSG00000111644	6638075	6647433	12	9359	non-HK
ENSG00000198300	56810077	56840728	19	30652	non-HK
ENSG00000183628	18905677	18914281	22	8605	non-HK
ENSG00000076770	132369320	132489978	X	120659	non-HK
ENSG00000171540	77628712	77638713	5	10002	non-HK
ENSG00000172348	46220736	46491972	6	271237	non-HK
ENSG00000175315	66012008	66013505	11	1498	non-HK
ENSG00000133710	148025683	148137382	5	111700	non-HK
ENSG00000175294	66016752	66026479	11	9728	non-HK
ENSG00000112761	112054075	112069686	6	15612	non-HK
ENSG00000283563	28349178	29767537	3	1418360	non-HK
ENSG00000093009	19479457	19520612	22	41156	non-HK
ENSG00000170426	56923133	56934408	12	11276	non-HK
ENSG00000174871	66278175	66285301	11	7127	non-HK
ENSG00000125812	23362000	23373062	20	11063	non-HK
ENSG00000172940	38265812	38278757	3	12946	non-HK
ENSG00000111358	123633739	123662604	12	28866	non-HK
ENSG00000179292	66291894	66296664	11	4771	non-HK
ENSG00000174807	66314494	66317044	11	2551	non-HK
ENSG00000088832	1368977	1393164	20	24188	HK
ENSG00000175115	66070272	66244744	11	174473	HK
ENSG00000172179	22287244	22302826	6	15583	non-HK
ENSG00000204669	72051376	72072721	9	21346	non-HK
ENSG00000204531	31164337	31180731	6	16395	non-HK
ENSG00000198963	74497335	74693177	9	195843	non-HK
ENSG00000144724	61561569	62297609	3	736041	non-HK
ENSG00000125831	23450403	23453210	20	2808	non-HK
ENSG00000131067	34844714	34872868	20	28155	non-HK
ENSG00000119121	74722495	74888094	9	165600	non-HK
ENSG00000129152	17719571	17722136	11	2566	non-HK
ENSG00000283434	88338416	88467594	3	129179	non-HK
