HGNC symbol	Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
CHMP2B	ENSG00000083937	87227271	87255556	3
CHMP4A	ENSG00000285302	510561	514847	HG1_PATCH
CHMP4A	ENSG00000254505	24209615	24213830	14
CHMP4B	ENSG00000101421	33811345	33854366	20
CHMP5	ENSG00000086065	33264017	33282071	9
CHMP6	ENSG00000176108	80991598	81009517	17
CHP1	ENSG00000187446	41230824	41281888	15
CHPT1	ENSG00000111666	101696947	101744140	12
CHRAC1	ENSG00000104472	140511311	140517154	8
CHST12	ENSG00000136213	2403442	2448484	7
CHST7	ENSG00000147119	46573391	46598496	X
CHTOP	ENSG00000160679	153633982	153646306	1
CHUK	ENSG00000213341	100188300	100229596	10
CHURC1	ENSG00000258289	64914361	64944591	14
CHURC1-FNTB	ENSG00000125954	64914485	65061803	14
CIAO1	ENSG00000144021	96266159	96274173	2
CIB1	ENSG00000185043	90229975	90234047	15
CIC	ENSG00000079432	42268537	42295801	19
CINP	ENSG00000100865	102341102	102362916	14
CIR1	ENSG00000138433	174348022	174395712	2
CISD1	ENSG00000122873	58269151	58289586	10
CISD2	ENSG00000145354	102868971	102892807	4
CISD3	ENSG00000274768	2765554	2770363	HSCHR17_7_CTG4
CISD3	ENSG00000277972	38730318	38735605	17
CKAP4	ENSG00000136026	106237880	106304279	12
CLCC1	ENSG00000121940	108881885	108963527	1
CLCN3	ENSG00000109572	169612438	169723673	4
CLCN7	ENSG00000103249	1444934	1475104	16
CLINT1	ENSG00000113282	157785743	157859169	5
CLK3	ENSG00000179335	74598500	74645414	15
CLNS1A	ENSG00000074201	77514936	77637809	11
CLOCK	ENSG00000134852	55427903	55547491	4
CLP1	ENSG00000172409	57648188	57661865	11
CLPP	ENSG00000125656	6361427	6370242	19
CLPTM1	ENSG00000104853	44954585	44993341	19
CLPTM1L	ENSG00000274811	168910	195710	HSCHR5_3_CTG1
CLPTM1L	ENSG00000049656	1317744	1345099	5
CLPX	ENSG00000166855	65148219	65185393	15
CLTA	ENSG00000122705	36190856	36304781	9
CLTB	ENSG00000175416	176392494	176416557	5
CLTC	ENSG00000141367	59619680	59696956	17
CMAS	ENSG00000111726	22046174	22065674	12
CMC1	ENSG00000187118	28241584	28325142	3
CMC2	ENSG00000291948	14687	68509	HG405_PATCH
CMC2	ENSG00000103121	80966448	81020270	16
CMC4	ENSG00000182712	155061622	155071136	X
CMPK1	ENSG00000162368	47333790	47394866	1
CNBP	ENSG00000169714	129167818	129184008	3
CNIH4	ENSG00000143771	224356858	224379459	1
CNNM2	ENSG00000148842	102918286	103090222	10
CNNM3	ENSG00000168763	96816245	96835382	2
CNOT1	ENSG00000125107	58519951	58629885	16
CNOT11	ENSG00000158435	101252873	101270316	2
CNOT2	ENSG00000111596	70243002	70354993	12
CNOT3	ENSG00000274176	112549	130558	HSCHR19LRC_COX2_CTG3_1
CNOT3	ENSG00000275979	112549	130558	HSCHR19LRC_LRC_S_CTG3_1
CNOT3	ENSG00000277114	112549	130557	HSCHR19LRC_COX1_CTG3_1
CNOT3	ENSG00000274941	112549	130558	HSCHR19LRC_LRC_I_CTG3_1
CNOT3	ENSG00000273943	112549	130558	HSCHR19LRC_LRC_T_CTG3_1
CNOT3	ENSG00000276082	112549	130558	HSCHR19LRC_LRC_J_CTG3_1
CNOT3	ENSG00000277600	112557	130532	HSCHR19_4_CTG3_1
CNOT3	ENSG00000274616	112549	130558	HSCHR19LRC_PGF1_CTG3_1
CNOT3	ENSG00000277615	112549	130558	HSCHR19LRC_PGF2_CTG3_1
CNOT3	ENSG00000088038	54137710	54155708	19
CNOT4	ENSG00000080802	135361795	135510145	7
CNOT7	ENSG00000198791	17224966	17247726	8
CNST	ENSG00000162852	246566338	246668595	1
COA1	ENSG00000106603	43608456	43729857	7
COA3	ENSG00000183978	42795147	42798704	17
COA4	ENSG00000181924	73869846	73876982	11
COA5	ENSG00000183513	98598242	98608515	2
COA6	ENSG00000168275	234373456	234385080	1
COASY	ENSG00000068120	42561467	42566277	17
COG1	ENSG00000166685	73193038	73209422	17
COG2	ENSG00000135775	230642464	230693985	1
COG3	ENSG00000136152	45464898	45536701	13
COG4	ENSG00000103051	70480568	70523560	16
COG7	ENSG00000168434	23388493	23453207	16
COG8	ENSG00000213380	69320140	69339583	16
COMMD1	ENSG00000173163	61888724	62147629	2
COMMD10	ENSG00000145781	116085007	116412762	5
COMMD3	ENSG00000148444	22315980	22320430	10
COMMD3-BMI1	ENSG00000269897	22316388	22329542	10
COMMD5	ENSG00000170619	144837978	144853736	8
COMMD6	ENSG00000188243	75525214	75549439	13
COMMD7	ENSG00000149600	32702648	32743928	20
COMMD9	ENSG00000110442	36269284	36289449	11
COMT	ENSG00000093010	19941371	19969975	22
COPA	ENSG00000122218	160288594	160343566	1
COPB1	ENSG00000129083	14443357	14500027	11
COPB2	ENSG00000184432	139353942	139389736	3
COPE	ENSG00000105669	18899514	18919400	19
COPG1	ENSG00000181789	129249576	129278065	3
COPS2	ENSG00000166200	49106068	49155661	15
COPS3	ENSG00000141030	17246616	17281303	17
COPS4	ENSG00000138663	83034447	83075818	4
COPS5	ENSG00000121022	67043079	67083783	8
COPS6	ENSG00000168090	100088948	100093340	7
COPS7A	ENSG00000111652	6724014	6731875	12
COPS7B	ENSG00000144524	231781671	231809254	2
COPS8	ENSG00000198612	237085882	237100474	2
COPZ1	ENSG00000111481	54301202	54351848	12
COQ10B	ENSG00000115520	197453493	197475310	2
COQ2	ENSG00000173085	83261536	83284914	4
COQ4	ENSG00000167113	128322515	128334072	9
COQ5	ENSG00000110871	120503279	120534434	12
COQ6	ENSG00000119723	73949926	73963670	14
CORO1C	ENSG00000110880	108645109	108732563	12
COX11	ENSG00000166260	54951902	54968703	17
COX14	ENSG00000178449	50112082	50120457	12
COX15	ENSG00000014919	99710868	99732160	10
COX16	ENSG00000133983	70325081	70416984	14
COX19	ENSG00000240230	898778	975549	7
COX20	ENSG00000203667	244835616	244845480	1
COX4I1	ENSG00000131143	85798633	85807068	16
COX5B	ENSG00000291596	572093	574414	HG2275_PATCH
COX5B	ENSG00000135940	97646062	97648383	2
COX6B1	ENSG00000126267	35648230	35658795	19
COX6C	ENSG00000164919	99873200	99893759	8
COX7A2	ENSG00000112695	75237675	75250323	6
COX7A2L	ENSG00000115944	42333546	42425088	2
COX7C	ENSG00000127184	86617905	86621246	5
COX8A	ENSG00000176340	63974620	63976543	11
CPD	ENSG00000108582	30378922	30469989	17
CPNE1	ENSG00000214078	35626031	35664956	20
CPNE2	ENSG00000140848	57092549	57148369	16
CPNE3	ENSG00000085719	86514435	86561498	8
CPOX	ENSG00000080819	98579446	98593707	3
CPSF2	ENSG00000165934	92121512	92172145	14
CPSF4	ENSG00000160917	99438908	99457377	7
CPSF6	ENSG00000111605	69239543	69279829	12
CPSF7	ENSG00000149532	61402641	61430105	11
CRADD	ENSG00000169372	93677375	93894840	12
CRBN	ENSG00000113851	3144628	3179727	3
CRCP	ENSG00000241258	66114604	66154568	7
CREB3	ENSG00000107175	35732296	35738886	9
CREBZF	ENSG00000137504	85657742	85682908	11
CREG1	ENSG00000143162	167529117	167553822	1
CRELD1	ENSG00000163703	9933793	9945413	3
CRIPT	ENSG00000119878	46616416	46685037	2
CRK	ENSG00000167193	1420689	1463162	17
CRKL	ENSG00000099942	20917407	20953747	22
CRLS1	ENSG00000088766	6006052	6040053	20
CRNKL1	ENSG00000101343	20034368	20056046	20
CRTC2	ENSG00000160741	153947669	153958634	1
CRY2	ENSG00000121671	45847118	45883248	11
CSGALNACT2	ENSG00000169826	43137831	43185302	10
CSNK1A1	ENSG00000113712	149492982	149551471	5
CSNK1A1L	ENSG00000180138	37103259	37105664	13
CSNK1D	ENSG00000141551	82239023	82273700	17
CSNK1G3	ENSG00000151292	123512067	123617049	5
CSNK2A3	ENSG00000254598	11351942	11353250	11
CSNK2B	ENSG00000204435	31665227	31670343	6
CSNK2B	ENSG00000230700	2913007	2920054	HSCHR6_MHC_DBB_CTG1
CSNK2B	ENSG00000224774	2964520	2972830	HSCHR6_MHC_SSTO_CTG1
CSNK2B	ENSG00000228875	3142527	3150837	HSCHR6_MHC_COX_CTG1
CSNK2B	ENSG00000232960	2970283	2977329	HSCHR6_MHC_MANN_CTG1
CSNK2B	ENSG00000224398	3007108	3015418	HSCHR6_MHC_MCF_CTG1
CSNK2B	ENSG00000206406	2921060	2929370	HSCHR6_MHC_QBL_CTG1
CST3	ENSG00000101439	23626706	23638556	20
CSTB	ENSG00000160213	43772511	43776579	21
CSTF1	ENSG00000101138	56392371	56406362	20
CSTF2T	ENSG00000177613	51695486	51699595	10
CTBP1	ENSG00000159692	1211434	1250333	4
CTCF	ENSG00000102974	67561831	67639189	16
CTDSP2	ENSG00000175215	57819927	57846729	12
CTNNA1	ENSG00000044115	138610967	138935039	5
CTNNB1	ENSG00000168036	41194741	41260096	3
CTNNBIP1	ENSG00000178585	9848269	9910368	1
CTNNBL1	ENSG00000132792	37694030	37872129	20
CTNND1	ENSG00000198561	57753243	57819546	11
CTSA	ENSG00000064601	45890144	45898949	20
CTSD	ENSG00000117984	1752752	1764573	11
CTTN	ENSG00000288401	159692	197872	HG2115_PATCH
CTTN	ENSG00000085733	70398404	70436584	11
CTU2	ENSG00000174177	88706473	88715396	16
CUEDC2	ENSG00000107874	102423242	102432718	10
CUL1	ENSG00000055130	148697914	148801110	7
CUL2	ENSG00000108094	35008504	35127006	10
CUL4A	ENSG00000139842	113208193	113267108	13
CUL4B	ENSG00000158290	120505920	120604074	X
CUL5	ENSG00000166266	108008898	108107781	11
CUTA	ENSG00000226492	4865167	4867042	HSCHR6_MHC_SSTO_CTG1
CUTA	ENSG00000112514	33416442	33418381	6
CUX1	ENSG00000257923	101815904	102283958	7
CWC15	ENSG00000150316	94962620	94973611	11
CWC22	ENSG00000163510	179944872	180007297	2
CWC25	ENSG00000276761	2835753	2860800	HSCHR17_7_CTG4
CWC25	ENSG00000273559	38800441	38825646	17
CXXC1	ENSG00000154832	50282331	50287857	18
CXXC5	ENSG00000171604	139646375	139683882	5
CYB5B	ENSG00000103018	69398402	69466264	16
CYB5D2	ENSG00000167740	4143168	4187310	17
CYB5R3	ENSG00000100243	42615730	42720870	22
CYC1	ENSG00000179091	144095039	144097525	8
CYFIP1	ENSG00000288461	3764107	3841375	HG2365_PATCH
CYFIP1	ENSG00000280618	746	78058	HSCHR15_1_CTG3
CYFIP1	ENSG00000273749	22867052	22981063	15
CYP2U1	ENSG00000155016	107931531	107953465	4
D2HGDH	ENSG00000180902	241734596	241768816	2
DAD1	ENSG00000129562	22564902	22589235	14
DAG1	ENSG00000173402	49468649	49535619	3
DAGLB	ENSG00000164535	6407846	6484190	7
DALRD3	ENSG00000178149	49015488	49022293	3
DAP3	ENSG00000132676	155687833	155739014	1
DARS2	ENSG00000117593	173824540	173858808	1
DAXX	ENSG00000206206	4562073	4572783	HSCHR6_MHC_DBB_CTG1
DAXX	ENSG00000227046	4730043	4740754	HSCHR6_MHC_COX_CTG1
DAXX	ENSG00000231617	4754493	4765202	HSCHR6_MHC_MCF_CTG1
DAXX	ENSG00000206279	4512987	4523698	HSCHR6_MHC_QBL_CTG1
DAXX	ENSG00000204209	33318558	33323259	6
DAZAP1	ENSG00000071626	1407536	1435687	19
DBT	ENSG00000137992	100182222	100249873	1
DCAF10	ENSG00000122741	37800554	37867666	9
DCAF11	ENSG00000284796	415173	426220	HG1_PATCH
DCAF11	ENSG00000100897	24114010	24125614	14
DCAF12	ENSG00000198876	34086384	34127399	9
DCAF13	ENSG00000164934	103414714	103443579	8
DCAF5	ENSG00000139990	69050881	69153179	14
DCAF7	ENSG00000136485	63550222	63594286	17
DCAF8	ENSG00000132716	160215715	160263388	1
DCAKD	ENSG00000172992	45023338	45061131	17
DCTD	ENSG00000129187	182890060	182917936	4
DCTN2	ENSG00000175203	57529633	57547242	12
DCTN3	ENSG00000137100	34613545	34620523	9
DCTN4	ENSG00000132912	150706840	150759095	5
DCTN5	ENSG00000166847	23641381	23677472	16
DCTN6	ENSG00000104671	30156319	30183639	8
DCTPP1	ENSG00000179958	30423615	30430030	16
DCUN1D3	ENSG00000188215	20854897	20900400	16
DCUN1D4	ENSG00000109184	51843000	51916839	4
DCUN1D5	ENSG00000137692	103050686	103092194	11
DDA1	ENSG00000130311	17309518	17323298	19
DDB1	ENSG00000167986	61299447	61342596	11
DDB2	ENSG00000134574	47214457	47239240	11
DDOST	ENSG00000244038	20651767	20661544	1
DDRGK1	ENSG00000198171	3188734	3204700	20
DDX1	ENSG00000079785	15591178	15634346	2
DDX10	ENSG00000178105	108665053	108940999	11
DDX17	ENSG00000100201	38483438	38507660	22
DDX18	ENSG00000088205	117814673	117832379	2
DDX19A	ENSG00000168872	70346861	70373992	16
DDX19B	ENSG00000157349	70289663	70335305	16
DDX21	ENSG00000165732	68956135	68985072	10
DDX23	ENSG00000174243	48829756	48852842	12
DDX24	ENSG00000273761	1165482	1195807	HSCHR14_7_CTG1
DDX24	ENSG00000089737	94048287	94081215	14
DDX27	ENSG00000124228	49219347	49244077	20
DDX39B	ENSG00000237889	2862768	2871733	HSCHR6_MHC_APD_CTG1
DDX39B	ENSG00000235439	2829503	2841732	HSCHR6_MHC_SSTO_CTG1
DDX39B	ENSG00000225073	3007552	3023908	HSCHR6_MHC_COX_CTG1
DDX39B	ENSG00000230624	2777992	2794348	HSCHR6_MHC_DBB_CTG1
DDX39B	ENSG00000225859	2835292	2851631	HSCHR6_MHC_MANN_CTG1
DDX39B	ENSG00000229496	2872162	2888517	HSCHR6_MHC_MCF_CTG1
DDX39B	ENSG00000215425	2786081	2802434	HSCHR6_MHC_QBL_CTG1
DDX39B	ENSG00000198563	31530218	31542451	6
DDX3X	ENSG00000215301	41333348	41364472	X
DDX41	ENSG00000183258	177511569	177516979	5
DDX42	ENSG00000198231	63773603	63819429	17
DDX46	ENSG00000145833	134758771	134831121	5
DDX47	ENSG00000213782	12813316	12829981	12
DDX49	ENSG00000105671	18919700	18929189	19
DDX54	ENSG00000123064	113157173	113185508	12
DDX56	ENSG00000136271	44565418	44575051	7
DDX59	ENSG00000118197	200623896	200670049	1
DEDD	ENSG00000158796	161120973	161133280	1
DEF8	ENSG00000140995	89948127	89968066	16
DEGS1	ENSG00000143753	224175756	224193441	1
DEK	ENSG00000124795	18223860	18265997	6
DENND1A	ENSG00000119522	123379648	123930152	9
DENND4A	ENSG00000174485	65658046	65792293	15
DENR	ENSG00000139726	122752824	122771064	12
DERA	ENSG00000023697	15911284	16037381	12
DERL1	ENSG00000136986	123013170	123042406	8
DERL2	ENSG00000072849	5471254	5486811	17
DESI1	ENSG00000100418	41598028	41621081	22
DEXI	ENSG00000182108	10928891	10942468	16
DFFA	ENSG00000160049	10456522	10472549	1
DGCR2	ENSG00000070413	19036280	19122461	22
DGCR6L	ENSG00000128185	20314238	20320080	22
DHPS	ENSG00000095059	12673411	12681894	19
DHRS12	ENSG00000102796	51767520	51804187	13
DHRS7B	ENSG00000109016	21123364	21193265	17
DHX15	ENSG00000109606	24517441	24584603	4
DHX16	ENSG00000227222	1988978	2002543	HSCHR6_MHC_APD_CTG1
DHX16	ENSG00000226171	1953870	1973820	HSCHR6_MHC_SSTO_CTG1
DHX16	ENSG00000233418	1908942	1928891	HSCHR6_MHC_DBB_CTG1
DHX16	ENSG00000233561	2132833	2152781	HSCHR6_MHC_COX_CTG1
DHX16	ENSG00000233049	1963343	1983290	HSCHR6_MHC_MANN_CTG1
DHX16	ENSG00000231377	1997169	2017114	HSCHR6_MHC_MCF_CTG1
DHX16	ENSG00000206486	1908201	1928150	HSCHR6_MHC_QBL_CTG1
DHX16	ENSG00000204560	30653119	30673013	6
DHX29	ENSG00000067248	55256055	55307707	5
DHX30	ENSG00000132153	47802641	47851617	3
DHX32	ENSG00000089876	125836337	125896514	10
DHX33	ENSG00000005100	5440917	5468982	17
DHX36	ENSG00000281763	1181	9497	HSCHR3_2_CTG2_1
DHX36	ENSG00000174953	154272546	154324487	3
DHX38	ENSG00000140829	72093613	72112912	16
DHX8	ENSG00000067596	43483865	43610338	17
DHX9	ENSG00000135829	182839302	182887982	1
DIABLO	ENSG00000184047	122207394	122226062	12
DIDO1	ENSG00000101191	62877738	62937952	20
DIMT1	ENSG00000086189	62347284	62403943	5
DIS3	ENSG00000083520	72752169	72782096	13
DIS3L2	ENSG00000144535	231961245	232344350	2
DKC1	ENSG00000130826	154762742	154777697	X
DLD	ENSG00000091140	107891162	107931730	7
DLG1	ENSG00000075711	197042560	197299330	3
DLGAP4	ENSG00000080845	36306302	36528637	20
DLST	ENSG00000119689	74881891	74903966	14
DMAP1	ENSG00000178028	44213427	44220681	1
DNAAF2	ENSG00000165506	49625174	49635244	14
DNAJA2	ENSG00000069345	46955362	46973704	16
DNAJA3	ENSG00000276726	128128	159098	HSCHR16_3_CTG1
DNAJA3	ENSG00000103423	4425805	4456775	16
DNAJB11	ENSG00000090520	186567403	186585800	3
DNAJB12	ENSG00000148719	72332830	72355167	10
DNAJB9	ENSG00000128590	108569847	108574850	7
DNAJC10	ENSG00000077232	182715607	182794464	2
DNAJC11	ENSG00000007923	6634168	6701924	1
DNAJC14	ENSG00000135392	55820746	55830824	12
DNAJC17	ENSG00000104129	40765161	40807498	15
DNAJC19	ENSG00000205981	180983635	180989774	3
DNAJC2	ENSG00000105821	103312289	103344830	7
DNAJC21	ENSG00000168724	34929548	34958964	5
DNAJC3	ENSG00000102580	95677114	95794988	13
DNAJC4	ENSG00000110011	64230158	64234286	11
DNAJC5	ENSG00000101152	63894641	63936031	20
DNAJC7	ENSG00000168259	41976421	42021376	17
DNAJC8	ENSG00000126698	28199456	28233032	1
DNAJC9	ENSG00000213551	73183362	73247280	10
DNASE2	ENSG00000105612	12875209	12881595	19
DNLZ	ENSG00000213221	136359480	136363744	9
DNM1L	ENSG00000087470	32679200	32745650	12
DNM2	ENSG00000079805	10717974	10833504	19
DNTTIP1	ENSG00000101457	45791946	45811427	20
DNTTIP2	ENSG00000067334	93866284	93879918	1
DOHH	ENSG00000129932	3490821	3500936	19
DOLK	ENSG00000175283	128945530	128947603	9
DPAGT1	ENSG00000172269	119096025	119108331	11
DPH1	ENSG00000108963	2030137	2043898	17
DPH2	ENSG00000132768	43969978	43973373	1
DPH3	ENSG00000154813	16257061	16264982	3
DPH5	ENSG00000117543	100989623	101026110	1
DPM1	ENSG00000000419	50934852	50959140	20
DPP7	ENSG00000176978	137110540	137118309	9
DPY30	ENSG00000162961	31867809	32039809	2
DR1	ENSG00000117505	93345907	93369493	1
DRAM2	ENSG00000156171	111115884	111140225	1
DRAP1	ENSG00000175550	65919274	65921563	11
DRG2	ENSG00000108591	18087892	18107979	17
DROSHA	ENSG00000113360	31400494	31533186	5
DTWD1	ENSG00000104047	49621031	49656232	15
DUSP11	ENSG00000291483	431280	449630	HG2052_PATCH
DUSP11	ENSG00000144048	73761782	73780173	2
DUSP14	ENSG00000275932	1729002	1752668	HSCHR17_7_CTG4
DUSP14	ENSG00000276023	37488397	37513517	17
DUSP16	ENSG00000280962	442285	531866	HG1362_PATCH
DUSP16	ENSG00000111266	12473282	12563147	12
DUSP22	ENSG00000112679	291630	351355	6
DUT	ENSG00000128951	48331011	48343373	15
DVL3	ENSG00000161202	184155159	184173614	3
DYM	ENSG00000141627	49036387	49461347	18
DYNC1LI1	ENSG00000144635	32525974	32570900	3
DYNLL2	ENSG00000264364	58082863	58095542	17
DYNLRB1	ENSG00000125971	34516379	34540958	20
DYNLT1	ENSG00000146425	158636474	158644755	6
E2F4	ENSG00000205250	67192155	67198918	16
E4F1	ENSG00000167967	2223440	2235743	16
EAF1	ENSG00000144597	15427598	15450635	3
EAPP	ENSG00000129518	34515938	34539721	14
EARS2	ENSG00000103356	23520754	23557731	16
EBAG9	ENSG00000147654	109539711	109570072	8
EBNA1BP2	ENSG00000117395	43164175	43270936	1
ECD	ENSG00000122882	73130155	73169055	10
ECH1	ENSG00000282853	225094	241513	HG26_PATCH
ECH1	ENSG00000104823	38815417	38831874	19
ECHDC1	ENSG00000093144	127288712	127343609	6
ECHS1	ENSG00000127884	133362472	133373714	10
ECI1	ENSG00000167969	2239402	2252300	16
ECI2	ENSG00000198721	4115685	4135597	6
ECSIT	ENSG00000130159	11505927	11530564	19
EDC3	ENSG00000179151	74630557	74696292	15
EDC4	ENSG00000038358	67873049	67884516	16
EDEM3	ENSG00000116406	184690237	184754907	1
EDF1	ENSG00000107223	136862115	136866312	9
EED	ENSG00000074266	86201212	86279807	11
EEF1B2	ENSG00000283391	268603	271946	HSCHR2_6_CTG7_2
EEF1B2	ENSG00000114942	206159585	206162932	2
EEF1E1	ENSG00000124802	8073360	8102573	6
EEF2	ENSG00000167658	3976044	3985479	19
EEFSEC	ENSG00000284869	22577	277765	HSCHR3_9_CTG2_1
EEFSEC	ENSG00000132394	128153433	128409356	3
EFCAB14	ENSG00000159658	46674659	46719146	1
EFR3A	ENSG00000132294	131904077	132013642	8
EFTUD2	ENSG00000108883	44849948	44899626	17
EGLN2	ENSG00000269858	40798996	40808444	19
EHMT1	ENSG00000181090	137618977	137870016	9
EI24	ENSG00000149547	125568248	125584690	11
EID2	ENSG00000176396	39538707	39540161	19
EIF1	ENSG00000173812	41688883	41692668	17
EIF1AD	ENSG00000175376	65996545	66002472	11
EIF1B	ENSG00000114784	40309707	40312424	3
EIF2A	ENSG00000144895	150546678	150586016	3
EIF2AK1	ENSG00000086232	6022247	6059231	7
EIF2AK3	ENSG00000172071	88556741	88691518	2
EIF2AK4	ENSG00000128829	39934115	40035736	15
EIF2B2	ENSG00000119718	75002894	75012366	14
EIF2B3	ENSG00000070785	44850522	44986722	1
EIF2B4	ENSG00000115211	27363420	27370400	2
EIF2B5	ENSG00000145191	184135038	184146127	3
EIF2D	ENSG00000143486	206571292	206612514	1
EIF2S1	ENSG00000134001	67360011	67386516	14
EIF2S2	ENSG00000125977	34088309	34112279	20
EIF3A	ENSG00000107581	119033670	119080835	10
EIF3B	ENSG00000106263	2354086	2380747	7
EIF3D	ENSG00000100353	36510850	36529245	22
EIF3E	ENSG00000104408	108162787	108443496	8
EIF3G	ENSG00000130811	10115010	10119951	19
EIF3H	ENSG00000147677	116642130	116766925	8
EIF3I	ENSG00000084623	32221077	32245397	1
EIF3J	ENSG00000104131	44537098	44563029	15
EIF3K	ENSG00000282986	28718	46591	HG26_PATCH
EIF3K	ENSG00000178982	38619055	38636959	19
EIF3L	ENSG00000100129	37848868	37889407	22
EIF3M	ENSG00000149100	32583785	32606264	11
EIF4A1	ENSG00000161960	7572760	7579006	17
EIF4A3	ENSG00000291508	159075	171857	HG2118_PATCH
EIF4A3	ENSG00000141543	80134369	80147151	17
EIF4E2	ENSG00000135930	232550659	232583644	2
EIF4G1	ENSG00000114867	184314490	184335358	3
EIF4G2	ENSG00000110321	10797050	10808940	11
EIF4G3	ENSG00000075151	20806292	21177285	1
EIF4H	ENSG00000106682	74174231	74197122	7
EIF5	ENSG00000100664	103333544	103345025	14
EIF5A	ENSG00000288145	65364	70828	HG2087_PATCH
EIF5A	ENSG00000132507	7306944	7312466	17
EIF5AL1	ENSG00000253626	79512533	79516440	10
EIF5B	ENSG00000158417	99337371	99401326	2
EIF6	ENSG00000242372	35278906	35284985	20
ELAC2	ENSG00000006744	12991268	13018065	17
ELAVL1	ENSG00000066044	7958573	8006062	19
ELF2	ENSG00000109381	139028112	139177224	4
ELK1	ENSG00000126767	47631621	47650604	X
ELK4	ENSG00000158711	205597556	205634520	1
ELL2	ENSG00000118985	95885098	95961871	5
ELMOD3	ENSG00000115459	85354394	85391752	2
ELOVL1	ENSG00000066322	43363396	43368075	1
ELP2	ENSG00000134759	36129444	36180557	18
ELP3	ENSG00000134014	28089673	28191156	8
ELP4	ENSG00000109911	31509755	31790324	11
ELP6	ENSG00000163832	47495640	47513712	3
EMC1	ENSG00000127463	19215660	19251552	1
EMC10	ENSG00000161671	50476400	50490871	19
EMC2	ENSG00000104412	108443601	108489196	8
EMC3	ENSG00000125037	9962682	10011202	3
EMC4	ENSG00000128463	34225013	34230161	15
EMC6	ENSG00000127774	3668812	3669668	17
EMC7	ENSG00000134153	34083980	34101910	15
EMC8	ENSG00000131148	85771758	85799625	16
EMC9	ENSG00000285377	439937	442569	HG1_PATCH
EMC9	ENSG00000100908	24138958	24142023	14
EMD	ENSG00000102119	154379244	154381574	X
EMG1	ENSG00000126749	6970805	6979936	12
ENDOG	ENSG00000167136	128818461	128822676	9
ENOPH1	ENSG00000145293	82430589	82461177	4
ENSA	ENSG00000143420	150600851	150629612	1
ENTPD4	ENSG00000197217	23385783	23457716	8
ENTPD6	ENSG00000197586	25195693	25228075	20
ENY2	ENSG00000120533	109334324	109345954	8
EPC1	ENSG00000120616	32267751	32378798	10
EPM2AIP1	ENSG00000178567	36985043	36993131	3
EPN1	ENSG00000063245	55675109	55709858	19
ERAL1	ENSG00000132591	28855009	28861067	17
ERAP1	ENSG00000164307	96760810	96808100	5
ERCC1	ENSG00000012061	45407333	45478867	19
ERCC2	ENSG00000104884	45349773	45370918	19
ERCC3	ENSG00000163161	127257285	127294188	2
ERCC5	ENSG00000134899	102845831	102875995	13
ERGIC2	ENSG00000087502	29337352	29381189	12
ERGIC3	ENSG00000125991	35542024	35557634	20
ERH	ENSG00000100632	69380123	69398334	14
ERI3	ENSG00000117419	44221070	44355267	1
ERICH1	ENSG00000282665	12731	19697	HSCHR8_4_CTG1
ERICH1	ENSG00000104714	614746	738106	8
ERLEC1	ENSG00000068912	53787009	53833038	2
ERP44	ENSG00000023318	99979185	100099052	9
ESD	ENSG00000139684	46770748	46799772	13
ESF1	ENSG00000089048	13714322	13785409	20
ETF1	ENSG00000120705	138506093	138543239	5
ETFA	ENSG00000140374	76188555	76311730	15
ETFB	ENSG00000105379	51345161	51366449	19
ETV6	ENSG00000139083	11649623	11895386	12
EWSR1	ENSG00000182944	29268009	29300530	22
EXD2	ENSG00000081177	69191498	69244020	14
EXOC1	ENSG00000090989	55853628	55905096	4
EXOC2	ENSG00000112685	485133	693169	6
EXOC3	ENSG00000180104	442522	471937	5
EXOC4	ENSG00000131558	133253071	134067137	7
EXOC7	ENSG00000182473	76080995	76121576	17
EXOC8	ENSG00000116903	231332753	231337852	1
EXOSC1	ENSG00000171311	97428014	97446085	10
EXOSC10	ENSG00000171824	11066613	11099898	1
EXOSC2	ENSG00000130713	130693721	130707288	9
EXOSC4	ENSG00000178896	144078621	144081244	8
EXOSC7	ENSG00000075914	44975241	45036066	3
EXOSC8	ENSG00000120699	36998816	37025881	13
EXT2	ENSG00000151348	44095648	44251962	11
EXTL3	ENSG00000012232	28600469	28756561	8
FADD	ENSG00000168040	70203295	70207395	11
FAF1	ENSG00000185104	50437028	50960279	1
FAF2	ENSG00000113194	176447628	176510075	5
FAHD1	ENSG00000180185	1826967	1840207	16
FAM114A2	ENSG00000055147	153990148	154038936	5
FAM118B	ENSG00000197798	126211687	126263051	11
FAM120A	ENSG00000048828	93451685	93566112	9
FAM120AOS	ENSG00000188938	93431441	93453581	9
FAM120B	ENSG00000275333	17941	143626	HSCHR6_1_CTG5
FAM120B	ENSG00000112584	170290703	170407067	6
FAM136A	ENSG00000035141	70295976	70302067	2
FAM149B1	ENSG00000138286	73168119	73244504	10
FAM162A	ENSG00000114023	122384161	122412334	3
FAM168B	ENSG00000152102	131047876	131093487	2
FAM174A	ENSG00000174132	100535338	100586741	5
FAM177A1	ENSG00000151327	35045117	35116630	14
FAM199X	ENSG00000123575	104166453	104195902	X
FAM200A	ENSG00000221909	99546300	99559392	7
FAM204A	ENSG00000165669	118297925	118342331	10
FAM20B	ENSG00000116199	179025804	179076567	1
