From	To
O00151	ENSG00000107438.10
O00154	ENSG00000097021.22
O00155	ENSG00000170128.5
O00159	ENSG00000197879.18
O00160	ENSG00000142347.22
O00161	ENSG00000092531.11
O00165	ENSG00000143575.17
O00167	ENSG00000064655.21
O00168	ENSG00000266964.7
O00170	ENSG00000110711.12
O00175	ENSG00000106178.8
O00178	ENSG00000100226.17
O00180	ENSG00000135750.16
O00182	ENSG00000168961.18
O00186	ENSG00000116266.12
O00187	ENSG00000009724.19
O00189	ENSG00000221838.13
O00192	ENSG00000099889.15
O00193	ENSG00000110696.11
O00194	ENSG00000041353.11
O00198	ENSG00000135116.9
O00203	ENSG00000132842.17
O00204	ENSG00000088002.12
O00206	ENSG00000136869.16
O00212	ENSG00000173156.8
O00213	ENSG00000166313.21
O00214	ENSG00000116977.20
O00217	ENSG00000110717.14
O00219	ENSG00000103044.12
O00220	ENSG00000104689.11
O00221	ENSG00000146232.18
O00222	ENSG00000179603.19
O00230	ENSG00000241563.4
O00231	ENSG00000108671.12
O00232	ENSG00000197170.11
O00233	ENSG00000110801.15
O00237	ENSG00000239305.8
O00238	ENSG00000138696.12
O00241	ENSG00000101307.17
O00244	ENSG00000177556.13
O00253	ENSG00000159723.6
O00254	ENSG00000164220.7
O00255	ENSG00000133895.20
O00257	ENSG00000141582.16
O00258	ENSG00000182093.16
O00264	ENSG00000101856.11
O00267	ENSG00000196235.15
O00268	ENSG00000130699.20
O00270	ENSG00000120436.4
O00273	ENSG00000160049.13
O00287	ENSG00000133111.4
O00291	ENSG00000127946.18
O00292	ENSG00000143768.13
O00294	ENSG00000112041.13
O00295	ENSG00000104804.9
O00299	ENSG00000213719.9
O00299	ENSG00000206394.8
O00299	ENSG00000226248.6
O00299	ENSG00000226417.6
O00299	ENSG00000226651.6
O00299	ENSG00000223639.6
O00299	ENSG00000230685.6
O00300	ENSG00000164761.10
O00303	ENSG00000175390.16
O00305	ENSG00000182389.20
O00308	ENSG00000198373.14
O00311	ENSG00000097046.14
O00321	ENSG00000105672.15
O00322	ENSG00000105668.8
O00327	ENSG00000133794.21
O00329	ENSG00000171608.19
O00330	ENSG00000110435.14
O00337	ENSG00000156222.13
O00338	ENSG00000198203.11
O00339	ENSG00000132561.15
O00341	ENSG00000162383.13
O00358	ENSG00000178919.9
O00391	ENSG00000116260.17
O00398	ENSG00000078589.14
O00399	ENSG00000104671.9
O00400	ENSG00000169359.17
O00401	ENSG00000106299.9
O00408	ENSG00000186642.16
O00409	ENSG00000053254.17
O00410	ENSG00000065150.22
O00411	ENSG00000099821.15
O00418	ENSG00000103319.13
O00421	ENSG00000121797.11
O00422	ENSG00000150459.14
O00423	ENSG00000066629.20
O00425	ENSG00000136231.15
O00429	ENSG00000087470.22
O00442	ENSG00000137996.14
O00443	ENSG00000011405.15
O00444	ENSG00000142731.12
O00445	ENSG00000129990.16
O00451	ENSG00000168546.12
O00453	ENSG00000204482.12
O00453	ENSG00000206433.10
O00453	ENSG00000235915.8
O00453	ENSG00000231048.8
O00453	ENSG00000226182.8
O00453	ENSG00000223465.8
O00453	ENSG00000234514.8
O00453	ENSG00000230791.8
O00458	ENSG00000006652.15
O00458	ENSG00000288640.1
O00459	ENSG00000105647.21
O00459	ENSG00000268173.3
O00461	ENSG00000173905.10
O00462	ENSG00000109323.12
O00463	ENSG00000082512.16
O00468	ENSG00000188157.16
O00469	ENSG00000152952.15
O00470	ENSG00000143995.21
O00471	ENSG00000070367.18
O00472	ENSG00000118985.17
O00476	ENSG00000124564.18
O00478	ENSG00000111801.17
O00479	ENSG00000182952.6
O00479	ENSG00000292175.1
O00481	ENSG00000026950.19
O00482	ENSG00000116833.15
O00483	ENSG00000189043.11
O00487	ENSG00000115233.13
O00488	ENSG00000142684.9
O00499	ENSG00000136717.16
O00501	ENSG00000184113.10
O00505	ENSG00000102753.11
O00506	ENSG00000115694.16
O00507	ENSG00000114374.14
O00512	ENSG00000116128.12
O00515	ENSG00000159166.16
O00519	ENSG00000117480.17
O00522	ENSG00000001631.18
O00526	ENSG00000110375.3
O00533	ENSG00000134121.10
O00534	ENSG00000110002.17
O00541	ENSG00000100029.19
O00548	ENSG00000198719.10
O00548	ENSG00000275555.2
O00555	ENSG00000141837.24
O00559	ENSG00000147654.17
O00560	ENSG00000137575.13
O00562	ENSG00000110697.15
O00566	ENSG00000124383.12
O00567	ENSG00000101361.18
O00570	ENSG00000182968.5
O00571	ENSG00000215301.12
O00574	ENSG00000172215.7
O00584	ENSG00000026297.18
O00585	ENSG00000137077.10
O00587	ENSG00000100060.19
O00590	ENSG00000144648.17
O00591	ENSG00000094755.18
O00592	ENSG00000128567.18
O00602	ENSG00000085265.13
O00622	ENSG00000142871.19
O00623	ENSG00000108733.11
O00624	ENSG00000112337.12
O00625	ENSG00000087842.12
O00626	ENSG00000102962.6
O00628	ENSG00000112357.15
O00629	ENSG00000186432.11
O00631	ENSG00000170290.5
O00634	ENSG00000162068.2
O00635	ENSG00000112343.12
O00712	ENSG00000147862.19
O00716	ENSG00000112242.17
O00743	ENSG00000119414.13
O00744	ENSG00000169884.14
O00746	ENSG00000103202.14
O00748	ENSG00000172831.15
O00750	ENSG00000133056.15
O00754	ENSG00000104774.15
O00755	ENSG00000154764.6
O00757	ENSG00000130957.5
O00762	ENSG00000175063.18
O00763	ENSG00000076555.16
O00764	ENSG00000160209.20
O00767	ENSG00000099194.7
O14490	ENSG00000170579.19
O14492	ENSG00000160999.12
O14493	ENSG00000189143.10
O14494	ENSG00000067113.18
O14495	ENSG00000162407.10
O14497	ENSG00000117713.22
O14498	ENSG00000129009.14
O14498	ENSG00000288508.1
O14503	ENSG00000134107.6
O14508	ENSG00000120833.15
O14511	ENSG00000158458.22
O14512	ENSG00000274229.2
O14512	ENSG00000274211.6
O14513	ENSG00000176771.18
O14514	ENSG00000181790.13
O14519	ENSG00000111328.7
O14520	ENSG00000165269.14
O14521	ENSG00000204370.15
O14522	ENSG00000196090.14
O14523	ENSG00000172375.15
O14524	ENSG00000166881.11
O14525	ENSG00000152092.18
O14526	ENSG00000130475.17
O14529	ENSG00000111249.15
O14530	ENSG00000115514.13
O14531	ENSG00000151640.14
O14543	ENSG00000184557.5
O14544	ENSG00000170677.7
O14545	ENSG00000135148.13
O14548	ENSG00000115944.16
O14556	ENSG00000105679.9
O14558	ENSG00000004776.14
O14559	ENSG00000004777.19
O14561	ENSG00000004779.11
O14562	ENSG00000103353.17
O14569	ENSG00000114395.12
O14576	ENSG00000158560.15
O14578	ENSG00000122966.19
O14579	ENSG00000105669.15
O14581	ENSG00000185385.5
O14593	ENSG00000064490.15
O14594	ENSG00000130287.15
O14595	ENSG00000175215.11
O14598	ENSG00000129862.7
O14598	ENSG00000129864.7
O14599	ENSG00000183753.10
O14599	ENSG00000185894.8
O14599	ENSG00000183795.8
O14602	ENSG00000198692.11
O14604	ENSG00000154620.6
O14607	ENSG00000183878.17
O14610	ENSG00000167083.8
O14613	ENSG00000149798.6
O14617	ENSG00000065000.21
O14618	ENSG00000173992.10
O14625	ENSG00000169248.13
O14626	ENSG00000174946.7
O14627	ENSG00000131264.5
O14628	ENSG00000005801.19
O14633	ENSG00000159455.9
O14638	ENSG00000154269.16
O14639	ENSG00000099204.23
O14640	ENSG00000107404.22
O14641	ENSG00000004975.13
O14645	ENSG00000163879.12
O14646	ENSG00000153922.13
O14647	ENSG00000173575.24
O14649	ENSG00000171303.8
O14653	ENSG00000108433.17
O14654	ENSG00000133124.12
O14656	ENSG00000136827.12
O14657	ENSG00000136816.17
O14662	ENSG00000124222.24
O14668	ENSG00000130962.20
O14669	ENSG00000126460.12
O14672	ENSG00000137845.16
O14678	ENSG00000119688.22
O14681	ENSG00000149547.16
O14682	ENSG00000171617.17
O14683	ENSG00000175274.20
O14684	ENSG00000148344.11
O14686	ENSG00000167548.18
O14709	ENSG00000186448.16
O14709	ENSG00000281709.3
O14713	ENSG00000119185.14
O14715	ENSG00000169629.13
O14717	ENSG00000107614.23
O14718	ENSG00000180245.7
O14727	ENSG00000120868.16
O14730	ENSG00000101782.16
O14732	ENSG00000141401.13
O14733	ENSG00000076984.19
O14734	ENSG00000101473.18
O14735	ENSG00000103502.15
O14737	ENSG00000105185.13
O14744	ENSG00000100462.17
O14745	ENSG00000109062.13
O14746	ENSG00000164362.22
O14753	ENSG00000172818.11
O14756	ENSG00000025423.12
O14757	ENSG00000149554.16
O14763	ENSG00000120889.14
O14764	ENSG00000187730.10
O14770	ENSG00000134138.23
O14771	ENSG00000085644.15
O14772	ENSG00000254685.9
O14773	ENSG00000166340.19
O14775	ENSG00000069966.19
O14776	ENSG00000113649.15
O14777	ENSG00000080986.14
O14782	ENSG00000084731.16
O14786	ENSG00000099250.19
O14787	ENSG00000105576.17
O14788	ENSG00000120659.16
O14791	ENSG00000100342.23
O14792	ENSG00000002587.11
O14793	ENSG00000138379.5
O14795	ENSG00000198722.16
O14796	ENSG00000198574.7
O14798	ENSG00000173535.16
O14802	ENSG00000148606.16
O14804	ENSG00000135569.5
O14807	ENSG00000158186.14
O14810	ENSG00000168993.16
O14813	ENSG00000165462.5
O14815	ENSG00000135773.14
O14817	ENSG00000214063.13
O14818	ENSG00000101182.16
O14827	ENSG00000113319.14
O14828	ENSG00000116521.13
O14828	ENSG00000263290.5
O14829	ENSG00000086717.20
O14830	ENSG00000156194.19
O14832	ENSG00000107537.15
O14836	ENSG00000240505.9
O14841	ENSG00000178814.18
O14842	ENSG00000126266.5
O14843	ENSG00000185897.8
O14862	ENSG00000163568.18
O14863	ENSG00000104154.8
O14867	ENSG00000156273.17
O14874	ENSG00000103507.15
O14879	ENSG00000119917.15
O14880	ENSG00000143198.14
O14893	ENSG00000092208.20
O14894	ENSG00000142484.8
O14896	ENSG00000117595.14
O14901	ENSG00000172059.12
O14904	ENSG00000143816.8
O14905	ENSG00000158955.11
O14905	ENSG00000276799.2
O14907	ENSG00000213977.9
O14908	ENSG00000123159.17
O14910	ENSG00000111052.9
O14917	ENSG00000118946.12
O14920	ENSG00000104365.17
O14921	ENSG00000127074.16
O14924	ENSG00000159788.21
O14925	ENSG00000265354.5
O14926	ENSG00000186765.12
O14929	ENSG00000128708.14
O14931	ENSG00000204475.11
O14931	ENSG00000206430.8
O14931	ENSG00000225211.6
O14931	ENSG00000237103.6
O14931	ENSG00000237808.6
O14931	ENSG00000223833.6
O14931	ENSG00000236315.6
O14931	ENSG00000236979.6
O14933	ENSG00000156587.16
O14936	ENSG00000147044.24
O14939	ENSG00000129219.15
O14944	ENSG00000124882.4
O14948	ENSG00000105967.17
O14949	ENSG00000164405.12
O14950	ENSG00000118680.15
O14957	ENSG00000127540.13
O14957	ENSG00000267059.2
O14958	ENSG00000118729.16
O14960	ENSG00000145826.9
O14964	ENSG00000185359.15
O14965	ENSG00000087586.19
O14966	ENSG00000117280.14
O14967	ENSG00000153132.14
O14972	ENSG00000157538.15
O14974	ENSG00000058272.20
O14975	ENSG00000140284.12
O14976	ENSG00000178950.19
O14977	ENSG00000155096.15
O14978	ENSG00000006194.12
O14979	ENSG00000152795.19
O14980	ENSG00000082898.20
O14981	ENSG00000095564.16
O14983	ENSG00000196296.15
O14986	ENSG00000107242.21
O14990	ENSG00000102055.7
O14994	ENSG00000185666.16
O15013	ENSG00000104728.17
O15013	ENSG00000274726.4
O15014	ENSG00000180357.11
O15015	ENSG00000167395.11
O15018	ENSG00000133401.17
O15020	ENSG00000173898.17
O15021	ENSG00000069020.19
O15027	ENSG00000148396.20
O15031	ENSG00000196576.17
O15033	ENSG00000119682.19
O15034	ENSG00000060709.18
O15037	ENSG00000100441.11
O15040	ENSG00000196663.17
O15041	ENSG00000170381.16
O15042	ENSG00000163714.19
O15047	ENSG00000099381.20
O15049	ENSG00000145911.8
O15050	ENSG00000168016.16
O15054	ENSG00000132510.12
O15055	ENSG00000132326.13
O15056	ENSG00000078269.15
O15060	ENSG00000166860.4
O15061	ENSG00000182253.15
O15062	ENSG00000168795.6
O15063	ENSG00000166398.15
O15066	ENSG00000101350.9
O15067	ENSG00000178921.15
O15068	ENSG00000126217.23
O15069	ENSG00000136274.9
O15072	ENSG00000156140.11
O15075	ENSG00000133083.16
O15078	ENSG00000198707.18
O15079	ENSG00000101298.16
O15083	ENSG00000187672.16
O15084	ENSG00000206560.12
O15085	ENSG00000132694.21
O15090	ENSG00000198597.10
O15091	ENSG00000100890.17
O15091	ENSG00000258790.1
O15105	ENSG00000101665.11
O15111	ENSG00000213341.12
O15116	ENSG00000175324.11
O15117	ENSG00000082074.20
O15118	ENSG00000141458.14
O15119	ENSG00000135111.16
O15120	ENSG00000169692.15
O15121	ENSG00000143753.15
O15123	ENSG00000091879.15
O15126	ENSG00000085365.19
O15127	ENSG00000140497.17
O15130	ENSG00000139574.10
O15131	ENSG00000196911.13
O15143	ENSG00000130429.17
O15144	ENSG00000163466.17
O15145	ENSG00000111229.17
O15146	ENSG00000030304.15
O15151	ENSG00000198625.16
O15155	ENSG00000105829.13
O15156	ENSG00000160685.15
O15160	ENSG00000171453.21
O15162	ENSG00000188313.14
O15164	ENSG00000122779.19
O15165	ENSG00000168675.20
O15169	ENSG00000103126.16
O15173	ENSG00000164040.18
O15178	ENSG00000164458.11
O15182	ENSG00000153140.10
O15194	ENSG00000144677.16
O15195	ENSG00000136059.17
O15198	ENSG00000120693.17
O15204	ENSG00000134028.15
O15205	ENSG00000213886.5
O15205	ENSG00000206468.3
O15205	ENSG00000231968.2
O15205	ENSG00000228913.2
O15209	ENSG00000206280.7
O15209	ENSG00000229253.5
O15209	ENSG00000227780.5
O15209	ENSG00000236104.5
O15209	ENSG00000237056.5
O15211	ENSG00000206282.11
O15211	ENSG00000224841.9
O15211	ENSG00000228736.9
O15211	ENSG00000237825.9
O15211	ENSG00000237441.11
O15212	ENSG00000204220.13
O15212	ENSG00000206283.10
O15212	ENSG00000224782.8
O15212	ENSG00000235692.8
O15212	ENSG00000237335.8
O15213	ENSG00000227057.10
O15213	ENSG00000206284.8
O15213	ENSG00000236222.8
O15213	ENSG00000204221.11
O15213	ENSG00000226916.8
O15217	ENSG00000170899.12
O15218	ENSG00000166856.4
O15226	ENSG00000186416.18
O15228	ENSG00000116906.14
O15229	ENSG00000117009.13
O15230	ENSG00000130702.15
O15231	ENSG00000147394.21
O15231	ENSG00000292196.1
O15232	ENSG00000132031.14
O15234	ENSG00000108349.19
O15235	ENSG00000128626.13
O15235	ENSG00000283018.1
O15239	ENSG00000125356.8
O15240	ENSG00000128564.9
O15243	ENSG00000213625.9
O15244	ENSG00000112499.13
O15245	ENSG00000175003.16
O15247	ENSG00000155962.14
O15254	ENSG00000087008.17
O15258	ENSG00000157916.21
O15259	ENSG00000144061.15
O15260	ENSG00000148248.15
O15260	ENSG00000280951.3
O15263	ENSG00000171711.3
O15263	ENSG00000177257.3
O15263	ENSG00000275444.2
O15263	ENSG00000285181.2
O15263	ENSG00000285433.2
O15264	ENSG00000156711.18
O15265	ENSG00000163635.21
O15266	ENSG00000185960.15
O15266	ENSG00000292354.1
O15269	ENSG00000090054.17
O15270	ENSG00000100596.9
O15273	ENSG00000173991.6
O15287	ENSG00000221829.12
O15294	ENSG00000147162.16
O15296	ENSG00000179593.17
O15297	ENSG00000170836.14
O15303	ENSG00000113262.16
O15304	ENSG00000184990.14
O15305	ENSG00000140650.14
O15315	ENSG00000182185.19
O15318	ENSG00000113356.14
O15321	ENSG00000100926.16
O15321	ENSG00000285465.2
O15327	ENSG00000109452.15
O15335	ENSG00000136457.11
O15342	ENSG00000113732.10
O15344	ENSG00000101871.18
O15347	ENSG00000029993.16
O15350	ENSG00000078900.17
O15353	ENSG00000109101.8
O15354	ENSG00000170775.3
O15355	ENSG00000115241.12
O15357	ENSG00000165458.16
O15360	ENSG00000187741.17
O15370	ENSG00000177732.9
O15371	ENSG00000100353.19
O15372	ENSG00000147677.13
O15374	ENSG00000168679.19
O15375	ENSG00000170190.17
O15379	ENSG00000171720.11
O15381	ENSG00000143748.19
O15382	ENSG00000105552.16
O15389	ENSG00000268500.9
O15391	ENSG00000230797.3
O15392	ENSG00000089685.16
O15393	ENSG00000184012.15
O15394	ENSG00000154654.15
O15397	ENSG00000133704.11
O15399	ENSG00000105464.5
O15400	ENSG00000079950.15
O15403	ENSG00000108932.14
O15405	ENSG00000103460.18
O15409	ENSG00000128573.29
O15417	ENSG00000182095.15
O15427	ENSG00000141526.19
O15431	ENSG00000136868.12
O15432	ENSG00000136867.11
O15438	ENSG00000108846.17
O15439	ENSG00000125257.17
O15440	ENSG00000114770.18
O15442	ENSG00000186732.15
O15444	ENSG00000131142.15
O15446	ENSG00000117877.11
O15455	ENSG00000164342.15
O15457	ENSG00000057468.7
O15460	ENSG00000072682.21
O15466	ENSG00000101638.15
O15467	ENSG00000275152.6
O15467	ENSG00000275095.2
O15479	ENSG00000099399.6
O15480	ENSG00000198798.6
O15481	ENSG00000120289.12
O15482	ENSG00000278057.4
O15484	ENSG00000149260.19
O15488	ENSG00000056998.22
O15492	ENSG00000143333.8
O15496	ENSG00000069764.10
O15496	ENSG00000276870.2
O15498	ENSG00000106636.10
O15499	ENSG00000063515.3
O15503	ENSG00000186480.14
O15504	ENSG00000136243.19
O15511	ENSG00000162704.16
O15514	ENSG00000144231.12
O15516	ENSG00000134852.16
O15519	ENSG00000003402.22
O15520	ENSG00000070193.6
O15522	ENSG00000136327.7
O15523	ENSG00000067048.18
O15524	ENSG00000185338.8
O15525	ENSG00000197063.12
O15527	ENSG00000114026.22
O15528	ENSG00000111012.12
O15529	ENSG00000126251.7
O15530	ENSG00000140992.21
O15533	ENSG00000112493.12
O15533	ENSG00000206208.11
O15533	ENSG00000206281.11
O15533	ENSG00000236490.9
O15533	ENSG00000231925.15
O15534	ENSG00000179094.18
O15535	ENSG00000137185.14
O15537	ENSG00000102104.9
O15539	ENSG00000143248.14
O15540	ENSG00000164434.12
O15541	ENSG00000125352.6
O15547	ENSG00000099957.18
O15550	ENSG00000147050.19
O15551	ENSG00000165215.6
O15552	ENSG00000126262.5
O15553	ENSG00000103313.15
O15554	ENSG00000104783.16
O43143	ENSG00000109606.14
O43147	ENSG00000141258.14
O43148	ENSG00000101654.19
O43149	ENSG00000074755.16
O43150	ENSG00000151693.12
O43151	ENSG00000187605.17
O43155	ENSG00000185070.13
O43156	ENSG00000101407.14
O43157	ENSG00000164050.14
O43159	ENSG00000132275.12
O43164	ENSG00000198961.12
O43166	ENSG00000197555.11
O43167	ENSG00000112365.7
O43169	ENSG00000103018.19
O43172	ENSG00000136875.14
O43173	ENSG00000177511.6
O43174	ENSG00000095596.12
O43175	ENSG00000092621.14
O43181	ENSG00000164258.13
O43182	ENSG00000047648.23
O43184	ENSG00000148848.15
O43186	ENSG00000105392.17
O43187	ENSG00000134070.6
O43189	ENSG00000112511.19
O43189	ENSG00000225553.7
O43193	ENSG00000102539.6
O43194	ENSG00000183840.8
O43196	ENSG00000204410.16
O43196	ENSG00000230961.10
O43196	ENSG00000235222.12
O43196	ENSG00000230293.11
O43196	ENSG00000227314.12
O43196	ENSG00000266442.5
O43196	ENSG00000254405.10
O43196	ENSG00000255152.8
O43196	ENSG00000266027.8
O43236	ENSG00000108387.16
O43237	ENSG00000135720.14
O43240	ENSG00000129451.13
O43242	ENSG00000108344.16
O43246	ENSG00000099960.14
O43247	ENSG00000185264.12
O43248	ENSG00000123388.4
O43251	ENSG00000100320.25
O43251	ENSG00000277564.4
O43252	ENSG00000138801.10
O43255	ENSG00000181788.5
O43257	ENSG00000106400.13
O43264	ENSG00000086827.10
O43272	ENSG00000100033.18
O43278	ENSG00000166145.16
O43280	ENSG00000118094.13
O43281	ENSG00000100842.14
O43283	ENSG00000073803.15
O43286	ENSG00000158470.6
O43290	ENSG00000175467.16
O43291	ENSG00000167642.14
O43292	ENSG00000197858.13
O43293	ENSG00000167657.15
O43294	ENSG00000140682.20
O43295	ENSG00000196220.17
O43296	ENSG00000083844.11
O43298	ENSG00000169155.11
O43299	ENSG00000242802.10
O43300	ENSG00000146006.8
O43301	ENSG00000165868.16
O43303	ENSG00000103540.18
O43304	ENSG00000103184.13
O43306	ENSG00000174233.13
O43307	ENSG00000131089.18
O43309	ENSG00000158691.17
O43310	ENSG00000134030.15
O43310	ENSG00000282825.2
O43312	ENSG00000170873.20
O43313	ENSG00000166454.11
O43313	ENSG00000291953.1
O43314	ENSG00000145725.22
O43315	ENSG00000103569.12
O43316	ENSG00000106331.20
O43318	ENSG00000135341.20
O43320	ENSG00000196468.8
O43323	ENSG00000139549.4
O43324	ENSG00000124802.13
O43325	ENSG00000102897.11
O43345	ENSG00000160321.16
O43347	ENSG00000135097.8
O43353	ENSG00000104312.9
O43361	ENSG00000186230.7
O43364	ENSG00000105996.7
O43365	ENSG00000105997.24
O43374	ENSG00000105808.20
O43379	ENSG00000075702.19
O43390	ENSG00000125944.23
O43390	ENSG00000282958.5
O43395	ENSG00000117360.14
O43396	ENSG00000091164.14
O43399	ENSG00000101150.19
O43402	ENSG00000131148.10
O43405	ENSG00000100473.19
O43414	ENSG00000117419.17
O43422	ENSG00000137492.10
O43424	ENSG00000152208.13
O43426	ENSG00000159082.19
O43427	ENSG00000172500.14
O43432	ENSG00000075151.24
O43435	ENSG00000184058.16
O43439	ENSG00000078699.22
O43447	ENSG00000171960.13
O43448	ENSG00000170049.11
O43451	ENSG00000257335.8
O43462	ENSG00000012174.13
O43463	ENSG00000101945.18
O43464	ENSG00000115317.14
O43474	ENSG00000136826.16
O43482	ENSG00000104147.10
O43488	ENSG00000053371.14
O43490	ENSG00000007062.13
O43491	ENSG00000079819.21
O43493	ENSG00000152291.16
O43493	ENSG00000292253.1
O43497	ENSG00000006283.18
O43502	ENSG00000108384.17
O43504	ENSG00000134248.15
O43505	ENSG00000174684.8
O43506	ENSG00000134007.5
O43508	ENSG00000239697.13
O43508	ENSG00000248871.1
O43511	ENSG00000091137.15
O43513	ENSG00000155868.9
O43516	ENSG00000115935.20
O43520	ENSG00000081923.16
O43521	ENSG00000153094.26
O43524	ENSG00000118689.16
O43525	ENSG00000184156.18
O43526	ENSG00000075043.22
O43529	ENSG00000115526.12
O43541	ENSG00000137834.16
O43542	ENSG00000126215.15
O43543	ENSG00000196584.4
O43548	ENSG00000104055.17
O43555	ENSG00000125787.12
O43556	ENSG00000127990.20
O43557	ENSG00000125735.13
O43559	ENSG00000137218.11
O43561	ENSG00000213658.14
O43566	ENSG00000169220.19
O43567	ENSG00000082996.21
O43570	ENSG00000074410.15
O43572	ENSG00000108599.16
O43581	ENSG00000011347.11
O43583	ENSG00000139726.12
O43586	ENSG00000140368.15
O43592	ENSG00000184575.13
O43593	ENSG00000168453.17
O43597	ENSG00000136158.13
O43598	ENSG00000112667.14
O43602	ENSG00000077279.22
O43603	ENSG00000182687.4
O43609	ENSG00000164056.12
O43610	ENSG00000168939.14
O43612	ENSG00000161610.1
O43613	ENSG00000121764.13
O43614	ENSG00000137252.10
O43615	ENSG00000104980.9
O43617	ENSG00000054116.13
O43623	ENSG00000019549.13
O43633	ENSG00000130724.11
O43638	ENSG00000179772.8
O43639	ENSG00000071051.15
O43653	ENSG00000167653.6
O43657	ENSG00000000003.17
O43660	ENSG00000171566.13
O43663	ENSG00000198901.15
O43665	ENSG00000148908.16
O43670	ENSG00000010244.20
O43674	ENSG00000136521.14
O43676	ENSG00000119013.11
O43677	ENSG00000109390.14
O43678	ENSG00000131495.9
O43679	ENSG00000169744.14
O43680	ENSG00000118526.8
O43681	ENSG00000198356.13
O43683	ENSG00000169679.16
O43684	ENSG00000154473.19
O43688	ENSG00000141934.11
O43692	ENSG00000137558.9
O43699	ENSG00000105492.16
O43704	ENSG00000173597.10
O43707	ENSG00000130402.15
O43707	ENSG00000282844.2
O43708	ENSG00000100577.20
O43709	ENSG00000071462.14
O43711	ENSG00000164438.6
O43715	ENSG00000170855.5
O43716	ENSG00000257218.7
O43719	ENSG00000102241.13
O43731	ENSG00000100196.12
O43734	ENSG00000056972.22
O43736	ENSG00000078596.12
O43739	ENSG00000008256.18
O43741	ENSG00000131791.9
O43745	ENSG00000166869.4
O43747	ENSG00000166747.14
O43749	ENSG00000168124.4
O43752	ENSG00000135823.14
O43759	ENSG00000100321.16
O43760	ENSG00000108639.9
O43761	ENSG00000127561.17
O43761	ENSG00000291941.1
O43763	ENSG00000115297.11
O43765	ENSG00000104969.12
O43766	ENSG00000121897.16
O43768	ENSG00000143420.20
O43772	ENSG00000178537.11
O43776	ENSG00000134440.13
O43781	ENSG00000143479.18
O43790	ENSG00000170442.13
O43791	ENSG00000121067.20
O43795	ENSG00000128641.20
O43805	ENSG00000176101.13
O43808	ENSG00000100372.16
O43809	ENSG00000167005.15
O43813	ENSG00000115365.14
O43815	ENSG00000115808.14
O43818	ENSG00000114767.8
O43819	ENSG00000284194.4
O43820	ENSG00000186792.18
O43822	ENSG00000160226.16
O43823	ENSG00000105127.11
O43824	ENSG00000178605.16
O43824	ENSG00000292358.3
O43825	ENSG00000162630.7
O43826	ENSG00000281500.5
O43827	ENSG00000171819.5
O43829	ENSG00000198081.12
O43837	ENSG00000101365.23
O43847	ENSG00000078618.24
O43852	ENSG00000128595.18
O43854	ENSG00000164176.14
O43861	ENSG00000166377.22
O43865	ENSG00000168710.19
O43866	ENSG00000073754.6
O43868	ENSG00000137860.13
O43869	ENSG00000273508.1
O43869	ENSG00000275244.1
O43889	ENSG00000107175.13
O43895	ENSG00000122121.13
O43896	ENSG00000129250.13
O43897	ENSG00000038295.8
O43900	ENSG00000012211.14
O43903	ENSG00000148935.13
O43908	ENSG00000183542.7
O43909	ENSG00000012232.11
O43913	ENSG00000164815.12
O43914	ENSG00000011600.13
O43915	ENSG00000165197.6
O43916	ENSG00000175264.9
O43918	ENSG00000160224.18
O43920	ENSG00000168653.12
O43921	ENSG00000099617.4
O43924	ENSG00000156973.15
O43927	ENSG00000156234.8
O43929	ENSG00000115947.15
O43933	ENSG00000127980.17
O43934	ENSG00000092931.13
O60216	ENSG00000164754.17
O60218	ENSG00000198074.11
O60220	ENSG00000126953.9
O60224	ENSG00000269791.6
O60224	ENSG00000268009.6
O60225	ENSG00000165583.16
O60229	ENSG00000160145.16
O60231	ENSG00000204560.11
O60231	ENSG00000206486.8
O60231	ENSG00000233561.6
O60231	ENSG00000226171.6
O60231	ENSG00000233418.8
O60231	ENSG00000233049.6
O60231	ENSG00000231377.6
O60232	ENSG00000173465.9
O60234	ENSG00000130755.14
O60234	ENSG00000291873.1
O60235	ENSG00000153802.12
O60237	ENSG00000077157.24
O60238	ENSG00000104765.17
O60239	ENSG00000131370.17
O60240	ENSG00000166819.13
O60241	ENSG00000121753.13
O60242	ENSG00000135298.15
O60243	ENSG00000136720.7
O60244	ENSG00000180182.12
O60245	ENSG00000169851.17
O60248	ENSG00000129194.8
O60256	ENSG00000141127.16
O60258	ENSG00000158815.11
O60259	ENSG00000129455.17
O60260	ENSG00000185345.25
O60262	ENSG00000176533.14
O60264	ENSG00000153147.7
O60266	ENSG00000138031.16
O60268	ENSG00000135709.15
O60269	ENSG00000204175.7
O60271	ENSG00000008294.23
O60279	ENSG00000173705.9
O60281	ENSG00000188994.15
O60282	ENSG00000168280.18
O60284	ENSG00000147488.14
O60285	ENSG00000074590.14
O60287	ENSG00000142207.8
O60290	ENSG00000106479.11
O60291	ENSG00000102858.14
O60292	ENSG00000105738.12
O60293	ENSG00000133858.17
O60294	ENSG00000168806.8
O60296	ENSG00000115993.14
O60299	ENSG00000088899.17
O60303	ENSG00000047578.15
O60304	ENSG00000103199.15
O60306	ENSG00000021776.12
O60307	ENSG00000099308.14
O60308	ENSG00000116198.15
O60309	ENSG00000176809.11
O60312	ENSG00000206190.13
O60313	ENSG00000198836.12
O60315	ENSG00000169554.24
