From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Reviewed
ENSG00000101290	O95674	CDS2_HUMAN	Phosphatidate cytidylyltransferase 2 (EC 2.7.7.41) (CDP-DAG synthase 2) (CDP-DG synthase 2) (CDP-diacylglycerol synthase 2) (CDS 2) (CDP-diglyceride pyrophosphorylase 2) (CDP-diglyceride synthase 2) (CTP:phosphatidate cytidylyltransferase 2)	CDS2	Homo sapiens (Human)	445	reviewed
ENSG00000101346	Q9H488	OFUT1_HUMAN	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)	POFUT1 FUT12 KIAA0180	Homo sapiens (Human)	388	reviewed
ENSG00000101365	O43837	IDH3B_HUMAN	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)	IDH3B	Homo sapiens (Human)	385	reviewed
ENSG00000101367	Q15691	MARE1_HUMAN	Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)	MAPRE1	Homo sapiens (Human)	268	reviewed
ENSG00000101421	Q9H444	CHM4B_HUMAN	Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b) (SNF7 homolog associated with Alix 1) (SNF7-2) (hSnf7-2) (Vacuolar protein sorting-associated protein 32-2) (Vps32-2) (hVps32-2)	CHMP4B C20orf178 SHAX1	Homo sapiens (Human)	224	reviewed
ENSG00000101439	P01034	CYTC_HUMAN	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	CST3	Homo sapiens (Human)	146	reviewed
ENSG00000101444	P23526	SAHH_HUMAN	Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY SAHH	Homo sapiens (Human)	432	reviewed
ENSG00000101457	Q9H147	TDIF1_HUMAN	Deoxynucleotidyltransferase terminal-interacting protein 1 (Terminal deoxynucleotidyltransferase-interacting factor 1) (TdIF1) (TdT-interacting factor 1)	DNTTIP1 C20orf167 TDIF1	Homo sapiens (Human)	329	reviewed
ENSG00000101557	P54578	UBP14_HUMAN	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	USP14 TGT	Homo sapiens (Human)	494	reviewed
ENSG00000101558	Q9P0L0	VAPA_HUMAN	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)	VAPA VAP33	Homo sapiens (Human)	249	reviewed
ENSG00000101608	P19105	ML12A_HUMAN	Myosin regulatory light chain 12A (Epididymis secretory protein Li 24) (HEL-S-24) (MLC-2B) (Myosin RLC) (Myosin regulatory light chain 2, nonsarcomeric) (Myosin regulatory light chain MRLC3)	MYL12A MLCB MRLC3 RLC	Homo sapiens (Human)	171	reviewed
ENSG00000101843	O75832	PSD10_HUMAN	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))	PSMD10	Homo sapiens (Human)	226	reviewed
ENSG00000101856	O00264	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	PGRMC1 HPR6.6 PGRMC	Homo sapiens (Human)	195	reviewed
ENSG00000101940	Q9H1Z4	WDR13_HUMAN	WD repeat-containing protein 13	WDR13	Homo sapiens (Human)	485	reviewed
ENSG00000101997	O60826	CCD22_HUMAN	Coiled-coil domain-containing protein 22	CCDC22 CXorf37 JM1	Homo sapiens (Human)	627	reviewed
ENSG00000102119	P50402	EMD_HUMAN	Emerin	EMD EDMD STA	Homo sapiens (Human)	254	reviewed
ENSG00000102158	Q9H0U3	MAGT1_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1 (Oligosaccharyl transferase subunit MAGT1) (Implantation-associated protein) (IAP) (Magnesium transporter protein 1) (MagT1)	MAGT1 IAG2 PSEC0084 UNQ628/PRO1244	Homo sapiens (Human)	335	reviewed
ENSG00000102178	P11441	UBL4A_HUMAN	Ubiquitin-like protein 4A (Ubiquitin-like protein GDX)	UBL4A DXS254E GDX UBL4	Homo sapiens (Human)	157	reviewed
ENSG00000102226	P51784	UBP11_HUMAN	Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)	USP11 UHX1	Homo sapiens (Human)	963	reviewed
ENSG00000102241	O43719	HTSF1_HUMAN	17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1) (Tat-SF1)	HTATSF1	Homo sapiens (Human)	755	reviewed
ENSG00000102309	Q9Y237	PIN4_HUMAN	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (EC 5.2.1.8) (Parvulin-14) (Par14) (hPar14) (Parvulin-17) (Par17) (hPar17) (Peptidyl-prolyl cis-trans isomerase Pin4) (PPIase Pin4) (Peptidyl-prolyl cis/trans isomerase EPVH) (hEPVH) (Rotamase Pin4)	PIN4	Homo sapiens (Human)	131	reviewed
ENSG00000102316	Q9UNF1	MAGD2_HUMAN	Melanoma-associated antigen D2 (11B6) (Breast cancer-associated gene 1 protein) (BCG-1) (Hepatocellular carcinoma-associated protein JCL-1) (MAGE-D2 antigen)	MAGED2 BCG1	Homo sapiens (Human)	606	reviewed
ENSG00000102390	Q9BVG4	PBDC1_HUMAN	Protein PBDC1 (Polysaccharide biosynthesis domain-containing protein 1)	PBDC1 CXorf26	Homo sapiens (Human)	233	reviewed
ENSG00000102401	Q9UH62	ARMX3_HUMAN	Armadillo repeat-containing X-linked protein 3 (ARM protein lost in epithelial cancers on chromosome X 3) (Protein ALEX3)	ARMCX3 ALEX3 BM-017 UNQ2517/PRO6007	Homo sapiens (Human)	379	reviewed
ENSG00000102572	Q9Y6E0	STK24_HUMAN	Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]	STK24 MST3 STK3	Homo sapiens (Human)	443	reviewed
ENSG00000102580	Q13217	DNJC3_HUMAN	DnaJ homolog subfamily C member 3 (Endoplasmic reticulum DNA J domain-containing protein 6) (ER-resident protein ERdj6) (ERdj6) (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)	DNAJC3 P58IPK PRKRI	Homo sapiens (Human)	504	reviewed
ENSG00000102753	O00505	IMA4_HUMAN	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	KPNA3 QIP2	Homo sapiens (Human)	521	reviewed
ENSG00000102805	O75503	CLN5_HUMAN	Bis(monoacylglycero)phosphate synthase CLN5 (BMP synthase CLN5) (EC 2.3.1.-) (Ceroid-lipofuscinosis neuronal protein 5) (Protein CLN5) (Palmitoyl protein thioesterase CLN5) (EC 3.1.2.22) (S-depalmitoylase CLN5) [Cleaved into: Bis(monoacylglycero)phosphate synthase CLN5, secreted form]	CLN5 BMPS	Homo sapiens (Human)	358	reviewed
ENSG00000102858	O60291	MGRN1_HUMAN	E3 ubiquitin-protein ligase MGRN1 (EC 2.3.2.27) (Mahogunin RING finger protein 1) (RING finger protein 156) (RING-type E3 ubiquitin transferase MGRN1)	MGRN1 KIAA0544 RNF156	Homo sapiens (Human)	552	reviewed
ENSG00000102882	P27361	MK03_HUMAN	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3	Homo sapiens (Human)	379	reviewed
ENSG00000102898	P61970	NTF2_HUMAN	Nuclear transport factor 2 (NTF-2) (Placental protein 15) (PP15)	NUTF2 NTF2	Homo sapiens (Human)	127	reviewed
ENSG00000102910	Q86WA8	LONP2_HUMAN	Lon protease homolog 2, peroxisomal (EC 3.4.21.53) (Lon protease-like protein 2) (Lon protease 2) (Peroxisomal Lon protease) (pLon)	LONP2 LONP	Homo sapiens (Human)	852	reviewed
ENSG00000102921	O75113	N4BP1_HUMAN	NEDD4-binding protein 1 (N4BP1) (EC 3.1.-.-)	N4BP1 KIAA0615	Homo sapiens (Human)	896	reviewed
ENSG00000102931	Q9Y2Y0	AR2BP_HUMAN	ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (ARL2-binding protein) (Binder of ARF2 protein 1)	ARL2BP BART BART1	Homo sapiens (Human)	163	reviewed
ENSG00000102978	P19387	RPB3_HUMAN	DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (DNA-directed RNA polymerase II 33 kDa polypeptide) (RPB33) (DNA-directed RNA polymerase II subunit C) (RPB31)	POLR2C A-152E5.7	Homo sapiens (Human)	275	reviewed
ENSG00000103005	Q9BQ65	USB1_HUMAN	U6 snRNA phosphodiesterase 1 (hUsb1) (3'-5' RNA exonuclease USB1) (EC 4.6.1.-) (Mutated in poikiloderma with neutropenia protein 1) (Mutated in PN protein 1) (hMpn1)	USB1 C16orf57 Mpn1	Homo sapiens (Human)	265	reviewed
ENSG00000103018	O43169	CYB5B_HUMAN	Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform)	CYB5B CYB5M OMB5	Homo sapiens (Human)	150	reviewed
ENSG00000103035	P51665	PSMD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	PSMD7 MOV34L	Homo sapiens (Human)	324	reviewed
ENSG00000103066	Q8NCC3	PAG15_HUMAN	Lysosomal phospholipase A and acyltransferase (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (EC 3.1.1.5) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2) (Phospholipase A2 group XV) (PLA2G15)	PLA2G15 LYPLA3 UNQ341/PRO540	Homo sapiens (Human)	412	reviewed
ENSG00000103091	Q6PJI9	WDR59_HUMAN	GATOR2 complex protein WDR59 (WD repeat-containing protein 59)	WDR59 KIAA1923 FP977	Homo sapiens (Human)	974	reviewed
ENSG00000103266	Q9UNE7	CHIP_HUMAN	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	Homo sapiens (Human)	303	reviewed
ENSG00000103274	P53384	NUBP1_HUMAN	Cytosolic Fe-S cluster assembly factor NUBP1 (Nucleotide-binding protein 1) (NBP 1)	NUBP1 NBP NBP1	Homo sapiens (Human)	320	reviewed
ENSG00000103275	P63279	UBC9_HUMAN	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)	UBE2I UBC9 UBCE9	Homo sapiens (Human)	158	reviewed
ENSG00000103342	P15170	ERF3A_HUMAN	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Eukaryotic peptide chain release factor subunit 3a) (eRF3a) (EC 3.6.5.-) (G1 to S phase transition protein 1 homolog)	GSPT1 ERF3A	Homo sapiens (Human)	499	reviewed
ENSG00000103353	O14562	UBFD1_HUMAN	Ubiquitin domain-containing protein UBFD1 (Ubiquitin-binding protein homolog)	UBFD1 UBPH	Homo sapiens (Human)	309	reviewed
ENSG00000103363	Q15370	ELOB_HUMAN	Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2)	ELOB TCEB2	Homo sapiens (Human)	118	reviewed
ENSG00000103365	Q9UJY4	GGA2_HUMAN	ADP-ribosylation factor-binding protein GGA2 (Gamma-adaptin-related protein 2) (Golgi-localized, gamma ear-containing, ARF-binding protein 2) (VHS domain and ear domain of gamma-adaptin) (Vear)	GGA2 KIAA1080	Homo sapiens (Human)	613	reviewed
ENSG00000103423	Q96EY1	DNJA3_HUMAN	DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (hTid-1) (Hepatocellular carcinoma-associated antigen 57) (Tumorous imaginal discs protein Tid56 homolog)	DNAJA3 HCA57 TID1	Homo sapiens (Human)	480	reviewed
ENSG00000103429	Q9NZS9	BFAR_HUMAN	Bifunctional apoptosis regulator (EC 2.3.2.27) (RING finger protein 47)	BFAR BAR RNF47	Homo sapiens (Human)	450	reviewed
ENSG00000103495	P56270	MAZ_HUMAN	Myc-associated zinc finger protein (MAZI) (Pur-1) (Purine-binding transcription factor) (Serum amyloid A-activating factor-1) (SAF-1) (Transcription factor Zif87) (ZF87) (Zinc finger protein 801)	MAZ ZNF801	Homo sapiens (Human)	477	reviewed
ENSG00000103496	Q12846	STX4_HUMAN	Syntaxin-4 (Renal carcinoma antigen NY-REN-31)	STX4 STX4A	Homo sapiens (Human)	297	reviewed
ENSG00000103502	O14735	CDIPT_HUMAN	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	CDIPT PIS PIS1	Homo sapiens (Human)	213	reviewed
ENSG00000103507	O14874	BCKD_HUMAN	Branched-chain alpha-ketoacid dehydrogenase kinase (BCKDH kinase) (BCKDHKIN) (BDK) (EC 2.7.11.1) ([3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial) (EC 2.7.11.4)	BCKDK	Homo sapiens (Human)	412	reviewed
ENSG00000103510	Q9H7Z6	KAT8_HUMAN	Histone acetyltransferase KAT8 (EC 2.3.1.48) (Lysine acetyltransferase 8) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 1) (MYST-1) (Males-absent on the first protein homolog) (hMOF) (Protein acetyltransferase KAT8) (EC 2.3.1.-) (Protein propionyltransferase KAT8) (EC 2.3.1.-)	KAT8 MOF MYST1 PP7073	Homo sapiens (Human)	458	reviewed
ENSG00000103512	Q15155	NOMO1_HUMAN	BOS complex subunit NOMO1 (Nodal modulator 1) (pM5 protein)	NOMO1 PM5	Homo sapiens (Human)	1222	reviewed
ENSG00000103671	Q15650	TRIP4_HUMAN	Activating signal cointegrator 1 (ASC-1) (Thyroid receptor-interacting protein 4) (TR-interacting protein 4) (TRIP-4)	TRIP4 RQT4	Homo sapiens (Human)	581	reviewed
ENSG00000103769	P62491	RB11A_HUMAN	Ras-related protein Rab-11A (Rab-11) (EC 3.6.5.2) (YL8)	RAB11A RAB11	Homo sapiens (Human)	216	reviewed
ENSG00000103978	Q8NBN3	TM87A_HUMAN	Transmembrane protein 87A (Elkin1)	TMEM87A PSEC0094	Homo sapiens (Human)	555	reviewed
ENSG00000104131	O75822	EIF3J_HUMAN	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35)	EIF3J EIF3S1 PRO0391	Homo sapiens (Human)	258	reviewed
ENSG00000104133	Q96JI7	SPTCS_HUMAN	Spatacsin (Colorectal carcinoma-associated protein) (Spastic paraplegia 11 protein)	SPG11 KIAA1840	Homo sapiens (Human)	2443	reviewed
ENSG00000104221	Q9HAW0	BRF2_HUMAN	Transcription factor IIIB 50 kDa subunit (TFIIIB50) (hTFIIIB50) (B-related factor 2) (BRF-2) (hBRFU)	BRF2 BRFU PRO1470	Homo sapiens (Human)	419	reviewed
ENSG00000104331	Q9NX62	IMPA3_HUMAN	Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase (Golgi-resident PAP phosphatase) (gPAPP) (EC 3.1.3.7) (3'(2'), 5'-bisphosphate nucleotidase 2) (Inositol monophosphatase domain-containing protein 1) (Myo-inositol monophosphatase A3) (Phosphoadenosine phosphate 3'-nucleotidase)	BPNT2 IMPA3 IMPAD1	Homo sapiens (Human)	359	reviewed
ENSG00000104388	P61019	RAB2A_HUMAN	Ras-related protein Rab-2A (EC 3.6.5.2)	RAB2A RAB2	Homo sapiens (Human)	212	reviewed
ENSG00000104408	P60228	EIF3E_HUMAN	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48)	EIF3E EIF3S6 INT6	Homo sapiens (Human)	445	reviewed
ENSG00000104412	Q15006	EMC2_HUMAN	ER membrane protein complex subunit 2 (Tetratricopeptide repeat protein 35) (TPR repeat protein 35)	EMC2 KIAA0103 TTC35	Homo sapiens (Human)	297	reviewed
ENSG00000104442	Q9NVT9	ARMC1_HUMAN	Armadillo repeat-containing protein 1	ARMC1 ARCP	Homo sapiens (Human)	282	reviewed
ENSG00000104522	Q13630	FCL_HUMAN	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)	GFUS SDR4E1 TSTA3	Homo sapiens (Human)	321	reviewed
ENSG00000104529	P29692	EF1D_HUMAN	Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)	EEF1D EF1D	Homo sapiens (Human)	281	reviewed
ENSG00000104613	Q9NVR2	INT10_HUMAN	Integrator complex subunit 10 (Int10)	INTS10 C8orf35	Homo sapiens (Human)	710	reviewed
ENSG00000104671	O00399	DCTN6_HUMAN	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	DCTN6 WS3	Homo sapiens (Human)	190	reviewed
ENSG00000104679	Q9Y3T6	R3HC1_HUMAN	R3H and coiled-coil domain-containing protein 1	R3HCC1	Homo sapiens (Human)	440	reviewed
ENSG00000104695	P62714	PP2AB_HUMAN	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform (PP2A-beta) (EC 3.1.3.16)	PPP2CB	Homo sapiens (Human)	309	reviewed
ENSG00000104756	Q7L273	KCTD9_HUMAN	BTB/POZ domain-containing protein KCTD9	KCTD9	Homo sapiens (Human)	389	reviewed
ENSG00000104765	O60238	BNI3L_HUMAN	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Adenovirus E1B19K-binding protein B5) (BCL2/adenovirus E1B 19 kDa protein-interacting protein 3A) (NIP3-like protein X) (NIP3L)	BNIP3L BNIP3A BNIP3H NIX	Homo sapiens (Human)	219	reviewed
ENSG00000104823	Q13011	ECH1_HUMAN	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.21)	ECH1	Homo sapiens (Human)	328	reviewed
ENSG00000104852	P08621	RU17_HUMAN	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1	Homo sapiens (Human)	437	reviewed
ENSG00000104853	O96005	CLPT1_HUMAN	Putative lipid scramblase CLPTM1 (Cleft lip and palate transmembrane protein 1)	CLPTM1	Homo sapiens (Human)	669	reviewed
ENSG00000104866	O75864	PPR37_HUMAN	Protein phosphatase 1 regulatory subunit 37 (Leucine-rich repeat-containing protein 68)	PPP1R37 KIAA1986 LRRC68	Homo sapiens (Human)	691	reviewed
ENSG00000104897	Q15428	SF3A2_HUMAN	Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62)	SF3A2 SAP62	Homo sapiens (Human)	464	reviewed
ENSG00000104964	Q08117	TLE5_HUMAN	TLE family member 5 (Amino-terminal enhancer of split) (Amino enhancer of split) (Gp130-associated protein GAM) (Grg-5) (Groucho-related protein 5) (Protein ESP1) (Protein GRG) (TLE family member 5, transcriptional modulator)	TLE5 AES GRG GRG5	Homo sapiens (Human)	197	reviewed
ENSG00000104969	O43765	SGTA_HUMAN	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP)	SGTA SGT SGT1	Homo sapiens (Human)	313	reviewed
ENSG00000104973	Q71SY5	MED25_HUMAN	Mediator of RNA polymerase II transcription subunit 25 (Activator interaction domain-containing protein 1) (Activator-recruited cofactor 92 kDa component) (ARC92) (Mediator complex subunit 25) (p78)	MED25 ACID1 ARC92 PTOV2 TCBAP0758	Homo sapiens (Human)	747	reviewed
ENSG00000104979	Q9UNZ5	L10K_HUMAN	Leydig cell tumor 10 kDa protein homolog	C19orf53 HSPC023	Homo sapiens (Human)	99	reviewed
ENSG00000105058	Q9Y421	FA32A_HUMAN	Protein FAM32A (Ovarian tumor-associated gene 12) (OTAG-12)	FAM32A OTAG12 CGI-144	Homo sapiens (Human)	112	reviewed
ENSG00000105063	Q9UPN7	PP6R1_HUMAN	Serine/threonine-protein phosphatase 6 regulatory subunit 1 (SAPS domain family member 1)	PPP6R1 KIAA1115 PP6R1 SAPS1	Homo sapiens (Human)	881	reviewed
ENSG00000105185	O14737	PDCD5_HUMAN	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	PDCD5 TFAR19	Homo sapiens (Human)	125	reviewed
ENSG00000105193	P62249	RS16_HUMAN	Small ribosomal subunit protein uS9 (40S ribosomal protein S16)	RPS16	Homo sapiens (Human)	146	reviewed
ENSG00000105202	P22087	FBRL_HUMAN	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)	FBL FIB1 FLRN	Homo sapiens (Human)	321	reviewed
ENSG00000105220	P06744	G6PI_HUMAN	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase) (EC 5.1.3.-) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)	GPI	Homo sapiens (Human)	558	reviewed
ENSG00000105221	P31751	AKT2_HUMAN	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC protein kinase beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)	481	reviewed
ENSG00000105223	Q8IV08	PLD3_HUMAN	5'-3' exonuclease PLD3 (EC 3.1.16.1) ((S,S)-bis(monoacylglycero)phosphate synthase PLD3) (EC 3.1.4.-) (HindIII K4L homolog) (Hu-K4) (Phospholipase D3)	PLD3	Homo sapiens (Human)	490	reviewed
ENSG00000105229	Q8N2W9	PIAS4_HUMAN	E3 SUMO-protein ligase PIAS4 (EC 2.3.2.27) (PIASy) (Protein inhibitor of activated STAT protein 4) (Protein inhibitor of activated STAT protein gamma) (PIAS-gamma)	PIAS4 PIASG	Homo sapiens (Human)	510	reviewed
ENSG00000105248	Q9BW85	YJU2_HUMAN	Splicing factor YJU2 (Coiled-coil domain-containing protein 94)	YJU2 CCDC94	Homo sapiens (Human)	323	reviewed
ENSG00000105254	Q99426	TBCB_HUMAN	Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)	TBCB CG22 CKAP1	Homo sapiens (Human)	244	reviewed
ENSG00000105258	P36954	RPB9_HUMAN	DNA-directed RNA polymerase II subunit RPB9 (RNA polymerase II subunit B9) (DNA-directed RNA polymerase II subunit I) (RNA polymerase II 14.5 kDa subunit) (RPB14.5)	POLR2I	Homo sapiens (Human)	125	reviewed
ENSG00000105298	Q8WUQ7	CATIN_HUMAN	Splicing factor Cactin (Renal carcinoma antigen NY-REN-24)	CACTIN C19orf29	Homo sapiens (Human)	758	reviewed
ENSG00000105321	Q9Y3X0	CCDC9_HUMAN	Coiled-coil domain-containing protein 9	CCDC9	Homo sapiens (Human)	531	reviewed
ENSG00000105323	Q9BUJ2	HNRL1_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5)	HNRNPUL1 E1BAP5 HNRPUL1	Homo sapiens (Human)	856	reviewed
ENSG00000105325	Q9UM11	FZR1_HUMAN	Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1)	FZR1 CDH1 FYR FZR KIAA1242	Homo sapiens (Human)	496	reviewed
ENSG00000105372	P39019	RS19_HUMAN	Small ribosomal subunit protein eS19 (40S ribosomal protein S19)	RPS19	Homo sapiens (Human)	145	reviewed
ENSG00000105373	Q9NZM5	NOP53_HUMAN	Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60)	NOP53 GLT GLTSCR2 PICT1	Homo sapiens (Human)	478	reviewed
ENSG00000105379	P38117	ETFB_HUMAN	Electron transfer flavoprotein subunit beta (Beta-ETF)	ETFB FP585	Homo sapiens (Human)	255	reviewed
ENSG00000105401	Q16543	CDC37_HUMAN	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	CDC37 CDC37A	Homo sapiens (Human)	378	reviewed
ENSG00000105402	P54920	SNAA_HUMAN	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha)	NAPA SNAPA	Homo sapiens (Human)	295	reviewed
ENSG00000105404	Q9UI14	PRAF1_HUMAN	Prenylated Rab acceptor protein 1 (PRA1 family protein 1)	RABAC1 PRA1 PRAF1	Homo sapiens (Human)	185	reviewed
ENSG00000105438	P24390	ERD21_HUMAN	ER lumen protein-retaining receptor 1 (KDEL endoplasmic reticulum protein retention receptor 1) (KDEL receptor 1) (Putative MAPK-activating protein PM23)	KDELR1 ERD2.1	Homo sapiens (Human)	212	reviewed
ENSG00000105518	Q6UW68	TM205_HUMAN	Transmembrane protein 205	TMEM205 UNQ501/PRO1018	Homo sapiens (Human)	189	reviewed
ENSG00000105568	P30153	2AAA_HUMAN	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2Aa) (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	PPP2R1A	Homo sapiens (Human)	589	reviewed
ENSG00000105583	Q9Y284	ASTER_HUMAN	PAT complex subunit Asterix (Protein associated with the ER translocon of 10kDa) (PAT-10) (PAT10) (WD repeat domain 83 opposite strand) (WDR83 opposite strand)	WDR83OS C19orf56 CGI-140 My006 PTD008	Homo sapiens (Human)	106	reviewed
ENSG00000105612	O00115	DNS2A_HUMAN	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	DNASE2 DNASE2A DNL2	Homo sapiens (Human)	360	reviewed
