species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	description	source_file
escherichia_coli_k12_mg1655	b1299	puuR	protein_coding	Chromosome	1361911	1362468	558	+	DNA-binding transcriptional repressor PuuR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1300	puuC	protein_coding	Chromosome	1362743	1364230	1488	+	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1301	puuB	protein_coding	Chromosome	1364232	1365512	1281	+	gamma-glutamylputrescine oxidase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1302	puuE	protein_coding	Chromosome	1365550	1366815	1266	+	4-aminobutyrate aminotransferase PuuE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1303	pspF	protein_coding	Chromosome	1366935	1367912	978	-	DNA-binding transcriptional dual regulator PspF	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1304	pspA	protein_coding	Chromosome	1368079	1368747	669	+	phage shock protein A	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1305	pspB	protein_coding	Chromosome	1368801	1369025	225	+	phage shock protein B	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1306	pspC	protein_coding	Chromosome	1369025	1369384	360	+	phage shock protein C	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1307	pspD	protein_coding	Chromosome	1369393	1369614	222	+	phage shock protein D	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1308	pspE	protein_coding	Chromosome	1369689	1370003	315	+	thiosulfate sulfurtransferase PspE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1309	ycjM	protein_coding	Chromosome	1370216	1371895	1680	+	glucosylglycerate phosphorylase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1310	ycjN	protein_coding	Chromosome	1371909	1373201	1293	+	putative ABC transporter periplasmic binding protein YcjN	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1311	ycjO	protein_coding	Chromosome	1373222	1374103	882	+	putative ABC transporter membrane subunit YcjO	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1312	ycjP	protein_coding	Chromosome	1374090	1374932	843	+	putative ABC transporter membrane subunit YcjP	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1313	ycjQ	protein_coding	Chromosome	1374963	1376015	1053	+	putative zinc-binding dehydrogenase YcjQ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1314	ycjR	protein_coding	Chromosome	1376034	1376822	789	+	putative ketohexose-3-epimerase YcjR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1315	ycjS	protein_coding	Chromosome	1376832	1377887	1056	+	putative oxidoreductase YcjS	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1316	ycjT	protein_coding	Chromosome	1377884	1380151	2268	+	kojibiose phosphorylase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1317	ycjU	protein_coding	Chromosome	1380148	1380807	660	+	beta-phosphoglucomutase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1319	ompG	protein_coding	Chromosome	1381947	1382852	906	+	outer membrane porin G	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1320	ycjW	protein_coding	Chromosome	1382963	1383961	999	-	putative LacI-type DNA-binding transcriptional regulator YcjW	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1321	ycjX	protein_coding	Chromosome	1384117	1385514	1398	+	DUF463 domain-containing protein YcjX	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1322	ycjF	protein_coding	Chromosome	1385511	1386572	1062	+	conserved inner membrane protein YcjF	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1323	tyrR	protein_coding	Chromosome	1386720	1388261	1542	+	DNA-binding transcriptional dual regulator TyrR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1324	tpx	protein_coding	Chromosome	1388305	1388811	507	-	lipid hydroperoxide peroxidase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1325	ycjG	protein_coding	Chromosome	1388930	1389895	966	+	L-Ala-D/L-Glu epimerase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1326	mpaA	protein_coding	Chromosome	1389870	1390598	729	-	murein tripeptide amidase A	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4525	ymjC	protein_coding	Chromosome	1390680	1390862	183	-	putative uncharacterized protein YmjC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4673	ymjD	protein_coding	Chromosome	1390868	1390933	66	-	uncharacterized protein YmjD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1327	ycjY	protein_coding	Chromosome	1390933	1391853	921	-	putative hydrolase YcjY	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1328	pgrR	protein_coding	Chromosome	1391991	1392890	900	+	DNA-binding transcriptional repressor PgrR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1329	mppA	protein_coding	Chromosome	1393227	1394840	1614	+	murein tripeptide ABC transporter periplasmic binding protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1330	ynaI	protein_coding	Chromosome	1394891	1395922	1032	-	small conductance mechanosensitive channel YnaI	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1331	insH-4	protein_coding	Chromosome	1396076	1397092	1017	+	IS5 transposase and trans-activator	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1332	ynaJ	protein_coding	Chromosome	1397365	1397622	258	+	DUF2534 domain-containing protein YnaJ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1333	uspE	protein_coding	Chromosome	1397672	1398622	951	-	universal stress protein with a role cellular motility	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1334	fnr	protein_coding	Chromosome	1398774	1399526	753	-	DNA-binding transcriptional dual regulator FNR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1335	ogt	protein_coding	Chromosome	1399721	1400236	516	-	methylated-DNA--[protein]-cysteine S-methyltransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1336	abgT	protein_coding	Chromosome	1400247	1401773	1527	-	p-aminobenzoyl glutamate:H(+) symporter	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1337	abgB	protein_coding	Chromosome	1401810	1403255	1446	-	p-aminobenzoyl-glutamate hydrolase subunit B	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1338	abgA	protein_coding	Chromosome	1403255	1404565	1311	-	p-aminobenzoyl-glutamate hydrolase subunit A	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1339	abgR	protein_coding	Chromosome	1404741	1405649	909	+	putative LysR-type DNA-binding transcriptional regulator AbgR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1340	smrA	protein_coding	Chromosome	1405979	1406542	564	+	DNA endonuclease SmrA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1341	dgcM	protein_coding	Chromosome	1406563	1407795	1233	-	diguanylate cyclase DgcM	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1342	zntB	protein_coding	Chromosome	1408050	1409033	984	+	Zn(2(+)):H(+) symporter	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4743	ynaL	protein_coding	Chromosome	1409308	1409481	174	+	protein YnaL	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1343	dbpA	protein_coding	Chromosome	1409511	1410884	1374	+	ATP-dependent RNA helicase DbpA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1344	ttcA	protein_coding	Chromosome	1411013	1411948	936	-	tRNA cytosine(32) 2-sulfurtransferase TtcA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1345	intR	protein_coding	Chromosome	1412000	1413235	1236	-	Rac prophage; putative integrase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1346	xisR	protein_coding	Chromosome	1413237	1413452	216	-	Rac prophage; excisionase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1347	rcbA	protein_coding	Chromosome	1413531	1413740	210	-	Rac prophage; double-strand break reduction protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1348	ralR	protein_coding	Chromosome	1413733	1413927	195	-	Rac prophage; endodeoxyribonuclease toxin RalR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1349	recT	protein_coding	Chromosome	1413984	1414793	810	-	Rac prophage; recombinase, DNA renaturation	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1350	recE	protein_coding	Chromosome	1414786	1417386	2601	-	Rac prophage; exonuclease VIII, ds DNA exonuclease, 5'--> 3' specific	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1351	racC	protein_coding	Chromosome	1417488	1417763	276	-	Rac prophage; protein RacC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4526	ydaE	protein_coding	Chromosome	1417838	1418008	171	-	Rac prophage; zinc-binding protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1352	kilR	protein_coding	Chromosome	1418008	1418229	222	-	Rac prophage; inhibitor of FtsZ, killing protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1353	sieB	protein_coding	Chromosome	1418671	1419159	489	+	Rac prophage; phage superinfection exclusion protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4527	ydaF	protein_coding	Chromosome	1419156	1419311	156	-	Rac prophage; DUF1391 domain-containing protein YdaF	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1355	ydaG	protein_coding	Chromosome	1419322	1419456	135	-	Rac prophage; uncharacterized protein YdaG	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1356	racR	protein_coding	Chromosome	1419765	1420241	477	-	Rac prophage; DNA-binding transcriptional repressor RacR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1357	ydaS	protein_coding	Chromosome	1420365	1420661	297	+	Rac prophage; toxin YdaS	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1358	ydaT	protein_coding	Chromosome	1420684	1421106	423	+	Rac prophage; protein YdaT	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1359	ydaU	protein_coding	Chromosome	1421119	1421976	858	+	Rac prophage; DUF1376 domain-containing protein YdaU	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1360	ydaV	protein_coding	Chromosome	1421983	1422729	747	+	Rac prophage; putative ATP-binding protein YdaV	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1361	ydaW	protein_coding	Chromosome	1422752	1423312	561	+	Rac prophage; putative uncharacterized protein YdaW	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4528	rzoR	protein_coding	Chromosome	1423400	1423585	186	+	Rac prophage; putative lipoprotein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1363	trkG	protein_coding	Chromosome	1423782	1425239	1458	+	Rac prophage; K(+) transporter TrkG	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1365	ynaK	protein_coding	Chromosome	1425377	1425640	264	+	Rac prophage; ParB-like nuclease domain-containing protein YnaK	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1366	ydaY	protein_coding	Chromosome	1425621	1425980	360	+	Rac prophage; putative uncharacterized protein YdaY	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1368	ynaA	protein_coding	Chromosome	1426454	1427482	1029	+	Rac prophage; putative prophage tail length tape measure domain-containing protein YnaA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1370	insH-5	protein_coding	Chromosome	1427746	1428726	981	-	Rac prophage; IS5 transposase and trans-activator	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1372	stfR	protein_coding	Chromosome	1429049	1432411	3363	+	Rac prophage; putative membrane protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1373	tfaR	protein_coding	Chromosome	1432411	1432986	576	+	Rac prophage; putative tail fiber assembly protein TfaR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1374	pinR	protein_coding	Chromosome	1433084	1433674	591	-	Rac prophage; putative site-specific recombinase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1375	ynaE	protein_coding	Chromosome	1433991	1434224	234	-	Rac prophage; uncharacterized protein YnaE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4744	ynaM	protein_coding	Chromosome	1434293	1434406	114	-	Rac prophage; protein YnaM	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1376	uspF	protein_coding	Chromosome	1435185	1435619	435	-	nucleotide binding filament protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1377	ompN	protein_coding	Chromosome	1435760	1436893	1134	-	outer membrane porin N	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1378	ydbK	protein_coding	Chromosome	1437260	1440784	3525	-	putative pyruvate-flavodoxin oxidoreductase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4529	ydbJ	protein_coding	Chromosome	1441058	1441324	267	+	DUF333 domain-containing protein YdbJ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1379	hslJ	protein_coding	Chromosome	1441321	1441743	423	-	lipoprotein implicated in Novobiocin resistance	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1380	ldhA	protein_coding	Chromosome	1441854	1442843	990	-	D-lactate dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1381	ydbH	protein_coding	Chromosome	1443051	1445690	2640	+	PF11739 family protein YdbH	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b1382	ynbE	protein_coding	Chromosome	1445687	1445872	186	+	lipoprotein YnbE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
